Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Pinheiros,1,0.00,112.00,39.00,58.00,15.00,39.00,12.00,27.00,21.00,9.00,2.33,112.00,13.00,29.00,44.83,29.00,44.00,65.91,15.00,16.00,93.75,2.00,11.00,1.22,3.00,23.00,0.13,9.00,1.00,145.00
Flamengo,2,0.00,98.50,36.00,48.00,14.50,44.50,12.50,32.00,23.50,13.50,1.74,98.50,12.00,31.00,38.71,24.00,39.00,61.54,14.50,20.00,72.50,1.00,9.50,0.70,0.50,18.00,0.03,13.50,1.00,123.50
Mogi,1,0.00,96.00,42.00,48.00,6.00,29.00,6.00,23.00,22.00,11.00,2.00,96.00,14.00,27.00,51.85,24.00,35.00,68.57,6.00,6.00,100.00,0.00,9.00,0.82,0.00,20.00,0.00,11.00,0.00,121.00
Botafogo,2,0.00,90.50,34.50,40.00,16.00,34.00,16.00,18.00,16.50,12.50,1.32,90.50,11.50,27.50,41.82,20.00,40.00,50.00,16.00,21.50,74.42,0.00,8.00,0.64,0.50,24.00,0.02,12.50,4.00,95.50
Paulistano,2,0.00,86.50,33.00,38.00,15.50,38.50,12.50,26.00,19.50,16.00,1.22,86.50,11.00,30.50,36.07,19.00,33.50,56.72,15.50,20.00,77.50,2.50,5.00,0.31,2.00,24.50,0.08,16.00,2.50,96.50
Corinthians,2,0.00,84.50,22.50,48.00,14.00,33.00,8.00,25.00,19.50,14.50,1.34,84.50,7.50,21.50,34.88,24.00,40.00,60.00,14.00,17.00,82.35,3.00,9.50,0.66,3.00,19.00,0.16,14.50,2.00,102.00
Sesi Franca,1,0.00,84.00,24.00,42.00,18.00,50.00,12.00,38.00,20.00,14.00,1.43,84.00,8.00,26.00,30.77,21.00,40.00,52.50,18.00,25.00,72.00,3.00,7.00,0.50,1.00,18.00,0.06,14.00,2.00,104.00
Fortaleza B. C. / CFO,2,0.00,83.50,25.50,40.00,18.00,38.50,12.50,26.00,15.50,16.50,0.94,83.50,8.50,22.50,37.78,20.00,42.50,47.06,18.00,22.50,80.00,1.00,6.50,0.39,4.00,22.50,0.18,16.50,1.00,90.50
Bauru Basket,2,0.00,82.50,33.00,36.00,13.50,35.50,13.00,22.50,17.00,12.50,1.36,82.50,11.00,30.00,36.67,18.00,35.00,51.43,13.50,17.00,79.41,1.50,8.00,0.64,0.00,16.00,0.00,12.50,0.00,90.50
Minas,2,0.00,81.50,25.50,39.00,17.00,38.00,10.00,28.00,18.00,14.00,1.29,81.50,8.50,31.50,26.98,19.50,37.50,52.00,17.00,22.00,77.27,2.00,12.50,0.89,4.00,24.00,0.17,14.00,3.00,94.00
R10 Score Vasco da Gama,2,0.00,76.00,18.00,44.00,14.00,36.50,11.50,25.00,23.50,17.50,1.34,76.00,6.00,21.50,27.91,22.00,42.00,52.38,14.00,19.00,73.68,0.50,4.00,0.23,0.50,18.00,0.03,17.50,1.50,82.50
Joinville / AABJ,2,0.00,74.00,31.50,30.00,12.50,40.00,11.50,28.50,13.50,16.00,0.84,74.00,10.50,31.50,33.33,15.00,36.00,41.67,12.50,19.00,65.79,1.50,11.00,0.69,1.00,18.00,0.06,16.00,2.00,75.00
Coop/São José Basketball,1,0.00,65.00,21.00,36.00,8.00,32.00,9.00,23.00,20.00,15.00,1.33,65.00,7.00,33.00,21.21,18.00,28.00,64.29,8.00,14.00,57.14,1.00,6.00,0.40,0.00,16.00,0.00,15.00,1.00,66.00
BRB/Brasília,2,0.00,64.00,27.00,25.00,12.00,39.50,10.00,29.50,18.00,20.50,0.88,64.00,9.00,28.00,32.14,12.50,34.50,36.23,12.00,19.50,61.54,0.50,6.00,0.29,4.50,23.50,0.19,20.50,3.00,63.00
