Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Sesi Franca,1,0.00,85.00,33.00,36.00,16.00,33.00,6.00,27.00,16.00,11.00,1.45,85.00,11.00,29.00,37.93,18.00,32.00,56.25,16.00,19.00,84.21,2.00,10.00,0.91,0.00,15.00,0.00,11.00,2.00,98.00
Flamengo,1,0.00,79.00,24.00,48.00,7.00,31.00,10.00,21.00,22.00,12.00,1.83,79.00,8.00,23.00,34.78,24.00,38.00,63.16,7.00,12.00,58.33,1.00,6.00,0.50,0.00,25.00,0.00,12.00,2.00,92.00
Botafogo,1,0.00,77.00,21.00,38.00,18.00,29.00,8.00,21.00,18.00,10.00,1.80,77.00,7.00,25.00,28.00,19.00,31.00,61.29,18.00,18.00,100.00,0.00,4.00,0.40,1.00,21.00,0.05,10.00,2.00,89.00
Mogi,1,0.00,77.00,24.00,44.00,9.00,36.00,9.00,27.00,21.00,12.00,1.75,77.00,8.00,23.00,34.78,22.00,42.00,52.38,9.00,14.00,64.29,0.00,4.00,0.33,1.00,18.00,0.06,12.00,0.00,87.00
