Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Mogi,1,0.00,96.00,36.00,38.00,22.00,44.00,6.00,38.00,20.00,18.00,1.11,96.00,12.00,26.00,46.15,19.00,32.00,59.38,22.00,31.00,70.97,2.00,5.00,0.28,6.00,18.00,0.33,18.00,3.00,117.00
Botafogo,1,0.00,86.00,27.00,48.00,11.00,41.00,12.00,29.00,21.00,24.00,0.88,86.00,9.00,19.00,47.37,24.00,39.00,61.54,11.00,15.00,73.33,2.00,12.00,0.50,2.00,21.00,0.10,24.00,4.00,109.00
Sesi Franca,2,0.00,83.50,27.00,41.00,15.50,35.00,5.00,30.00,19.00,10.50,1.81,83.50,9.00,27.00,33.33,20.50,32.00,64.06,15.50,19.00,81.58,2.50,6.00,0.57,3.50,16.50,0.21,10.50,2.00,103.50
Paulistano,1,0.00,82.00,33.00,32.00,17.00,37.00,10.00,27.00,20.00,10.00,2.00,82.00,11.00,29.00,37.93,16.00,33.00,48.48,17.00,22.00,77.27,1.00,5.00,0.50,1.00,24.00,0.04,10.00,2.00,95.00
Flamengo,3,0.00,81.33,30.00,39.33,12.00,45.33,12.67,32.67,18.67,14.00,1.33,81.33,10.00,29.67,33.71,19.67,36.00,54.63,12.00,14.67,81.82,1.00,6.67,0.48,1.67,19.67,0.08,14.00,2.33,100.67
Pinheiros,2,0.00,79.50,27.00,33.00,19.50,40.00,14.50,25.50,14.00,12.00,1.17,79.50,9.00,29.00,31.03,16.50,40.00,41.25,19.50,23.50,82.98,1.00,6.50,0.54,0.00,18.50,0.00,12.00,2.00,80.50
Fortaleza B. C. / CFO,2,0.00,77.50,25.50,41.00,11.00,43.00,11.50,31.50,14.00,19.00,0.74,77.50,8.50,23.50,36.17,20.50,42.00,48.81,11.00,15.00,73.33,2.50,5.50,0.29,4.00,22.00,0.18,19.00,6.50,84.50
Coop/São José Basketball,2,0.00,74.50,27.00,32.00,15.50,35.50,6.50,29.00,16.00,12.50,1.28,74.50,9.00,32.50,27.69,16.00,33.00,48.48,15.50,23.00,67.39,2.00,9.50,0.76,2.50,23.00,0.11,12.50,4.50,77.50
Joinville / AABJ,1,0.00,72.00,24.00,38.00,10.00,42.00,14.00,28.00,15.00,7.00,2.14,72.00,8.00,29.00,27.59,19.00,40.00,47.50,10.00,19.00,52.63,2.00,7.00,1.00,5.00,19.00,0.26,7.00,2.00,83.00
Corinthians,1,0.00,71.00,15.00,36.00,20.00,19.00,6.00,13.00,17.00,19.00,0.89,71.00,5.00,16.00,31.25,18.00,40.00,45.00,20.00,23.00,86.96,3.00,13.00,0.68,0.00,20.00,0.00,19.00,0.00,65.00
R10 Score Vasco da Gama,1,0.00,70.00,15.00,36.00,19.00,32.00,12.00,20.00,17.00,15.00,1.13,70.00,5.00,26.00,19.23,18.00,39.00,46.15,19.00,26.00,73.08,0.00,6.00,0.40,1.00,13.00,0.08,15.00,1.00,62.00
Minas,2,0.00,67.00,18.00,40.00,9.00,32.50,8.50,24.00,11.00,11.00,1.00,67.00,6.00,22.50,26.67,20.00,41.50,48.19,9.00,14.50,62.07,2.00,6.50,0.59,1.50,21.00,0.07,11.00,0.50,64.00
Bauru Basket,3,0.00,63.67,24.00,28.00,11.67,39.33,7.67,31.67,15.33,14.33,1.07,63.67,8.00,28.33,28.24,14.00,32.67,42.86,11.67,15.33,76.09,1.67,5.67,0.40,2.00,22.33,0.09,14.33,3.00,69.00
