Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Sesi Franca,2,0.00,93.00,36.00,43.00,14.00,31.50,7.50,24.00,23.00,12.50,1.84,93.00,12.00,26.00,46.15,21.50,39.00,55.13,14.00,17.50,80.00,2.00,8.50,0.68,3.00,20.00,0.15,12.50,1.50,111.50
Pinheiros,1,0.00,92.00,33.00,50.00,9.00,41.00,13.00,28.00,23.00,10.00,2.30,92.00,11.00,30.00,36.67,25.00,43.00,58.14,9.00,12.00,75.00,4.00,8.00,0.80,2.00,14.00,0.14,10.00,4.00,116.00
Corinthians,1,0.00,92.00,27.00,46.00,19.00,35.00,12.00,23.00,23.00,14.00,1.64,92.00,9.00,20.00,45.00,23.00,45.00,51.11,19.00,25.00,76.00,4.00,10.00,0.71,2.00,22.00,0.09,14.00,0.00,109.00
Paulistano,1,0.00,91.00,39.00,36.00,16.00,43.00,17.00,26.00,17.00,14.00,1.21,91.00,13.00,37.00,35.14,18.00,33.00,54.55,16.00,20.00,80.00,2.00,2.00,0.14,3.00,24.00,0.13,14.00,3.00,99.00
Mogi,2,0.00,89.50,37.50,39.00,13.00,31.50,8.00,23.50,24.00,12.50,1.92,89.50,12.50,27.50,45.45,19.50,32.00,60.94,13.00,18.50,70.27,1.00,4.50,0.36,3.00,21.00,0.14,12.50,0.50,107.00
Minas,2,0.00,89.50,25.50,43.00,21.00,45.00,16.50,28.50,18.00,18.00,1.00,89.50,8.50,28.00,30.36,21.50,37.50,57.33,21.00,25.50,82.35,1.50,7.00,0.39,1.00,23.00,0.04,18.00,4.00,102.00
Bauru Basket,1,0.00,89.00,33.00,36.00,20.00,26.00,5.00,21.00,20.00,12.00,1.67,89.00,11.00,27.00,40.74,18.00,34.00,52.94,20.00,26.00,76.92,0.00,10.00,0.83,8.00,26.00,0.31,12.00,0.00,102.00
R10 Score Vasco da Gama,1,0.00,88.00,36.00,42.00,10.00,33.00,15.00,18.00,18.00,9.00,2.00,88.00,12.00,28.00,42.86,21.00,43.00,48.84,10.00,13.00,76.92,1.00,9.00,1.00,0.00,18.00,0.00,9.00,3.00,98.00
Coop/São José Basketball,2,0.00,79.50,22.50,35.00,22.00,36.00,9.50,26.50,15.50,16.00,0.97,79.50,7.50,24.50,30.61,17.50,34.00,51.47,22.00,28.50,77.19,1.00,8.50,0.53,0.50,27.50,0.02,16.00,3.00,84.00
Joinville / AABJ,2,0.00,76.50,22.50,41.00,13.00,34.50,11.00,23.50,13.50,17.00,0.79,76.50,7.50,24.50,30.61,20.50,40.50,50.62,13.00,16.00,81.25,1.00,5.50,0.32,1.00,18.00,0.06,17.00,3.00,74.00
Fortaleza B. C. / CFO,1,0.00,76.00,24.00,34.00,18.00,32.00,8.00,24.00,13.00,16.00,0.81,76.00,8.00,28.00,28.57,17.00,34.00,50.00,18.00,22.00,81.82,3.00,9.00,0.56,1.00,25.00,0.04,16.00,1.00,74.00
BRB/Brasília,2,0.00,75.00,24.00,36.00,15.00,40.50,15.00,25.50,17.50,20.50,0.85,75.00,8.00,24.50,32.65,18.00,38.00,47.37,15.00,20.50,73.17,0.00,6.00,0.29,3.00,24.00,0.13,20.50,5.00,78.50
