Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,91.00,30.00,46.00,15.00,37.00,9.00,28.00,20.00,17.00,1.18,91.00,10.00,19.00,52.63,23.00,39.00,58.97,15.00,20.00,75.00,4.00,6.00,0.35,0.00,20.00,0.00,17.00,1.00,107.00
Mogi,2,0.00,89.00,18.00,53.00,18.00,42.50,11.00,31.50,22.50,18.00,1.25,89.00,6.00,19.00,31.58,26.50,43.50,60.92,18.00,26.00,69.23,2.00,7.50,0.42,6.00,19.50,0.31,18.00,3.50,111.00
Pinheiros,1,0.00,87.00,33.00,34.00,20.00,36.00,13.00,23.00,15.00,17.00,0.88,87.00,11.00,32.00,34.38,17.00,31.00,54.84,20.00,29.00,68.97,1.00,9.00,0.53,0.00,23.00,0.00,17.00,5.00,86.00
Paulistano,3,0.00,85.33,36.00,34.00,15.33,44.33,12.67,31.67,16.67,16.33,1.02,85.33,12.00,31.67,37.89,17.00,30.67,55.43,15.33,20.00,76.67,1.67,5.00,0.31,2.67,20.00,0.13,16.33,2.00,98.67
Joinville / AABJ,1,0.00,84.00,39.00,38.00,7.00,30.00,11.00,19.00,9.00,15.00,0.60,84.00,13.00,36.00,36.11,19.00,43.00,44.19,7.00,9.00,77.78,2.00,16.00,1.07,2.00,26.00,0.08,15.00,3.00,77.00
Bauru Basket,2,0.00,84.00,25.50,39.00,19.50,37.50,6.50,31.00,17.50,13.00,1.35,84.00,8.50,24.50,34.69,19.50,33.50,58.21,19.50,28.50,68.42,0.50,9.00,0.69,3.00,21.50,0.14,13.00,2.50,99.00
R10 Score Vasco da Gama,1,0.00,82.00,27.00,40.00,15.00,48.00,19.00,29.00,19.00,14.00,1.36,82.00,9.00,31.00,29.03,20.00,47.00,42.55,15.00,20.00,75.00,0.00,8.00,0.57,1.00,19.00,0.05,14.00,1.00,90.00
Sesi Franca,1,0.00,82.00,27.00,44.00,11.00,31.00,7.00,24.00,16.00,12.00,1.33,82.00,9.00,24.00,37.50,22.00,33.00,66.67,11.00,14.00,78.57,1.00,8.00,0.67,1.00,15.00,0.07,12.00,5.00,97.00
Coop/São José Basketball,1,0.00,82.00,27.00,36.00,19.00,41.00,14.00,27.00,24.00,16.00,1.50,82.00,9.00,26.00,34.62,18.00,37.00,48.65,19.00,27.00,70.37,2.00,7.00,0.44,1.00,24.00,0.04,16.00,3.00,95.00
Corinthians,3,0.00,81.00,23.00,37.33,20.67,31.00,8.33,22.67,16.33,13.33,1.23,81.00,7.67,23.33,32.86,18.67,37.33,50.00,20.67,25.33,81.58,3.00,11.00,0.83,1.67,24.67,0.07,13.33,2.00,88.67
Minas,2,0.00,78.50,21.00,35.00,22.50,32.00,8.00,24.00,16.50,17.00,0.97,78.50,7.00,21.00,33.33,17.50,33.50,52.24,22.50,30.00,75.00,2.00,8.00,0.47,3.00,27.50,0.11,17.00,3.50,83.00
Botafogo,1,0.00,74.00,24.00,40.00,10.00,37.00,10.00,27.00,16.00,12.00,1.33,74.00,8.00,30.00,26.67,20.00,36.00,55.56,10.00,24.00,41.67,1.00,7.00,0.58,2.00,29.00,0.07,12.00,5.00,72.00
BRB/Brasília,1,0.00,71.00,21.00,38.00,12.00,31.00,8.00,23.00,12.00,14.00,0.86,71.00,7.00,22.00,31.82,19.00,38.00,50.00,12.00,19.00,63.16,1.00,5.00,0.36,6.00,21.00,0.29,14.00,3.00,69.00
Fortaleza B. C. / CFO,2,0.00,69.50,19.50,40.00,10.00,31.50,8.00,23.50,10.00,12.00,0.83,69.50,6.50,22.50,28.89,20.00,39.50,50.63,10.00,14.00,71.43,1.50,7.00,0.58,3.00,20.00,0.15,12.00,1.50,69.50
