Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Limeira,1,200.00,93.00,30.00,42.00,21.00,28.00,12.00,16.00,17.00,13.00,1.31,93.00,10.00,29.00,34.48,21.00,38.00,55.26,21.00,24.00,87.50,1.00,9.00,0.69,4.00,22.00,0.18,13.00,3.00,99.00
Flamengo,1,199.95,89.00,24.00,42.00,23.00,44.00,14.00,30.00,13.00,19.00,0.68,89.00,8.00,27.00,29.63,21.00,35.00,60.00,23.00,34.00,67.65,2.00,6.00,0.32,1.00,17.00,0.06,19.00,3.00,90.00
Pinheiros,1,199.95,87.00,30.00,38.00,19.00,27.00,6.00,21.00,10.00,14.00,0.71,87.00,10.00,22.00,45.45,19.00,32.00,59.38,19.00,22.00,86.36,2.00,4.00,0.29,3.00,19.00,0.16,14.00,3.00,89.00
Joinville,1,200.00,86.00,21.00,48.00,17.00,20.00,7.00,13.00,20.00,14.00,1.43,86.00,7.00,20.00,35.00,24.00,35.00,68.57,17.00,23.00,73.91,2.00,7.00,0.50,2.00,19.00,0.11,14.00,0.00,91.00
Minas,1,200.00,86.00,18.00,52.00,16.00,31.00,9.00,22.00,11.00,14.00,0.79,86.00,6.00,18.00,33.33,26.00,38.00,68.42,16.00,18.00,88.89,0.00,6.00,0.43,3.00,16.00,0.19,14.00,1.00,97.00
Tijuca,1,225.00,82.00,30.00,44.00,8.00,29.00,6.00,23.00,12.00,4.00,3.00,82.00,10.00,24.00,41.67,22.00,48.00,45.83,8.00,14.00,57.14,3.00,10.00,2.50,3.00,19.00,0.16,4.00,1.00,86.00
L. Sorocabana,1,199.97,81.00,30.00,34.00,17.00,19.00,6.00,13.00,3.00,6.00,0.50,81.00,10.00,20.00,50.00,17.00,39.00,43.59,17.00,22.00,77.27,1.00,9.00,1.50,1.00,23.00,0.04,6.00,1.00,70.00
Brasília,1,200.00,81.00,27.00,44.00,10.00,24.00,11.00,13.00,17.00,16.00,1.06,81.00,9.00,20.00,45.00,22.00,43.00,51.16,10.00,14.00,71.43,1.00,8.00,0.50,2.00,14.00,0.14,16.00,7.00,80.00
Palmeiras,1,224.72,79.00,15.00,44.00,20.00,43.00,10.00,33.00,11.00,13.00,0.85,79.00,5.00,17.00,29.41,22.00,44.00,50.00,20.00,24.00,83.33,1.00,2.00,0.15,1.00,19.00,0.05,13.00,2.00,85.00
Fortaleza B. C. / CFO,1,199.62,77.00,18.00,48.00,11.00,33.00,9.00,24.00,13.00,9.00,1.44,77.00,6.00,23.00,26.09,24.00,45.00,53.33,11.00,23.00,47.83,0.00,11.00,1.22,0.00,21.00,0.00,9.00,0.00,75.00
Sesi Franca,1,199.93,76.00,21.00,52.00,3.00,28.00,10.00,18.00,15.00,13.00,1.15,76.00,7.00,15.00,46.67,26.00,50.00,52.00,3.00,6.00,50.00,3.00,13.00,1.00,4.00,17.00,0.24,13.00,1.00,88.00
Espírito Santo,1,199.88,75.00,18.00,42.00,15.00,42.00,13.00,29.00,9.00,19.00,0.47,75.00,6.00,21.00,28.57,21.00,42.00,50.00,15.00,20.00,75.00,1.00,5.00,0.26,0.00,17.00,0.00,19.00,3.00,71.00
Uberlândia,1,189.98,75.00,33.00,32.00,10.00,30.00,10.00,20.00,12.00,6.00,2.00,75.00,11.00,27.00,40.74,16.00,37.00,43.24,10.00,14.00,71.43,0.00,4.00,0.67,2.00,23.00,0.09,6.00,2.00,76.00
Mogi,1,200.00,68.00,24.00,24.00,20.00,38.00,10.00,28.00,13.00,8.00,1.63,68.00,8.00,20.00,40.00,12.00,37.00,32.43,20.00,25.00,80.00,0.00,2.00,0.25,0.00,19.00,0.00,8.00,3.00,71.00
Bauru Basket,1,200.00,66.00,21.00,40.00,5.00,33.00,5.00,28.00,13.00,8.00,1.63,66.00,7.00,20.00,35.00,20.00,41.00,48.78,5.00,5.00,100.00,0.00,6.00,0.75,1.00,17.00,0.06,8.00,2.00,77.00
Paulistano,1,199.97,64.00,24.00,36.00,4.00,33.00,6.00,27.00,14.00,10.00,1.40,64.00,8.00,24.00,33.33,18.00,38.00,47.37,4.00,8.00,50.00,0.00,4.00,0.40,4.00,17.00,0.24,10.00,3.00,69.00
Suzano,1,199.80,56.00,24.00,24.00,8.00,30.00,10.00,20.00,2.00,19.00,0.11,56.00,8.00,24.00,33.33,12.00,38.00,31.58,8.00,12.00,66.67,0.00,11.00,0.58,0.00,22.00,0.00,19.00,8.00,34.00
Coop/São José Basketball,1,200.00,53.00,12.00,34.00,7.00,24.00,8.00,16.00,14.00,24.00,0.58,53.00,4.00,14.00,28.57,17.00,37.00,45.95,7.00,13.00,53.85,1.00,10.00,0.42,1.00,17.00,0.06,24.00,4.00,42.00
