Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Suzano,1,167.45,89.00,75.00,50.00,18.00,18.00,6.00,12.00,7.00,8.00,0.88,89.00,7.00,20.00,35.00,25.00,32.00,78.13,18.00,26.00,69.23,0.00,4.00,0.50,1.00,19.00,0.05,8.00,0.00,91.00
Minas,1,200.00,89.00,66.00,44.00,24.00,25.00,10.00,15.00,11.00,6.00,1.83,89.00,7.00,20.00,35.00,22.00,34.00,64.71,24.00,31.00,77.42,0.00,5.00,0.83,1.00,22.00,0.05,6.00,1.00,101.00
Limeira,1,200.00,89.00,39.00,26.00,12.00,36.00,9.00,27.00,18.00,15.00,1.20,89.00,17.00,27.00,62.96,13.00,36.00,36.11,12.00,14.00,85.71,0.00,5.00,0.33,5.00,21.00,0.24,15.00,3.00,108.00
Brasília,1,200.00,86.00,63.00,42.00,14.00,47.00,16.00,31.00,17.00,18.00,0.94,86.00,10.00,28.00,35.71,21.00,36.00,58.33,14.00,17.00,82.35,0.00,8.00,0.44,7.00,22.00,0.32,18.00,1.00,115.00
Espírito Santo,1,200.00,86.00,66.00,44.00,18.00,28.00,12.00,16.00,10.00,6.00,1.67,86.00,8.00,23.00,34.78,22.00,36.00,61.11,18.00,23.00,78.26,3.00,6.00,1.00,2.00,22.00,0.09,6.00,4.00,101.00
Coop/São José Basketball,1,224.92,83.00,69.00,46.00,7.00,35.00,9.00,26.00,19.00,19.00,1.00,83.00,10.00,25.00,40.00,23.00,42.00,54.76,7.00,10.00,70.00,1.00,12.00,0.63,3.00,16.00,0.19,19.00,1.00,100.00
Fortaleza B. C. / CFO,1,225.00,83.00,75.00,50.00,12.00,35.00,11.00,24.00,1.00,11.00,0.09,83.00,7.00,21.00,33.33,25.00,47.00,53.19,12.00,16.00,75.00,0.00,7.00,0.64,2.00,17.00,0.12,11.00,2.00,83.00
Bauru Basket,1,225.00,82.00,63.00,42.00,16.00,32.00,9.00,23.00,6.00,10.00,0.60,82.00,8.00,26.00,30.77,21.00,41.00,51.22,16.00,20.00,80.00,0.00,8.00,0.80,3.00,17.00,0.18,10.00,0.00,83.00
Flamengo,1,200.00,82.00,75.00,50.00,20.00,33.00,9.00,24.00,12.00,17.00,0.71,82.00,4.00,17.00,23.53,25.00,44.00,56.82,20.00,25.00,80.00,0.00,9.00,0.53,0.00,17.00,0.00,17.00,4.00,91.00
Sesi Franca,1,209.40,77.00,78.00,52.00,10.00,29.00,5.00,24.00,15.00,12.00,1.25,77.00,5.00,21.00,23.81,26.00,45.00,57.78,10.00,19.00,52.63,2.00,11.00,0.92,4.00,22.00,0.18,12.00,2.00,91.00
Palmeiras,1,200.00,77.00,51.00,34.00,19.00,24.00,10.00,14.00,14.00,8.00,1.75,77.00,8.00,19.00,42.11,17.00,38.00,44.74,19.00,25.00,76.00,1.00,3.00,0.38,0.00,27.00,0.00,8.00,3.00,81.00
Joinville,1,225.00,76.00,78.00,52.00,9.00,28.00,7.00,21.00,15.00,16.00,0.94,76.00,5.00,22.00,22.73,26.00,49.00,53.06,9.00,11.00,81.82,3.00,12.00,0.75,3.00,18.00,0.17,16.00,0.00,78.00
L. Sorocabana,1,200.00,75.00,48.00,32.00,16.00,25.00,10.00,15.00,12.00,10.00,1.20,75.00,9.00,27.00,33.33,16.00,43.00,37.21,16.00,24.00,66.67,2.00,14.00,1.40,1.00,20.00,0.05,10.00,2.00,74.00
Mogi,1,200.00,72.00,54.00,36.00,12.00,32.00,10.00,22.00,18.00,15.00,1.20,72.00,8.00,21.00,38.10,18.00,46.00,39.13,12.00,17.00,70.59,1.00,5.00,0.33,0.00,22.00,0.00,15.00,2.00,73.00
Uberlândia,1,199.58,71.00,57.00,38.00,6.00,40.00,8.00,32.00,14.00,11.00,1.27,71.00,9.00,25.00,36.00,19.00,36.00,52.78,6.00,8.00,75.00,4.00,5.00,0.45,1.00,17.00,0.06,11.00,1.00,88.00
Tijuca,1,200.00,57.00,39.00,26.00,7.00,29.00,9.00,20.00,13.00,5.00,2.60,57.00,8.00,25.00,32.00,13.00,41.00,31.71,7.00,8.00,87.50,2.00,7.00,1.40,1.00,15.00,0.07,5.00,1.00,58.00
