Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Bauru Basket,1,200.00,114.00,84.00,56.00,19.00,35.00,11.00,24.00,20.00,10.00,2.00,114.00,13.00,32.00,40.63,28.00,40.00,70.00,19.00,20.00,95.00,2.00,7.00,0.70,1.00,23.00,0.04,10.00,2.00,138.00
Flamengo,1,246.87,107.00,24.00,62.00,21.00,45.00,12.00,33.00,9.00,14.00,0.64,107.00,8.00,19.00,42.11,31.00,54.00,57.41,21.00,29.00,72.41,3.00,3.00,0.21,2.00,23.00,0.09,14.00,1.00,110.00
Tijuca,1,248.73,103.00,27.00,58.00,18.00,33.00,7.00,26.00,9.00,6.00,1.50,103.00,9.00,22.00,40.91,29.00,57.00,50.88,18.00,25.00,72.00,2.00,11.00,1.83,1.00,24.00,0.04,6.00,1.00,103.00
Brasília,1,199.83,99.00,66.00,44.00,13.00,32.00,9.00,23.00,19.00,9.00,2.11,99.00,14.00,30.00,46.67,22.00,35.00,62.86,13.00,17.00,76.47,0.00,7.00,0.78,3.00,21.00,0.14,9.00,0.00,122.00
Fortaleza B. C. / CFO,1,199.75,96.00,36.00,48.00,12.00,33.00,8.00,25.00,23.00,9.00,2.56,96.00,12.00,26.00,46.15,24.00,44.00,54.55,12.00,13.00,92.31,2.00,11.00,1.22,1.00,24.00,0.04,9.00,3.00,120.00
Coop/São José Basketball,1,225.00,95.00,66.00,44.00,21.00,27.00,4.00,23.00,21.00,11.00,1.91,95.00,10.00,23.00,43.48,22.00,39.00,56.41,21.00,27.00,77.78,0.00,8.00,0.73,3.00,13.00,0.23,11.00,0.00,113.00
Minas,1,225.00,93.00,78.00,52.00,11.00,35.00,10.00,25.00,20.00,19.00,1.05,93.00,10.00,26.00,38.46,26.00,45.00,57.78,11.00,12.00,91.67,2.00,6.00,0.32,2.00,21.00,0.10,19.00,4.00,106.00
Uberlândia,1,200.00,91.00,36.00,44.00,11.00,32.00,12.00,20.00,17.00,9.00,1.89,91.00,12.00,29.00,41.38,22.00,40.00,55.00,11.00,12.00,91.67,4.00,8.00,0.89,2.00,21.00,0.10,9.00,1.00,105.00
Joinville,1,200.00,91.00,90.00,60.00,22.00,24.00,8.00,16.00,10.00,10.00,1.00,91.00,3.00,13.00,23.08,30.00,49.00,61.22,22.00,29.00,75.86,2.00,6.00,0.60,3.00,18.00,0.17,10.00,2.00,97.00
Pinheiros,1,200.00,87.00,27.00,44.00,16.00,28.00,9.00,19.00,18.00,12.00,1.50,87.00,9.00,25.00,36.00,22.00,38.00,57.89,16.00,19.00,84.21,4.00,5.00,0.42,1.00,16.00,0.06,12.00,3.00,92.00
Espírito Santo,1,200.00,85.00,66.00,44.00,23.00,30.00,9.00,21.00,10.00,12.00,0.83,85.00,6.00,23.00,26.09,22.00,43.00,51.16,23.00,26.00,88.46,0.00,6.00,0.50,1.00,18.00,0.06,12.00,2.00,84.00
L. Sorocabana,1,200.00,81.00,75.00,50.00,13.00,30.00,9.00,21.00,11.00,10.00,1.10,81.00,6.00,19.00,31.58,25.00,42.00,59.52,13.00,15.00,86.67,1.00,6.00,0.60,0.00,15.00,0.00,10.00,4.00,92.00
Palmeiras,1,200.00,81.00,66.00,44.00,19.00,24.00,7.00,17.00,12.00,9.00,1.33,81.00,6.00,19.00,31.58,22.00,40.00,55.00,19.00,27.00,70.37,3.00,5.00,0.56,1.00,19.00,0.05,9.00,1.00,84.00
Limeira,1,200.00,79.00,69.00,46.00,9.00,27.00,9.00,18.00,12.00,10.00,1.20,79.00,8.00,19.00,42.11,23.00,45.00,51.11,9.00,11.00,81.82,2.00,6.00,0.60,0.00,20.00,0.00,10.00,2.00,83.00
Sesi Franca,1,200.00,77.00,75.00,50.00,9.00,32.00,10.00,22.00,21.00,16.00,1.31,77.00,6.00,17.00,35.29,25.00,45.00,55.56,9.00,10.00,90.00,7.00,12.00,0.75,4.00,13.00,0.31,16.00,3.00,102.00
Mogi,1,200.00,76.00,60.00,40.00,12.00,36.00,11.00,25.00,20.00,22.00,0.91,76.00,8.00,22.00,36.36,20.00,41.00,48.78,12.00,19.00,63.16,0.00,5.00,0.23,5.00,22.00,0.23,22.00,6.00,91.00
Paulistano,1,166.60,63.00,51.00,34.00,8.00,20.00,3.00,17.00,12.00,14.00,0.86,63.00,7.00,22.00,31.82,17.00,33.00,51.52,8.00,11.00,72.73,0.00,7.00,0.50,4.00,18.00,0.22,14.00,0.00,61.00
Suzano,1,199.88,61.00,15.00,28.00,18.00,33.00,6.00,27.00,7.00,18.00,0.39,61.00,5.00,16.00,31.25,14.00,31.00,45.16,18.00,26.00,69.23,2.00,6.00,0.33,1.00,10.00,0.10,18.00,1.00,54.00
