Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Coop/São José Basketball,1,200.00,98.00,30.00,34.00,34.00,32.00,9.00,23.00,14.00,11.00,1.27,98.00,10.00,30.00,33.33,17.00,35.00,48.57,34.00,41.00,82.93,0.00,9.00,0.82,3.00,17.00,0.18,11.00,1.00,100.00
Uberlândia,1,200.00,92.00,33.00,42.00,17.00,32.00,7.00,25.00,19.00,11.00,1.73,92.00,11.00,21.00,52.38,21.00,36.00,58.33,17.00,25.00,68.00,3.00,2.00,0.18,3.00,24.00,0.13,11.00,3.00,104.00
Pinheiros,1,199.90,85.00,33.00,36.00,16.00,18.00,4.00,14.00,15.00,9.00,1.67,85.00,11.00,27.00,40.74,18.00,31.00,58.06,16.00,24.00,66.67,2.00,6.00,0.67,4.00,20.00,0.20,9.00,3.00,82.00
Brasília,1,200.00,81.00,30.00,38.00,13.00,35.00,10.00,25.00,12.00,15.00,0.80,81.00,10.00,23.00,43.48,19.00,40.00,47.50,13.00,15.00,86.67,3.00,8.00,0.53,2.00,30.00,0.07,15.00,2.00,87.00
Bauru Basket,1,200.00,78.00,21.00,42.00,15.00,39.00,10.00,29.00,16.00,13.00,1.23,78.00,7.00,19.00,36.84,21.00,38.00,55.26,15.00,22.00,68.18,3.00,7.00,0.54,1.00,18.00,0.06,13.00,2.00,92.00
Sesi Franca,1,200.00,71.00,30.00,34.00,7.00,21.00,6.00,15.00,13.00,9.00,1.44,71.00,10.00,21.00,47.62,17.00,39.00,43.59,7.00,12.00,58.33,1.00,7.00,0.78,0.00,18.00,0.00,9.00,1.00,65.00
