Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Minas,1,200.00,97.00,63.00,42.00,19.00,21.00,7.00,14.00,21.00,11.00,1.91,97.00,12.00,25.00,48.00,21.00,34.00,61.76,19.00,22.00,86.36,0.00,6.00,0.55,2.00,21.00,0.10,11.00,2.00,112.00
Flamengo,1,200.00,94.00,78.00,52.00,21.00,38.00,12.00,26.00,14.00,5.00,2.80,94.00,7.00,22.00,31.82,26.00,40.00,65.00,21.00,32.00,65.63,2.00,7.00,1.40,2.00,21.00,0.10,5.00,2.00,123.00
Espírito Santo,1,200.00,92.00,39.00,26.00,30.00,37.00,9.00,28.00,14.00,22.00,0.64,92.00,12.00,29.00,41.38,13.00,31.00,41.94,30.00,38.00,78.95,1.00,11.00,0.50,6.00,30.00,0.20,22.00,8.00,111.00
Uberlândia,1,200.00,92.00,75.00,50.00,9.00,34.00,10.00,24.00,22.00,17.00,1.29,92.00,11.00,28.00,39.29,25.00,35.00,71.43,9.00,13.00,69.23,2.00,6.00,0.35,2.00,20.00,0.10,17.00,7.00,119.00
Brasília,1,200.00,88.00,66.00,44.00,20.00,44.00,12.00,32.00,12.00,15.00,0.80,88.00,8.00,23.00,34.78,22.00,39.00,56.41,20.00,25.00,80.00,1.00,5.00,0.33,6.00,25.00,0.24,15.00,2.00,110.00
Pinheiros,1,200.00,87.00,57.00,38.00,16.00,22.00,9.00,13.00,13.00,12.00,1.08,87.00,11.00,29.00,37.93,19.00,37.00,51.35,16.00,21.00,76.19,0.00,7.00,0.58,1.00,17.00,0.06,12.00,4.00,86.00
Mogi,1,200.00,85.00,66.00,44.00,26.00,30.00,10.00,20.00,7.00,14.00,0.50,85.00,5.00,23.00,21.74,22.00,52.00,42.31,26.00,32.00,81.25,0.00,6.00,0.43,0.00,25.00,0.00,14.00,4.00,70.00
Fortaleza B. C. / CFO,1,200.00,85.00,75.00,50.00,17.00,28.00,6.00,22.00,21.00,13.00,1.62,85.00,6.00,15.00,40.00,25.00,45.00,55.56,17.00,21.00,80.95,2.00,11.00,0.85,4.00,19.00,0.21,13.00,1.00,108.00
Limeira,1,200.00,85.00,48.00,32.00,11.00,30.00,10.00,20.00,19.00,14.00,1.36,85.00,14.00,21.00,66.67,16.00,38.00,42.11,11.00,14.00,78.57,2.00,8.00,0.57,1.00,19.00,0.05,14.00,2.00,102.00
Bauru Basket,1,199.92,83.00,72.00,48.00,11.00,27.00,6.00,21.00,9.00,14.00,0.64,83.00,8.00,17.00,47.06,24.00,37.00,64.86,11.00,23.00,47.83,3.00,9.00,0.64,4.00,17.00,0.24,14.00,5.00,101.00
Palmeiras,1,200.00,78.00,48.00,32.00,22.00,31.00,15.00,16.00,9.00,8.00,1.13,78.00,8.00,28.00,28.57,16.00,42.00,38.10,22.00,32.00,68.75,3.00,9.00,1.13,1.00,21.00,0.05,8.00,0.00,74.00
Sesi Franca,1,200.00,77.00,81.00,54.00,8.00,36.00,6.00,30.00,15.00,12.00,1.25,77.00,5.00,13.00,38.46,27.00,47.00,57.45,8.00,13.00,61.54,1.00,10.00,0.83,4.00,20.00,0.20,12.00,3.00,105.00
Coop/São José Basketball,1,201.85,77.00,66.00,44.00,18.00,31.00,12.00,19.00,19.00,14.00,1.36,77.00,5.00,18.00,27.78,22.00,37.00,59.46,18.00,27.00,66.67,0.00,7.00,0.50,2.00,16.00,0.13,14.00,0.00,94.00
Suzano,1,200.00,71.00,72.00,48.00,14.00,34.00,14.00,20.00,11.00,22.00,0.50,71.00,3.00,14.00,21.43,24.00,46.00,52.17,14.00,25.00,56.00,0.00,4.00,0.18,3.00,20.00,0.15,22.00,3.00,71.00
Joinville,1,200.00,71.00,60.00,40.00,10.00,31.00,8.00,23.00,13.00,16.00,0.81,71.00,7.00,25.00,28.00,20.00,37.00,54.05,10.00,13.00,76.92,1.00,8.00,0.50,4.00,21.00,0.19,16.00,2.00,78.00
Tijuca,1,200.00,70.00,57.00,38.00,14.00,28.00,8.00,20.00,8.00,9.00,0.89,70.00,6.00,25.00,24.00,19.00,38.00,50.00,14.00,20.00,70.00,0.00,3.00,0.33,0.00,23.00,0.00,9.00,1.00,63.00
L. Sorocabana,1,200.00,66.00,60.00,40.00,14.00,24.00,6.00,18.00,10.00,14.00,0.71,66.00,4.00,18.00,22.22,20.00,35.00,57.14,14.00,20.00,70.00,3.00,8.00,0.57,1.00,16.00,0.06,14.00,2.00,68.00
Paulistano,1,200.00,51.00,45.00,30.00,6.00,30.00,10.00,20.00,4.00,17.00,0.24,51.00,5.00,22.00,22.73,15.00,40.00,37.50,6.00,12.00,50.00,0.00,6.00,0.35,2.00,23.00,0.09,17.00,1.00,35.00
