Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,200.00,98.00,78.00,52.00,19.00,27.00,7.00,20.00,8.00,12.00,0.67,98.00,9.00,21.00,42.86,26.00,38.00,68.42,19.00,25.00,76.00,1.00,9.00,0.75,1.00,17.00,0.06,12.00,3.00,110.00
Bauru Basket,1,199.93,91.00,84.00,56.00,14.00,31.00,9.00,22.00,14.00,10.00,1.40,91.00,7.00,21.00,33.33,28.00,41.00,68.29,14.00,17.00,82.35,2.00,10.00,1.00,5.00,21.00,0.24,10.00,2.00,116.00
L. Sorocabana,1,189.70,87.00,93.00,62.00,16.00,33.00,11.00,22.00,11.00,8.00,1.38,87.00,3.00,16.00,18.75,31.00,48.00,64.58,16.00,25.00,64.00,4.00,5.00,0.63,2.00,17.00,0.12,8.00,1.00,101.00
Pinheiros,1,200.00,85.00,66.00,44.00,14.00,20.00,2.00,18.00,15.00,8.00,1.88,85.00,9.00,19.00,47.37,22.00,36.00,61.11,14.00,22.00,63.64,0.00,1.00,0.13,2.00,19.00,0.11,8.00,1.00,92.00
Fortaleza B. C. / CFO,1,200.00,84.00,69.00,46.00,14.00,40.00,13.00,27.00,8.00,8.00,1.00,84.00,8.00,22.00,36.36,23.00,40.00,57.50,14.00,20.00,70.00,1.00,5.00,0.63,1.00,21.00,0.05,8.00,4.00,103.00
Limeira,1,200.00,81.00,60.00,40.00,14.00,22.00,5.00,17.00,12.00,8.00,1.50,81.00,9.00,20.00,45.00,20.00,39.00,51.28,14.00,17.00,82.35,0.00,7.00,0.88,1.00,23.00,0.04,8.00,1.00,89.00
Joinville,1,200.00,79.00,87.00,58.00,9.00,38.00,9.00,29.00,16.00,13.00,1.23,79.00,4.00,19.00,21.05,29.00,45.00,64.44,9.00,12.00,75.00,2.00,9.00,0.69,3.00,15.00,0.20,13.00,4.00,105.00
Sesi Franca,1,200.00,78.00,87.00,58.00,14.00,26.00,8.00,18.00,15.00,13.00,1.15,78.00,2.00,10.00,20.00,29.00,55.00,52.73,14.00,18.00,77.78,3.00,14.00,1.08,2.00,15.00,0.13,13.00,2.00,90.00
Minas,1,179.10,77.00,72.00,48.00,14.00,29.00,3.00,26.00,9.00,21.00,0.43,77.00,5.00,17.00,29.41,24.00,36.00,66.67,14.00,16.00,87.50,0.00,8.00,0.38,0.00,22.00,0.00,21.00,5.00,83.00
Uberlândia,1,200.00,73.00,63.00,42.00,10.00,33.00,5.00,28.00,16.00,20.00,0.80,73.00,7.00,23.00,30.43,21.00,31.00,67.74,10.00,14.00,71.43,2.00,7.00,0.35,2.00,14.00,0.14,20.00,1.00,86.00
Suzano,1,176.42,70.00,66.00,44.00,8.00,20.00,4.00,16.00,4.00,9.00,0.44,70.00,6.00,19.00,31.58,22.00,35.00,62.86,8.00,13.00,61.54,1.00,4.00,0.44,0.00,19.00,0.00,9.00,1.00,64.00
Brasília,1,186.37,68.00,57.00,38.00,12.00,36.00,9.00,27.00,11.00,12.00,0.92,68.00,6.00,24.00,25.00,19.00,40.00,47.50,12.00,13.00,92.31,0.00,6.00,0.50,3.00,23.00,0.13,12.00,2.00,75.00
Paulistano,1,200.00,67.00,57.00,38.00,11.00,34.00,11.00,23.00,9.00,13.00,0.69,67.00,6.00,18.00,33.33,19.00,44.00,43.18,11.00,21.00,52.38,0.00,4.00,0.31,3.00,20.00,0.15,13.00,6.00,73.00
Palmeiras,1,200.00,67.00,48.00,32.00,20.00,24.00,7.00,17.00,10.00,14.00,0.71,67.00,5.00,19.00,26.32,16.00,33.00,48.48,20.00,25.00,80.00,0.00,5.00,0.36,1.00,18.00,0.06,14.00,3.00,65.00
Espírito Santo,1,200.00,64.00,57.00,38.00,11.00,28.00,11.00,17.00,11.00,13.00,0.85,64.00,5.00,27.00,18.52,19.00,39.00,48.72,11.00,13.00,84.62,1.00,14.00,1.08,1.00,15.00,0.07,13.00,3.00,66.00
Tijuca,1,168.97,58.00,54.00,36.00,7.00,24.00,5.00,19.00,11.00,13.00,0.85,58.00,5.00,15.00,33.33,18.00,43.00,41.86,7.00,13.00,53.85,1.00,6.00,0.46,2.00,15.00,0.13,13.00,1.00,54.00
