Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,200.00,102.00,66.00,44.00,22.00,39.00,10.00,29.00,13.00,16.00,0.81,102.00,12.00,20.00,60.00,22.00,41.00,53.66,22.00,29.00,75.86,1.00,7.00,0.44,1.00,18.00,0.06,16.00,5.00,124.00
Bauru Basket,1,200.00,91.00,42.00,28.00,15.00,27.00,3.00,24.00,20.00,12.00,1.67,91.00,16.00,28.00,57.14,14.00,24.00,58.33,15.00,24.00,62.50,3.00,10.00,0.83,1.00,19.00,0.05,12.00,2.00,117.00
Brasília,1,200.00,90.00,72.00,48.00,9.00,37.00,16.00,21.00,13.00,8.00,1.63,90.00,11.00,23.00,47.83,24.00,50.00,48.00,9.00,11.00,81.82,0.00,11.00,1.38,0.00,19.00,0.00,8.00,1.00,106.00
Pinheiros,1,200.00,85.00,45.00,30.00,10.00,15.00,3.00,12.00,19.00,10.00,1.90,85.00,15.00,32.00,46.88,15.00,29.00,51.72,10.00,19.00,52.63,1.00,9.00,0.90,1.00,19.00,0.05,10.00,2.00,90.00
L. Sorocabana,1,200.00,82.00,63.00,42.00,13.00,29.00,4.00,25.00,12.00,18.00,0.67,82.00,9.00,23.00,39.13,21.00,38.00,55.26,13.00,17.00,76.47,1.00,6.00,0.33,1.00,18.00,0.06,18.00,4.00,85.00
Joinville,1,200.00,79.00,51.00,34.00,18.00,26.00,11.00,15.00,19.00,11.00,1.73,79.00,9.00,28.00,32.14,17.00,34.00,50.00,18.00,23.00,78.26,1.00,12.00,1.09,3.00,28.00,0.11,11.00,3.00,95.00
Espírito Santo,1,200.00,76.00,54.00,36.00,19.00,29.00,6.00,23.00,8.00,14.00,0.57,76.00,7.00,21.00,33.33,18.00,38.00,47.37,19.00,25.00,76.00,3.00,8.00,0.57,0.00,21.00,0.00,14.00,2.00,75.00
Limeira,1,200.00,75.00,51.00,34.00,8.00,34.00,9.00,25.00,20.00,10.00,2.00,75.00,11.00,23.00,47.83,17.00,43.00,39.53,8.00,12.00,66.67,4.00,8.00,0.80,2.00,15.00,0.13,10.00,4.00,95.00
Paulistano,1,200.00,74.00,69.00,46.00,10.00,33.00,9.00,24.00,9.00,11.00,0.82,74.00,6.00,13.00,46.15,23.00,43.00,53.49,10.00,18.00,55.56,1.00,5.00,0.45,0.00,22.00,0.00,11.00,4.00,87.00
Mogi,1,200.00,74.00,60.00,40.00,16.00,38.00,8.00,30.00,9.00,12.00,0.75,74.00,6.00,15.00,40.00,20.00,44.00,45.45,16.00,19.00,84.21,0.00,2.00,0.17,0.00,23.00,0.00,12.00,1.00,79.00
Fortaleza B. C. / CFO,1,200.00,71.00,69.00,46.00,13.00,23.00,3.00,20.00,2.00,3.00,0.67,71.00,4.00,24.00,16.67,23.00,38.00,60.53,13.00,18.00,72.22,1.00,6.00,2.00,4.00,22.00,0.18,3.00,0.00,68.00
Suzano,1,200.00,67.00,51.00,34.00,27.00,37.00,16.00,21.00,6.00,18.00,0.33,67.00,2.00,14.00,14.29,17.00,32.00,53.13,27.00,39.00,69.23,0.00,5.00,0.28,0.00,21.00,0.00,18.00,5.00,75.00
Palmeiras,1,200.00,65.00,45.00,30.00,11.00,34.00,8.00,26.00,13.00,18.00,0.72,65.00,8.00,25.00,32.00,15.00,37.00,40.54,11.00,13.00,84.62,1.00,4.00,0.22,1.00,18.00,0.06,18.00,4.00,64.00
Minas,1,180.02,59.00,57.00,38.00,15.00,30.00,15.00,15.00,6.00,10.00,0.60,59.00,2.00,18.00,11.11,19.00,45.00,42.22,15.00,21.00,71.43,1.00,4.00,0.40,2.00,22.00,0.09,10.00,0.00,49.00
Coop/São José Basketball,1,200.00,57.00,45.00,30.00,9.00,27.00,7.00,20.00,11.00,15.00,0.73,57.00,6.00,26.00,23.08,15.00,36.00,41.67,9.00,14.00,64.29,0.00,6.00,0.40,3.00,18.00,0.17,15.00,3.00,51.00
Tijuca,1,198.97,52.00,39.00,26.00,14.00,19.00,2.00,17.00,10.00,14.00,0.71,52.00,4.00,13.00,30.77,13.00,31.00,41.94,14.00,20.00,70.00,0.00,6.00,0.43,1.00,15.00,0.07,14.00,8.00,55.00
