Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Paulistano,1,200.00,120.00,30.00,44.00,46.00,26.00,9.00,17.00,15.00,8.00,1.88,120.00,10.00,24.00,41.67,22.00,44.00,50.00,46.00,51.00,90.20,0.00,8.00,1.00,0.00,34.00,0.00,8.00,3.00,120.00
Limeira,1,200.00,107.00,48.00,38.00,21.00,28.00,12.00,16.00,24.00,14.00,1.71,107.00,16.00,30.00,53.33,19.00,32.00,59.38,21.00,24.00,87.50,3.00,6.00,0.43,3.00,24.00,0.13,14.00,1.00,124.00
Flamengo,1,200.00,103.00,24.00,60.00,19.00,35.00,4.00,31.00,23.00,12.00,1.92,103.00,8.00,17.00,47.06,30.00,39.00,76.92,19.00,22.00,86.36,0.00,6.00,0.50,3.00,13.00,0.23,12.00,1.00,137.00
Pinheiros,1,200.00,97.00,9.00,68.00,20.00,22.00,6.00,16.00,21.00,9.00,2.33,97.00,3.00,14.00,21.43,34.00,45.00,75.56,20.00,29.00,68.97,6.00,13.00,1.44,3.00,17.00,0.18,9.00,1.00,116.00
Brasília,1,200.00,93.00,21.00,42.00,30.00,38.00,13.00,25.00,13.00,15.00,0.87,93.00,7.00,20.00,35.00,21.00,40.00,52.50,30.00,39.00,76.92,3.00,3.00,0.20,3.00,36.00,0.08,15.00,1.00,94.00
Bauru Basket,1,200.00,92.00,33.00,44.00,15.00,37.00,10.00,27.00,10.00,15.00,0.67,92.00,11.00,27.00,40.74,22.00,36.00,61.11,15.00,19.00,78.95,1.00,8.00,0.53,5.00,19.00,0.26,15.00,4.00,103.00
Minas,1,200.00,90.00,21.00,46.00,23.00,27.00,12.00,15.00,13.00,14.00,0.93,90.00,7.00,22.00,31.82,23.00,37.00,62.16,23.00,26.00,88.46,1.00,5.00,0.36,1.00,24.00,0.04,14.00,1.00,90.00
Coop/São José Basketball,1,200.00,87.00,21.00,40.00,26.00,34.00,10.00,24.00,17.00,18.00,0.94,87.00,7.00,24.00,29.17,20.00,34.00,58.82,26.00,27.00,96.30,0.00,5.00,0.28,2.00,20.00,0.10,18.00,3.00,95.00
Uberlândia,1,200.00,83.00,21.00,42.00,20.00,30.00,6.00,24.00,13.00,13.00,1.00,83.00,7.00,22.00,31.82,21.00,32.00,65.63,20.00,27.00,74.07,4.00,5.00,0.38,6.00,23.00,0.26,13.00,4.00,91.00
Araraquara,1,199.68,81.00,27.00,40.00,14.00,24.00,3.00,21.00,17.00,12.00,1.42,81.00,9.00,18.00,50.00,20.00,40.00,50.00,14.00,18.00,77.78,0.00,5.00,0.42,2.00,19.00,0.11,12.00,3.00,84.00
L. Sorocabana,1,200.00,77.00,21.00,32.00,24.00,25.00,13.00,12.00,11.00,13.00,0.85,77.00,7.00,23.00,30.43,16.00,37.00,43.24,24.00,31.00,77.42,0.00,6.00,0.46,1.00,23.00,0.04,13.00,5.00,63.00
Joinville,1,200.00,76.00,9.00,42.00,25.00,29.00,11.00,18.00,8.00,6.00,1.33,76.00,3.00,10.00,30.00,21.00,47.00,44.68,25.00,31.00,80.65,1.00,5.00,0.83,0.00,20.00,0.00,6.00,2.00,73.00
Sesi Franca,1,200.00,76.00,21.00,38.00,17.00,25.00,8.00,17.00,16.00,14.00,1.14,76.00,7.00,25.00,28.00,19.00,38.00,50.00,17.00,22.00,77.27,2.00,10.00,0.71,5.00,24.00,0.21,14.00,4.00,76.00
Espírito Santo,1,200.00,41.00,6.00,26.00,9.00,22.00,8.00,14.00,5.00,17.00,0.29,41.00,2.00,18.00,11.11,13.00,40.00,32.50,9.00,14.00,64.29,0.00,3.00,0.18,1.00,17.00,0.06,17.00,8.00,7.00
