Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Paulistano,1,198.13,107.00,30.00,56.00,21.00,33.00,7.00,26.00,18.00,25.00,0.72,107.00,10.00,20.00,50.00,28.00,40.00,70.00,21.00,24.00,87.50,2.00,7.00,0.28,3.00,24.00,0.13,25.00,10.00,118.00
Brasília,1,200.00,104.00,24.00,56.00,24.00,34.00,8.00,26.00,20.00,20.00,1.00,104.00,8.00,18.00,44.44,28.00,45.00,62.22,24.00,26.00,92.31,1.00,7.00,0.35,2.00,20.00,0.10,20.00,6.00,118.00
Sesi Franca,1,200.00,95.00,36.00,46.00,13.00,25.00,8.00,17.00,17.00,14.00,1.21,95.00,12.00,28.00,42.86,23.00,45.00,51.11,13.00,13.00,100.00,0.00,9.00,0.64,1.00,24.00,0.04,14.00,2.00,95.00
Flamengo,1,200.00,93.00,27.00,52.00,14.00,34.00,6.00,28.00,25.00,8.00,3.13,93.00,9.00,21.00,42.86,26.00,38.00,68.42,14.00,19.00,73.68,2.00,12.00,1.50,2.00,15.00,0.13,8.00,1.00,129.00
Araraquara,1,200.00,90.00,27.00,44.00,19.00,21.00,7.00,14.00,19.00,18.00,1.06,90.00,9.00,22.00,40.91,22.00,43.00,51.16,19.00,26.00,73.08,2.00,10.00,0.56,0.00,20.00,0.00,18.00,5.00,81.00
Uberlândia,1,200.00,86.00,27.00,48.00,11.00,28.00,7.00,21.00,25.00,12.00,2.08,86.00,9.00,20.00,45.00,24.00,40.00,60.00,11.00,15.00,73.33,10.00,6.00,0.50,1.00,16.00,0.06,12.00,1.00,103.00
Pinheiros,1,199.75,77.00,27.00,26.00,24.00,28.00,8.00,20.00,16.00,11.00,1.45,77.00,9.00,21.00,42.86,13.00,33.00,39.39,24.00,27.00,88.89,1.00,8.00,0.73,5.00,18.00,0.28,11.00,4.00,88.00
Joinville,1,223.23,76.00,21.00,36.00,19.00,30.00,10.00,20.00,11.00,9.00,1.22,76.00,7.00,18.00,38.89,18.00,44.00,40.91,19.00,30.00,63.33,1.00,10.00,1.11,2.00,26.00,0.08,9.00,2.00,72.00
Minas,1,200.00,73.00,18.00,46.00,9.00,21.00,4.00,17.00,15.00,10.00,1.50,73.00,6.00,20.00,30.00,23.00,40.00,57.50,9.00,12.00,75.00,1.00,8.00,0.80,1.00,17.00,0.06,10.00,3.00,74.00
Limeira,1,200.00,73.00,15.00,44.00,14.00,32.00,10.00,22.00,12.00,12.00,1.00,73.00,5.00,22.00,22.73,22.00,40.00,55.00,14.00,15.00,93.33,3.00,3.00,0.25,1.00,25.00,0.04,12.00,0.00,73.00
Bauru Basket,1,200.00,72.00,24.00,34.00,14.00,30.00,8.00,22.00,7.00,14.00,0.50,72.00,8.00,18.00,44.44,17.00,38.00,44.74,14.00,20.00,70.00,2.00,5.00,0.36,1.00,12.00,0.08,14.00,3.00,64.00
Espírito Santo,1,225.00,72.00,21.00,28.00,23.00,34.00,14.00,20.00,0.00,16.00,0.00,72.00,7.00,19.00,36.84,14.00,35.00,40.00,23.00,28.00,82.14,0.00,5.00,0.31,4.00,26.00,0.15,16.00,2.00,61.00
Tijuca,1,199.88,66.00,18.00,40.00,8.00,31.00,10.00,21.00,14.00,11.00,1.27,66.00,6.00,21.00,28.57,20.00,43.00,46.51,8.00,10.00,80.00,1.00,3.00,0.27,3.00,16.00,0.19,11.00,1.00,66.00
L. Sorocabana,1,200.00,55.00,15.00,26.00,14.00,28.00,10.00,18.00,3.00,13.00,0.23,55.00,5.00,24.00,20.83,13.00,32.00,40.63,14.00,16.00,87.50,0.00,5.00,0.38,0.00,20.00,0.00,13.00,2.00,38.00
