Data,Equipe_Casa,Pontos_Casa,Pontos_Visitante,Equipe_Visitante,Rodada,Etapa
09/11/2013,Flamengo,84,82,Brasília,1,1
14/11/2013,Pinheiros,53,91,Limeira,1,1
14/11/2013,Macaé,84,79,Goiânia,1,1
14/11/2013,Mogi,90,52,Franca,1,1
14/11/2013,Bauru,74,78,Palmeiras,1,1
14/11/2013,São José,87,72,L. Sorocabana,1,1
14/11/2013,Basq. Cearense,86,96,Uberlândia,1,1
16/11/2013,São José,79,73,Paulistano,2,1
16/11/2013,Flamengo,83,69,Goiânia,2,1
16/11/2013,Bauru,91,97,Pinheiros,2,1
16/11/2013,Palmeiras,67,85,Limeira,2,1
16/11/2013,Basq. Cearense,80,65,Franca,2,1
16/11/2013,Mogi,71,73,Uberlândia,2,1
16/11/2013,Espírito Santo,68,67,Minas,2,1
21/11/2013,Goiânia,64,78,Mogi,3,1
21/11/2013,Pinheiros,82,78,Macaé,3,1
21/11/2013,Minas,87,90,São José,3,1
21/11/2013,Paulistano,56,72,Limeira,3,1
21/11/2013,L. Sorocabana,72,85,Bauru,3,1
21/11/2013,Palmeiras,71,84,Flamengo,3,1
21/11/2013,Brasília,88,75,Basq. Cearense,3,1
23/11/2013,Goiânia,75,63,Basq. Cearense,4,1
23/11/2013,Espírito Santo,86,79,São José,4,1
23/11/2013,Pinheiros,74,62,Flamengo,4,1
23/11/2013,Paulistano,87,66,Bauru,4,1
23/11/2013,L. Sorocabana,74,76,Limeira,4,1
23/11/2013,Palmeiras,92,85,Macaé,4,1
23/11/2013,Brasília,78,85,Mogi,4,1
23/11/2013,Franca,92,75,Uberlândia,4,1
28/11/2013,Macaé,68,80,Paulistano,5,1
28/11/2013,Uberlândia,93,97,Goiânia,5,1
28/11/2013,Basq. Cearense,70,69,Palmeiras,5,1
28/11/2013,Mogi,80,88,Pinheiros,5,1
28/11/2013,Limeira,83,53,Espírito Santo,5,1
28/11/2013,Flamengo,95,72,L. Sorocabana,5,1
30/11/2013,Basq. Cearense,94,97,Pinheiros,6,1
30/11/2013,Limeira,74,66,Minas,6,1
30/11/2013,Macaé,91,67,L. Sorocabana,6,1
30/11/2013,Flamengo,80,58,Paulistano,6,1
30/11/2013,Franca,61,63,Goiânia,6,1
30/11/2013,Mogi,89,69,Palmeiras,6,1
03/12/2013,Franca,75,70,Brasília,5,1
05/12/2013,Pinheiros,76,84,Uberlândia,7,1
05/12/2013,São José,76,82,Limeira,7,1
05/12/2013,Espírito Santo,65,89,Macaé,7,1
05/12/2013,Minas,84,66,Flamengo,7,1
05/12/2013,Paulistano,93,89,Mogi,7,1
05/12/2013,L. Sorocabana,92,83,Basq. Cearense,7,1
06/12/2013,Palmeiras,89,84,Franca,7,1
07/12/2013,Pinheiros,96,87,Franca,8,1
07/12/2013,Goiânia,72,101,Brasília,8,1
07/12/2013,São José,78,88,Bauru,8,1
07/12/2013,Minas,67,65,Macaé,8,1
07/12/2013,Paulistano,94,79,Basq. Cearense,8,1
07/12/2013,L. Sorocabana,81,79,Mogi,8,1
07/12/2013,Palmeiras,68,64,Uberlândia,8,1
07/12/2013,Espírito Santo,60,77,Flamengo,8,1
09/12/2013,Uberlândia,95,81,Brasília,6,1
11/12/2013,Franca,80,73,L. Sorocabana,9,1
12/12/2013,Goiânia,81,77,Palmeiras,9,1
12/12/2013,Macaé,82,85,São José,9,1
12/12/2013,Uberlândia,80,81,Paulistano,9,1
12/12/2013,Mogi,94,76,Espírito Santo,9,1
12/12/2013,Brasília,84,82,Pinheiros,9,1
12/12/2013,Basq. Cearense,60,71,Minas,9,1
14/12/2013,Mogi,70,60,Minas,10,1
14/12/2013,Goiânia,74,88,Pinheiros,10,1
14/12/2013,Brasília,71,77,Palmeiras,10,1
14/12/2013,Flamengo,59,81,São José,10,1
14/12/2013,Bauru,71,90,Limeira,10,1
14/12/2013,Franca,83,84,Paulistano,10,1
14/12/2013,Uberlândia,87,63,L. Sorocabana,10,1
14/12/2013,Basq. Cearense,78,60,Espírito Santo,10,1
16/12/2013,Macaé,78,91,Brasília,2,1
19/12/2013,Limeira,67,88,Flamengo,11,1
19/12/2013,Bauru,90,86,Macaé,11,1
19/12/2013,São José,90,78,Mogi,11,1
19/12/2013,Minas,59,65,Franca,11,1
19/12/2013,Paulistano,96,74,Brasília,11,1
19/12/2013,L. Sorocabana,96,98,Goiânia,11,1
20/12/2013,Pinheiros,98,91,Palmeiras,12,1
21/12/2013,Minas,83,91,Uberlândia,12,1
21/12/2013,Bauru,94,96,Flamengo,12,1
21/12/2013,São José,54,71,Basq. Cearense,12,1
21/12/2013,Paulistano,95,93,Goiânia,12,1
21/12/2013,L. Sorocabana,83,84,Brasília,12,1
21/12/2013,Limeira,76,74,Macaé,12,1
05/01/2014,Palmeiras,75,68,Paulistano,13,1
05/01/2014,Goiânia,53,62,Minas,13,1
05/01/2014,Brasília,98,73,Espírito Santo,13,1
05/01/2014,Mogi,75,74,Bauru,13,1
05/01/2014,Basq. Cearense,73,64,Limeira,13,1
05/01/2014,Pinheiros,95,65,L. Sorocabana,13,1
05/01/2014,Uberlândia,92,104,São José,13,1
07/01/2014,Franca,91,82,São José,14,1
07/01/2014,Goiânia,82,83,Espírito Santo,14,1
07/01/2014,Flamengo,79,69,Macaé,13,1
07/01/2014,Palmeiras,69,71,L. Sorocabana,14,1
07/01/2014,Brasília,82,54,Minas,14,1
07/01/2014,Mogi,67,78,Limeira,14,1
07/01/2014,Basq. Cearense,84,80,Bauru,14,1
08/01/2014,Pinheiros,91,93,Paulistano,14,1
11/01/2014,Minas,66,75,Pinheiros,15,1
11/01/2014,Flamengo,92,76,Mogi,15,1
11/01/2014,Bauru,74,76,Uberlândia,15,1
11/01/2014,São José,77,87,Brasília,15,1
11/01/2014,Paulistano,96,70,L. Sorocabana,15,1
11/01/2014,Limeira,64,80,Franca,15,1
11/01/2014,Espírito Santo,90,95,Palmeiras,15,1
11/01/2014,Macaé,80,74,Basq. Cearense,15,1
13/01/2014,Macaé,79,74,Mogi,16,1
13/01/2014,Bauru,87,72,Franca,16,1
13/01/2014,Limeira,69,81,Uberlândia,16,1
13/01/2014,São José,82,75,Goiânia,16,1
13/01/2014,Espírito Santo,50,97,Pinheiros,16,1
13/01/2014,Minas,85,75,Palmeiras,16,1
13/01/2014,Flamengo,72,69,Basq. Cearense,16,1
16/01/2014,Goiânia,65,67,Limeira,17,1
16/01/2014,Paulistano,80,66,Minas,17,1
16/01/2014,L. Sorocabana,75,67,Espírito Santo,17,1
16/01/2014,Palmeiras,92,74,São José,17,1
16/01/2014,Brasília,82,72,Bauru,17,1
16/01/2014,Franca,82,68,Macaé,17,1
16/01/2014,Uberlândia,95,101,Flamengo,17,1
18/01/2014,Pinheiros,77,95,São José,18,1
18/01/2014,Brasília,82,67,Limeira,18,1
18/01/2014,Uberlândia,98,86,Macaé,18,1
18/01/2014,Goiânia,83,87,Bauru,18,1
18/01/2014,Paulistano,96,61,Espírito Santo,18,1
18/01/2014,L. Sorocabana,79,76,Minas,18,1
18/01/2014,Franca,70,80,Flamengo,18,1
18/01/2014,Basq. Cearense,71,69,Mogi,18,1
20/01/2014,Bauru,79,74,Espírito Santo,6,1
23/01/2014,Uberlândia,76,83,Basq. Cearense,1,2
23/01/2014,Franca,74,78,Mogi,1,2
23/01/2014,Palmeiras,87,84,Bauru,1,2
23/01/2014,L. Sorocabana,73,80,São José,1,2
23/01/2014,Goiânia,74,95,Flamengo,2,2
23/01/2014,Brasília,96,71,Macaé,2,2
25/01/2014,Brasília,79,81,Flamengo,1,2
25/01/2014,Goiânia,66,72,Macaé,1,2
25/01/2014,Paulistano,92,93,São José,2,2
25/01/2014,Minas,73,62,Espírito Santo,2,2
25/01/2014,Franca,73,61,Basq. Cearense,2,2
25/01/2014,Uberlândia,79,76,Mogi,2,2
25/01/2014,Limeira,93,81,Palmeiras,2,2
27/01/2014,Flamengo,90,73,Espírito Santo,8,2
28/01/2014,Bauru,76,69,Minas,5,1
28/01/2014,Brasília,87,72,Franca,5,2
30/01/2014,São José,79,72,Minas,3,2
30/01/2014,Limeira,87,78,Paulistano,3,2
30/01/2014,Bauru,110,93,L. Sorocabana,3,2
30/01/2014,Flamengo,84,76,Palmeiras,3,2
30/01/2014,Mogi,82,76,Goiânia,3,2
30/01/2014,Basq. Cearense,88,77,Brasília,3,2
01/02/2014,São José,88,72,Espírito Santo,4,2
01/02/2014,Bauru,77,90,Paulistano,4,2
01/02/2014,Limeira,69,71,L. Sorocabana,4,2
01/02/2014,Macaé,101,93,Palmeiras,4,2
01/02/2014,Basq. Cearense,102,85,Goiânia,4,2
01/02/2014,Mogi,85,90,Brasília,4,2
01/02/2014,Flamengo,71,80,Pinheiros,4,2
03/02/2014,Macaé,77,80,Pinheiros,3,2
03/02/2014,Flamengo,90,59,Minas,7,2
06/02/2014,Pinheiros,84,82,Mogi,5,2
06/02/2014,Goiânia,75,94,Uberlândia,5,2
06/02/2014,Palmeiras,69,85,Basq. Cearense,5,2
06/02/2014,L. Sorocabana,79,98,Flamengo,5,2
06/02/2014,Paulistano,110,93,Macaé,5,2
06/02/2014,Minas,71,77,Bauru,5,2
06/02/2014,Espírito Santo,84,99,Limeira,5,2
08/02/2014,Pinheiros,93,73,Basq. Cearense,6,2
08/02/2014,Goiânia,83,78,Franca,6,2
08/02/2014,Palmeiras,98,91,Mogi,6,2
08/02/2014,Paulistano,67,98,Flamengo,6,2
08/02/2014,Minas,64,62,Limeira,6,2
08/02/2014,Espírito Santo,85,88,Bauru,6,2
08/02/2014,L. Sorocabana,73,54,Macaé,6,2
10/02/2014,Uberlândia,94,87,Franca,4,2
11/02/2014,Pinheiros,73,81,Bauru,2,2
13/02/2014,Macaé,85,67,Espírito Santo,7,2
13/02/2014,Limeira,81,73,São José,7,2
13/02/2014,Mogi,66,79,Paulistano,7,2
13/02/2014,Uberlândia,76,77,Pinheiros,7,2
13/02/2014,Franca,95,62,Palmeiras,7,2
13/02/2014,Basq. Cearense,92,87,L. Sorocabana,7,2
15/02/2014,Bauru,78,76,São José,8,2
15/02/2014,Brasília,91,82,Goiânia,8,2
15/02/2014,Macaé,85,69,Minas,8,2
15/02/2014,Basq. Cearense,54,77,Paulistano,8,2
15/02/2014,Mogi,89,61,L. Sorocabana,8,2
15/02/2014,Franca,94,74,Pinheiros,8,2
15/02/2014,Uberlândia,79,77,Palmeiras,8,2
18/02/2014,Limeira,72,79,Pinheiros,1,2
18/02/2014,Brasília,84,75,Uberlândia,6,2
25/02/2014,Pinheiros,82,110,Brasília,9,2
25/02/2014,Limeira,79,86,Bauru,9,2
25/02/2014,Palmeiras,86,63,Goiânia,9,2
25/02/2014,L. Sorocabana,79,88,Franca,9,2
25/02/2014,Paulistano,90,79,Uberlândia,9,2
25/02/2014,Minas,79,81,Basq. Cearense,9,2
25/02/2014,Espírito Santo,70,73,Mogi,9,2
25/02/2014,São José,96,88,Macaé,9,2
27/02/2014,Paulistano,96,86,Franca,10,2
27/02/2014,Pinheiros,90,78,Goiânia,10,2
27/02/2014,Palmeiras,82,94,Brasília,10,2
27/02/2014,Espírito Santo,82,74,Basq. Cearense,10,2
27/02/2014,Minas,94,93,Mogi,10,2
06/03/2014,Mogi,90,91,São José,11,2
06/03/2014,Macaé,98,94,Bauru,11,2
06/03/2014,Goiânia,92,90,L. Sorocabana,11,2
06/03/2014,Franca,84,65,Minas,11,2
06/03/2014,Brasília,100,77,Paulistano,11,2
08/03/2014,Basq. Cearense,74,64,São José,12,2
08/03/2014,Goiânia,74,76,Paulistano,12,2
08/03/2014,Flamengo,85,66,Bauru,12,2
08/03/2014,Brasília,102,65,L. Sorocabana,12,2
08/03/2014,Franca,106,82,Espírito Santo,12,2
08/03/2014,Uberlândia,82,61,Minas,12,2
08/03/2014,Macaé,62,76,Limeira,12,2
10/03/2014,Flamengo,81,71,Limeira,11,2
