Data,Equipe_Casa,Pontos_Casa,Pontos_Visitante,Equipe_Visitante,Rodada,Etapa
13/10/2023,Flamengo,70,87,Minas,1,1
15/10/2023,Flamengo,84,71,Pato Basquete,1,1
21/10/2023,BRB/Brasília,72,84,Corinthians,1,1
21/10/2023,Botafogo,76,96,Minas,1,1
21/10/2023,Sesi Franca,100,92,São Paulo,1,1
21/10/2023,Cerrado,62,69,Pinheiros,1,1
23/10/2023,Cerrado,58,67,Corinthians,2,1
23/10/2023,BRB/Brasília,94,76,Pinheiros,2,1
23/10/2023,Sesi Franca,89,50,Paulistano,2,1
23/10/2023,R10 Score Vasco da Gama,60,72,Minas,2,1
24/10/2023,Bauru Basket,87,66,São Paulo,2,1
24/10/2023,Botafogo,71,79,Pato Basquete,2,1
24/10/2023,Caxias do Sul Basquete,66,82,União Corinthians,2,1
25/10/2023,Coop/São José Basketball,62,68,UNIFACISA,2,1
25/10/2023,Mogi,63,65,Fortaleza B. C.,2,1
26/10/2023,Bauru Basket,75,71,Paulistano,2,1
26/10/2023,R10 Score Vasco da Gama,71,62,Pato Basquete,2,1
27/10/2023,Coop/São José Basketball,78,82,Fortaleza B. C.,2,1
27/10/2023,Mogi,68,82,UNIFACISA,2,1
28/10/2023,União Corinthians,82,78,Botafogo,2,1
30/10/2023,União Corinthians,65,74,R10 Score Vasco da Gama,3,1
30/10/2023,Caxias do Sul Basquete,74,67,Botafogo,3,1
31/10/2023,Pato Basquete,83,65,Cerrado,3,1
31/10/2023,Fortaleza B. C.,80,77,Bauru Basket,3,1
01/11/2023,Caxias do Sul Basquete,63,68,R10 Score Vasco da Gama,3,1
02/11/2023,Paulistano,71,52,São Paulo,3,1
02/11/2023,UNIFACISA,89,58,Bauru Basket,3,1
03/11/2023,Pato Basquete,78,80,BRB/Brasília,3,1
04/11/2023,Botafogo,62,79,R10 Score Vasco da Gama,3,1
04/11/2023,Paulistano,80,73,Fortaleza B. C.,3,1
06/11/2023,Paulistano,67,55,UNIFACISA,4,1
06/11/2023,Coop/São José Basketball,100,69,Pato Basquete,4,1
06/11/2023,São Paulo,70,86,Fortaleza B. C.,4,1
