Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Limeira,1,0.00,107.00,21.00,56.00,30.00,32.00,11.00,21.00,17.00,14.00,1.21,107.00,7.00,21.00,33.33,28.00,46.00,60.87,30.00,42.00,71.43,4.00,18.00,1.29,1.00,25.00,0.04,14.00,0.00,117.00
Joinville,1,0.00,98.00,30.00,42.00,26.00,37.00,13.00,24.00,9.00,24.00,0.38,98.00,10.00,27.00,37.04,21.00,39.00,53.85,26.00,32.00,81.25,3.00,9.00,0.38,2.00,36.00,0.06,24.00,0.00,90.00
Araraquara,1,0.00,97.00,39.00,44.00,14.00,33.00,8.00,25.00,20.00,29.00,0.69,97.00,13.00,29.00,44.83,22.00,33.00,66.67,14.00,21.00,66.67,2.00,15.00,0.52,2.00,31.00,0.06,29.00,0.00,104.00
Minas,1,0.00,96.00,27.00,48.00,21.00,23.00,8.00,15.00,16.00,20.00,0.80,96.00,9.00,24.00,37.50,24.00,40.00,60.00,21.00,32.00,65.63,0.00,15.00,0.75,5.00,17.00,0.29,20.00,0.00,93.00
Sesi Franca,1,0.00,92.00,15.00,54.00,23.00,23.00,7.00,16.00,19.00,11.00,1.73,92.00,5.00,17.00,29.41,27.00,43.00,62.79,23.00,29.00,79.31,3.00,14.00,1.27,1.00,18.00,0.06,11.00,0.00,104.00
Espírito Santo,1,0.00,91.00,12.00,54.00,25.00,25.00,9.00,16.00,15.00,25.00,0.60,91.00,4.00,23.00,17.39,27.00,44.00,61.36,25.00,37.00,67.57,2.00,20.00,0.80,2.00,21.00,0.10,25.00,0.00,80.00
Flamengo,1,0.00,86.00,27.00,44.00,15.00,35.00,9.00,26.00,15.00,18.00,0.83,86.00,9.00,25.00,36.00,22.00,39.00,56.41,15.00,17.00,88.24,2.00,7.00,0.39,1.00,19.00,0.05,18.00,0.00,91.00
Brasília,1,0.00,86.00,27.00,30.00,29.00,35.00,5.00,30.00,14.00,14.00,1.00,86.00,9.00,19.00,47.37,15.00,29.00,51.72,29.00,42.00,69.05,2.00,6.00,0.43,5.00,27.00,0.19,14.00,0.00,95.00
Paulistano,1,0.00,83.00,15.00,52.00,16.00,33.00,13.00,20.00,10.00,22.00,0.45,83.00,5.00,20.00,25.00,26.00,48.00,54.17,16.00,23.00,69.57,1.00,11.00,0.50,5.00,25.00,0.20,22.00,0.00,76.00
Lajeado,1,0.00,83.00,39.00,28.00,16.00,33.00,6.00,27.00,13.00,11.00,1.18,83.00,13.00,26.00,50.00,14.00,31.00,45.16,16.00,27.00,59.26,0.00,6.00,0.55,0.00,19.00,0.00,11.00,0.00,83.00
Pinheiros,1,0.00,81.00,30.00,38.00,13.00,31.00,12.00,19.00,17.00,14.00,1.21,81.00,10.00,32.00,31.25,19.00,35.00,54.29,13.00,17.00,76.47,0.00,13.00,0.93,0.00,14.00,0.00,14.00,0.00,86.00
Assis,1,0.00,80.00,24.00,32.00,24.00,26.00,8.00,18.00,15.00,10.00,1.50,80.00,8.00,28.00,28.57,16.00,36.00,44.44,24.00,31.00,77.42,0.00,5.00,0.50,2.00,29.00,0.07,10.00,0.00,71.00
Coop/São José Basketball,1,0.00,76.00,39.00,24.00,13.00,19.00,3.00,16.00,9.00,8.00,1.13,76.00,13.00,29.00,44.83,12.00,21.00,57.14,13.00,18.00,72.22,0.00,7.00,0.88,2.00,21.00,0.10,8.00,0.00,75.00
Saldanha,1,0.00,73.00,18.00,48.00,7.00,33.00,15.00,18.00,14.00,25.00,0.56,73.00,6.00,20.00,30.00,24.00,40.00,60.00,7.00,12.00,58.33,6.00,8.00,0.32,2.00,20.00,0.10,25.00,0.00,70.00
