Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Brasília,1,0.00,116.00,27.00,60.00,29.00,29.00,6.00,23.00,20.00,14.00,1.43,116.00,9.00,19.00,47.37,30.00,39.00,76.92,29.00,36.00,80.56,4.00,9.00,0.64,3.00,28.00,0.11,14.00,0.00,137.00
Sesi Franca,1,0.00,93.00,27.00,48.00,18.00,34.00,11.00,23.00,15.00,10.00,1.50,93.00,9.00,21.00,42.86,24.00,44.00,54.55,18.00,22.00,81.82,0.00,9.00,0.90,4.00,20.00,0.20,10.00,0.00,109.00
Pinheiros,1,0.00,91.00,27.00,50.00,14.00,30.00,7.00,23.00,11.00,17.00,0.65,91.00,9.00,24.00,37.50,25.00,40.00,62.50,14.00,17.00,82.35,6.00,7.00,0.41,2.00,14.00,0.14,17.00,0.00,91.00
Flamengo,1,0.00,90.00,36.00,36.00,18.00,29.00,4.00,25.00,18.00,13.00,1.38,90.00,12.00,29.00,41.38,18.00,26.00,69.23,18.00,23.00,78.26,1.00,8.00,0.62,0.00,19.00,0.00,13.00,0.00,102.00
Limeira,1,0.00,88.00,21.00,42.00,25.00,23.00,9.00,14.00,10.00,13.00,0.77,88.00,7.00,25.00,28.00,21.00,39.00,53.85,25.00,32.00,78.13,1.00,6.00,0.46,2.00,23.00,0.09,13.00,0.00,73.00
Espírito Santo,1,0.00,85.00,18.00,30.00,37.00,32.00,13.00,19.00,14.00,15.00,0.93,85.00,6.00,22.00,27.27,15.00,30.00,50.00,37.00,46.00,80.43,0.00,10.00,0.67,2.00,19.00,0.11,15.00,0.00,88.00
Bauru Basket,1,0.00,80.00,36.00,34.00,10.00,29.00,8.00,21.00,14.00,11.00,1.27,80.00,12.00,24.00,50.00,17.00,36.00,47.22,10.00,13.00,76.92,1.00,5.00,0.45,1.00,18.00,0.06,11.00,0.00,84.00
Paulistano,1,0.00,75.00,18.00,42.00,15.00,30.00,13.00,17.00,14.00,15.00,0.93,75.00,6.00,22.00,27.27,21.00,36.00,58.33,15.00,26.00,57.69,1.00,11.00,0.73,2.00,29.00,0.07,15.00,0.00,75.00
Joinville,1,0.00,75.00,21.00,44.00,10.00,35.00,14.00,21.00,14.00,14.00,1.00,75.00,7.00,21.00,33.33,22.00,47.00,46.81,10.00,13.00,76.92,3.00,7.00,0.50,6.00,19.00,0.32,14.00,0.00,81.00
Saldanha,1,0.00,74.00,12.00,48.00,14.00,28.00,9.00,19.00,14.00,16.00,0.88,74.00,4.00,23.00,17.39,24.00,40.00,60.00,14.00,15.00,93.33,9.00,9.00,0.56,4.00,21.00,0.19,16.00,0.00,77.00
Lajeado,1,0.00,73.00,27.00,30.00,16.00,23.00,10.00,13.00,10.00,10.00,1.00,73.00,9.00,29.00,31.03,15.00,29.00,51.72,16.00,23.00,69.57,0.00,8.00,0.80,1.00,19.00,0.05,10.00,0.00,64.00
Araraquara,1,0.00,72.00,21.00,30.00,21.00,29.00,6.00,23.00,20.00,20.00,1.00,72.00,7.00,17.00,41.18,15.00,31.00,48.39,21.00,25.00,84.00,0.00,8.00,0.40,4.00,30.00,0.13,20.00,0.00,83.00
Minas,1,0.00,64.00,18.00,30.00,16.00,33.00,11.00,22.00,8.00,16.00,0.50,64.00,6.00,21.00,28.57,15.00,34.00,44.12,16.00,21.00,76.19,2.00,8.00,0.50,3.00,17.00,0.18,16.00,0.00,61.00
Assis,1,0.00,59.00,12.00,24.00,23.00,23.00,5.00,18.00,10.00,20.00,0.50,59.00,4.00,21.00,19.05,12.00,29.00,41.38,23.00,31.00,74.19,1.00,9.00,0.45,2.00,24.00,0.08,20.00,0.00,41.00
