Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Espírito Santo,1,0.00,93.00,21.00,42.00,30.00,36.00,15.00,21.00,15.00,16.00,0.94,93.00,7.00,15.00,46.67,21.00,38.00,55.26,30.00,47.00,63.83,3.00,3.00,0.19,4.00,26.00,0.15,16.00,0.00,93.00
Paulistano,1,0.00,93.00,30.00,46.00,17.00,25.00,9.00,16.00,19.00,13.00,1.46,93.00,10.00,18.00,55.56,23.00,42.00,54.76,17.00,22.00,77.27,0.00,7.00,0.54,4.00,22.00,0.18,13.00,0.00,103.00
Bauru Basket,1,0.00,92.00,33.00,30.00,29.00,30.00,13.00,17.00,15.00,13.00,1.15,92.00,11.00,25.00,44.00,15.00,32.00,46.88,29.00,42.00,69.05,1.00,7.00,0.54,0.00,19.00,0.00,13.00,0.00,87.00
Pinheiros,1,0.00,89.00,30.00,42.00,17.00,25.00,6.00,19.00,15.00,17.00,0.88,89.00,10.00,16.00,62.50,21.00,36.00,58.33,17.00,22.00,77.27,5.00,10.00,0.59,1.00,19.00,0.05,17.00,0.00,97.00
Joinville,1,0.00,84.00,15.00,44.00,25.00,28.00,9.00,19.00,11.00,12.00,0.92,84.00,5.00,26.00,19.23,22.00,39.00,56.41,25.00,37.00,67.57,3.00,16.00,1.33,3.00,23.00,0.13,12.00,0.00,80.00
Minas,1,0.00,83.00,18.00,48.00,17.00,32.00,7.00,25.00,15.00,12.00,1.25,83.00,6.00,20.00,30.00,24.00,35.00,68.57,17.00,22.00,77.27,1.00,6.00,0.50,9.00,18.00,0.50,12.00,0.00,103.00
Lajeado,1,0.00,80.00,15.00,44.00,21.00,17.00,7.00,10.00,11.00,14.00,0.79,80.00,5.00,20.00,25.00,22.00,42.00,52.38,21.00,25.00,84.00,0.00,13.00,0.93,1.00,39.00,0.03,14.00,0.00,69.00
Coop/São José Basketball,1,0.00,78.00,33.00,34.00,11.00,29.00,14.00,15.00,13.00,9.00,1.44,78.00,11.00,28.00,39.29,17.00,48.00,35.42,11.00,14.00,78.57,0.00,5.00,0.56,2.00,22.00,0.09,9.00,0.00,67.00
Brasília,1,0.00,77.00,18.00,40.00,19.00,31.00,2.00,29.00,12.00,12.00,1.00,77.00,6.00,23.00,26.09,20.00,32.00,62.50,19.00,27.00,70.37,1.00,3.00,0.25,5.00,16.00,0.31,12.00,0.00,79.00
Sesi Franca,1,0.00,76.00,18.00,44.00,14.00,26.00,4.00,22.00,10.00,11.00,0.91,76.00,6.00,23.00,26.09,22.00,44.00,50.00,14.00,18.00,77.78,0.00,12.00,1.09,3.00,27.00,0.11,11.00,0.00,73.00
Flamengo,1,0.00,76.00,18.00,42.00,16.00,39.00,9.00,30.00,12.00,14.00,0.86,76.00,6.00,28.00,21.43,21.00,35.00,60.00,16.00,18.00,88.89,1.00,6.00,0.43,2.00,24.00,0.08,14.00,0.00,83.00
Assis,1,0.00,71.00,21.00,38.00,12.00,21.00,8.00,13.00,15.00,15.00,1.00,71.00,7.00,21.00,33.33,19.00,38.00,50.00,12.00,12.00,100.00,2.00,5.00,0.33,0.00,22.00,0.00,15.00,0.00,64.00
Limeira,1,0.00,65.00,21.00,30.00,14.00,33.00,8.00,25.00,17.00,17.00,1.00,65.00,7.00,24.00,29.17,15.00,32.00,46.88,14.00,23.00,60.87,1.00,6.00,0.35,1.00,20.00,0.05,17.00,0.00,62.00
Saldanha,1,0.00,61.00,18.00,24.00,19.00,40.00,14.00,26.00,11.00,25.00,0.44,61.00,6.00,29.00,20.69,12.00,27.00,44.44,19.00,32.00,59.38,1.00,10.00,0.40,2.00,28.00,0.07,25.00,0.00,48.00
