Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Limeira,1,0.00,99.00,45.00,40.00,14.00,24.00,4.00,20.00,22.00,16.00,1.38,99.00,15.00,25.00,60.00,20.00,32.00,62.50,14.00,17.00,82.35,2.00,8.00,0.50,5.00,24.00,0.21,16.00,0.00,117.00
Flamengo,1,0.00,93.00,33.00,48.00,12.00,29.00,7.00,22.00,26.00,19.00,1.37,93.00,11.00,23.00,47.83,24.00,39.00,61.54,12.00,18.00,66.67,5.00,17.00,0.89,0.00,17.00,0.00,19.00,0.00,113.00
Assis,1,0.00,93.00,27.00,46.00,20.00,38.00,11.00,27.00,17.00,15.00,1.13,93.00,9.00,18.00,50.00,23.00,35.00,65.71,20.00,32.00,62.50,3.00,4.00,0.27,6.00,19.00,0.32,15.00,0.00,110.00
Pinheiros,1,0.00,92.00,21.00,44.00,27.00,37.00,9.00,28.00,15.00,13.00,1.15,92.00,7.00,19.00,36.84,22.00,39.00,56.41,27.00,39.00,69.23,4.00,6.00,0.46,3.00,17.00,0.18,13.00,0.00,99.00
Minas,1,0.00,86.00,15.00,58.00,13.00,38.00,11.00,27.00,15.00,17.00,0.88,86.00,5.00,15.00,33.33,29.00,52.00,55.77,13.00,19.00,68.42,2.00,10.00,0.59,4.00,18.00,0.22,17.00,0.00,97.00
Coop/São José Basketball,1,0.00,86.00,24.00,52.00,10.00,31.00,10.00,21.00,14.00,13.00,1.08,86.00,8.00,24.00,33.33,26.00,43.00,60.47,10.00,15.00,66.67,1.00,8.00,0.62,0.00,30.00,0.00,13.00,0.00,88.00
Brasília,1,0.00,85.00,18.00,48.00,19.00,34.00,9.00,25.00,10.00,16.00,0.63,85.00,6.00,21.00,28.57,24.00,33.00,72.73,19.00,27.00,70.37,3.00,12.00,0.75,6.00,16.00,0.38,16.00,0.00,99.00
Paulistano,1,0.00,78.00,30.00,30.00,18.00,20.00,4.00,16.00,12.00,15.00,0.80,78.00,10.00,22.00,45.45,15.00,34.00,44.12,18.00,24.00,75.00,1.00,3.00,0.20,1.00,19.00,0.05,15.00,0.00,62.00
Sesi Franca,1,0.00,77.00,12.00,52.00,13.00,36.00,14.00,22.00,19.00,22.00,0.86,77.00,4.00,21.00,19.05,26.00,47.00,55.32,13.00,16.00,81.25,0.00,13.00,0.59,1.00,21.00,0.05,22.00,0.00,83.00
Bauru Basket,1,0.00,77.00,15.00,46.00,16.00,27.00,9.00,18.00,15.00,8.00,1.88,77.00,5.00,19.00,26.32,23.00,39.00,58.97,16.00,20.00,80.00,3.00,9.00,1.13,4.00,20.00,0.20,8.00,0.00,90.00
Espírito Santo,1,0.00,74.00,24.00,40.00,10.00,21.00,3.00,18.00,5.00,13.00,0.38,74.00,8.00,17.00,47.06,20.00,29.00,68.97,10.00,17.00,58.82,0.00,2.00,0.15,0.00,18.00,0.00,13.00,0.00,64.00
Araraquara,1,0.00,74.00,27.00,38.00,9.00,24.00,6.00,18.00,12.00,14.00,0.86,74.00,9.00,26.00,34.62,19.00,40.00,47.50,9.00,16.00,56.25,0.00,5.00,0.36,3.00,18.00,0.17,14.00,0.00,59.00
Saldanha,1,0.00,73.00,24.00,32.00,17.00,29.00,11.00,18.00,10.00,12.00,0.83,73.00,8.00,19.00,42.11,16.00,38.00,42.11,17.00,28.00,60.71,4.00,10.00,0.83,1.00,26.00,0.04,12.00,0.00,67.00
Lajeado,1,0.00,64.00,15.00,38.00,11.00,26.00,9.00,17.00,11.00,15.00,0.73,64.00,5.00,19.00,26.32,19.00,48.00,39.58,11.00,13.00,84.62,0.00,11.00,0.73,1.00,24.00,0.04,15.00,0.00,53.00
