Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Brasília,1,0.00,103.00,30.00,48.00,25.00,35.00,11.00,24.00,25.00,12.00,2.08,103.00,10.00,24.00,41.67,24.00,40.00,60.00,25.00,31.00,80.65,1.00,9.00,0.75,5.00,25.00,0.20,12.00,0.00,129.00
Flamengo,1,0.00,92.00,24.00,42.00,26.00,35.00,10.00,25.00,17.00,24.00,0.71,92.00,8.00,22.00,36.36,21.00,36.00,58.33,26.00,31.00,83.87,2.00,10.00,0.42,0.00,13.00,0.00,24.00,0.00,96.00
Joinville,1,0.00,86.00,36.00,48.00,2.00,27.00,10.00,17.00,16.00,16.00,1.00,86.00,12.00,33.00,36.36,24.00,41.00,58.54,2.00,5.00,40.00,0.00,16.00,1.00,4.00,26.00,0.15,16.00,0.00,92.00
Minas,1,0.00,76.00,12.00,46.00,18.00,19.00,4.00,15.00,9.00,14.00,0.64,76.00,4.00,14.00,28.57,23.00,43.00,53.49,18.00,26.00,69.23,2.00,4.00,0.29,3.00,23.00,0.13,14.00,0.00,59.00
