Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,102.00,33.00,56.00,13.00,35.00,12.00,23.00,19.00,9.00,2.11,102.00,11.00,29.00,37.93,28.00,46.00,60.87,13.00,21.00,61.90,1.00,6.00,0.67,1.00,18.00,0.06,9.00,0.00,110.00
Sesi Franca,1,0.00,87.00,21.00,50.00,16.00,33.00,5.00,28.00,19.00,12.00,1.58,87.00,7.00,25.00,28.00,25.00,51.00,49.02,16.00,22.00,72.73,0.00,8.00,0.67,1.00,16.00,0.06,12.00,0.00,86.00
Minas,1,0.00,85.00,21.00,48.00,16.00,33.00,9.00,24.00,17.00,16.00,1.06,85.00,7.00,25.00,28.00,24.00,40.00,60.00,16.00,20.00,80.00,2.00,2.00,0.13,3.00,19.00,0.16,16.00,0.00,86.00
Coop/São José Basketball,1,0.00,83.00,27.00,48.00,8.00,23.00,5.00,18.00,16.00,18.00,0.89,83.00,9.00,26.00,34.62,24.00,37.00,64.86,8.00,11.00,72.73,0.00,10.00,0.56,1.00,26.00,0.04,18.00,0.00,82.00
Araraquara,1,0.00,82.00,33.00,42.00,7.00,35.00,8.00,27.00,17.00,10.00,1.70,82.00,11.00,39.00,28.21,21.00,34.00,61.76,7.00,12.00,58.33,1.00,4.00,0.40,6.00,20.00,0.30,10.00,0.00,88.00
Pinheiros,1,0.00,82.00,33.00,32.00,17.00,41.00,12.00,29.00,16.00,13.00,1.23,82.00,11.00,24.00,45.83,16.00,37.00,43.24,17.00,24.00,70.83,3.00,5.00,0.38,2.00,15.00,0.13,13.00,0.00,92.00
Joinville,1,0.00,78.00,30.00,42.00,6.00,38.00,10.00,28.00,18.00,19.00,0.95,78.00,10.00,27.00,37.04,21.00,36.00,58.33,6.00,9.00,66.67,1.00,7.00,0.37,0.00,16.00,0.00,19.00,0.00,87.00
Assis,1,0.00,78.00,24.00,36.00,18.00,29.00,9.00,20.00,15.00,7.00,2.14,78.00,8.00,26.00,30.77,18.00,34.00,52.94,18.00,27.00,66.67,1.00,6.00,0.86,4.00,18.00,0.22,7.00,0.00,82.00
Bauru Basket,1,0.00,77.00,12.00,50.00,15.00,26.00,5.00,21.00,8.00,11.00,0.73,77.00,4.00,13.00,30.77,25.00,43.00,58.14,15.00,17.00,88.24,0.00,3.00,0.27,2.00,23.00,0.09,11.00,0.00,76.00
Espírito Santo,1,0.00,74.00,18.00,38.00,18.00,22.00,8.00,14.00,5.00,17.00,0.29,74.00,6.00,19.00,31.58,19.00,29.00,65.52,18.00,20.00,90.00,0.00,14.00,0.82,0.00,20.00,0.00,17.00,0.00,73.00
Limeira,1,0.00,73.00,27.00,28.00,18.00,27.00,7.00,20.00,12.00,34.00,0.35,73.00,9.00,21.00,42.86,14.00,30.00,46.67,18.00,22.00,81.82,3.00,7.00,0.21,0.00,19.00,0.00,34.00,0.00,53.00
Paulistano,1,0.00,65.00,18.00,40.00,7.00,29.00,10.00,19.00,22.00,9.00,2.44,65.00,6.00,30.00,20.00,20.00,39.00,51.28,7.00,13.00,53.85,1.00,5.00,0.56,7.00,23.00,0.30,9.00,0.00,70.00
Saldanha,1,0.00,63.00,15.00,36.00,12.00,32.00,17.00,15.00,5.00,21.00,0.24,63.00,5.00,22.00,22.73,18.00,36.00,50.00,12.00,16.00,75.00,2.00,10.00,0.48,0.00,20.00,0.00,21.00,0.00,50.00
Lajeado,1,0.00,56.00,9.00,38.00,9.00,27.00,12.00,15.00,8.00,16.00,0.50,56.00,3.00,18.00,16.67,19.00,44.00,43.18,9.00,15.00,60.00,1.00,11.00,0.69,0.00,11.00,0.00,16.00,0.00,40.00
