Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Sesi Franca,1,0.00,102.00,27.00,54.00,21.00,35.00,9.00,26.00,21.00,13.00,1.62,102.00,9.00,16.00,56.25,27.00,41.00,65.85,21.00,35.00,60.00,0.00,9.00,0.69,7.00,20.00,0.35,13.00,0.00,126.00
Pinheiros,1,0.00,96.00,27.00,42.00,27.00,37.00,11.00,26.00,21.00,17.00,1.24,96.00,9.00,19.00,47.37,21.00,42.00,50.00,27.00,33.00,81.82,4.00,8.00,0.47,3.00,23.00,0.13,17.00,0.00,111.00
Paulistano,1,0.00,93.00,21.00,52.00,20.00,35.00,15.00,20.00,11.00,18.00,0.61,93.00,7.00,23.00,30.43,26.00,51.00,50.98,20.00,26.00,76.92,2.00,6.00,0.33,4.00,24.00,0.17,18.00,0.00,84.00
Bauru Basket,1,0.00,88.00,30.00,44.00,14.00,35.00,9.00,26.00,17.00,9.00,1.89,88.00,10.00,24.00,41.67,22.00,35.00,62.86,14.00,16.00,87.50,4.00,3.00,0.33,1.00,22.00,0.05,9.00,0.00,106.00
Flamengo,1,0.00,84.00,30.00,40.00,14.00,32.00,9.00,23.00,14.00,15.00,0.93,84.00,10.00,33.00,30.30,20.00,35.00,57.14,14.00,17.00,82.35,4.00,12.00,0.80,2.00,13.00,0.15,15.00,0.00,88.00
Limeira,1,0.00,82.00,27.00,42.00,13.00,31.00,7.00,24.00,22.00,12.00,1.83,82.00,9.00,37.00,24.32,21.00,32.00,65.63,13.00,14.00,92.86,2.00,8.00,0.67,4.00,15.00,0.27,12.00,0.00,95.00
Minas,1,0.00,80.00,24.00,42.00,14.00,35.00,8.00,27.00,18.00,18.00,1.00,80.00,8.00,30.00,26.67,21.00,38.00,55.26,14.00,19.00,73.68,2.00,7.00,0.39,0.00,19.00,0.00,18.00,0.00,78.00
Espírito Santo,1,0.00,79.00,24.00,44.00,11.00,39.00,13.00,26.00,12.00,13.00,0.92,79.00,8.00,20.00,40.00,22.00,43.00,51.16,11.00,19.00,57.89,2.00,9.00,0.69,3.00,18.00,0.17,13.00,0.00,88.00
Coop/São José Basketball,1,0.00,74.00,24.00,40.00,10.00,40.00,11.00,29.00,17.00,16.00,1.06,74.00,8.00,16.00,50.00,20.00,49.00,40.82,10.00,14.00,71.43,0.00,7.00,0.44,0.00,11.00,0.00,16.00,0.00,81.00
Joinville,1,0.00,72.00,21.00,40.00,11.00,39.00,9.00,30.00,17.00,13.00,1.31,72.00,7.00,22.00,31.82,20.00,38.00,52.63,11.00,15.00,73.33,1.00,11.00,0.85,4.00,12.00,0.33,13.00,0.00,93.00
Araraquara,1,0.00,70.00,12.00,44.00,14.00,31.00,11.00,20.00,14.00,14.00,1.00,70.00,4.00,22.00,18.18,22.00,47.00,46.81,14.00,17.00,82.35,5.00,9.00,0.64,1.00,24.00,0.04,14.00,0.00,65.00
Saldanha,1,0.00,69.00,9.00,42.00,18.00,32.00,9.00,23.00,11.00,12.00,0.92,69.00,3.00,26.00,11.54,21.00,37.00,56.76,18.00,24.00,75.00,3.00,10.00,0.83,2.00,20.00,0.10,12.00,0.00,67.00
Assis,1,0.00,68.00,21.00,30.00,17.00,25.00,6.00,19.00,11.00,10.00,1.10,68.00,7.00,20.00,35.00,15.00,33.00,45.45,17.00,22.00,77.27,0.00,7.00,0.70,2.00,15.00,0.13,10.00,0.00,67.00
Lajeado,1,0.00,63.00,9.00,44.00,10.00,28.00,10.00,18.00,15.00,10.00,1.50,63.00,3.00,26.00,11.54,22.00,35.00,62.86,10.00,13.00,76.92,1.00,7.00,0.70,0.00,14.00,0.00,10.00,0.00,64.00
