Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,103.00,45.00,46.00,12.00,22.00,6.00,16.00,24.00,11.00,2.18,103.00,15.00,23.00,65.22,23.00,37.00,62.16,12.00,15.00,80.00,1.00,5.00,0.45,0.00,14.00,0.00,11.00,0.00,118.00
Brasília,1,0.00,103.00,24.00,56.00,23.00,42.00,13.00,29.00,13.00,15.00,0.87,103.00,8.00,21.00,38.10,28.00,49.00,57.14,23.00,29.00,79.31,3.00,9.00,0.60,5.00,26.00,0.19,15.00,0.00,117.00
Bauru Basket,1,0.00,97.00,51.00,36.00,10.00,22.00,7.00,15.00,14.00,10.00,1.40,97.00,17.00,31.00,54.84,18.00,29.00,62.07,10.00,14.00,71.43,1.00,5.00,0.50,2.00,15.00,0.13,10.00,0.00,101.00
Minas,1,0.00,94.00,18.00,58.00,18.00,38.00,14.00,24.00,16.00,18.00,0.89,94.00,6.00,12.00,50.00,29.00,50.00,58.00,18.00,24.00,75.00,3.00,7.00,0.39,1.00,21.00,0.05,18.00,0.00,105.00
Lajeado,1,0.00,90.00,24.00,48.00,18.00,32.00,7.00,25.00,16.00,15.00,1.07,90.00,8.00,18.00,44.44,24.00,40.00,60.00,18.00,21.00,85.71,0.00,5.00,0.33,2.00,20.00,0.10,15.00,0.00,101.00
Sesi Franca,1,0.00,88.00,30.00,38.00,20.00,36.00,11.00,25.00,13.00,14.00,0.93,88.00,10.00,27.00,37.04,19.00,40.00,47.50,20.00,30.00,66.67,1.00,2.00,0.14,4.00,31.00,0.13,14.00,0.00,81.00
Joinville,1,0.00,87.00,30.00,48.00,9.00,37.00,6.00,31.00,17.00,14.00,1.21,87.00,10.00,22.00,45.45,24.00,36.00,66.67,9.00,14.00,64.29,3.00,7.00,0.50,5.00,18.00,0.28,14.00,0.00,110.00
Limeira,1,0.00,84.00,18.00,34.00,32.00,28.00,6.00,22.00,12.00,10.00,1.20,84.00,6.00,25.00,24.00,17.00,34.00,50.00,32.00,35.00,91.43,4.00,4.00,0.40,5.00,24.00,0.21,10.00,0.00,84.00
Assis,1,0.00,84.00,24.00,34.00,26.00,22.00,7.00,15.00,8.00,13.00,0.62,84.00,8.00,20.00,40.00,17.00,38.00,44.74,26.00,33.00,78.79,0.00,12.00,0.92,1.00,20.00,0.05,13.00,0.00,74.00
Espírito Santo,1,0.00,78.00,18.00,34.00,26.00,23.00,8.00,15.00,8.00,10.00,0.80,78.00,6.00,23.00,26.09,17.00,39.00,43.59,26.00,42.00,61.90,0.00,11.00,1.10,1.00,25.00,0.04,10.00,0.00,56.00
Araraquara,1,0.00,72.00,33.00,26.00,13.00,30.00,5.00,25.00,24.00,16.00,1.50,72.00,11.00,27.00,40.74,13.00,28.00,46.43,13.00,20.00,65.00,6.00,6.00,0.38,9.00,18.00,0.50,16.00,0.00,87.00
Pinheiros,1,0.00,72.00,27.00,32.00,13.00,30.00,8.00,22.00,12.00,11.00,1.09,72.00,9.00,31.00,29.03,16.00,36.00,44.44,13.00,19.00,68.42,2.00,8.00,0.73,2.00,18.00,0.11,11.00,0.00,65.00
Paulistano,1,0.00,72.00,15.00,34.00,23.00,29.00,10.00,19.00,9.00,13.00,0.69,72.00,5.00,21.00,23.81,17.00,31.00,54.84,23.00,29.00,79.31,0.00,8.00,0.62,2.00,19.00,0.11,13.00,0.00,71.00
Coop/São José Basketball,1,0.00,71.00,24.00,34.00,13.00,28.00,7.00,21.00,20.00,16.00,1.25,71.00,8.00,20.00,40.00,17.00,38.00,44.74,13.00,21.00,61.90,0.00,10.00,0.63,4.00,20.00,0.20,16.00,0.00,76.00
