Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Pinheiros,1,0.00,101.00,21.00,58.00,22.00,43.00,11.00,32.00,18.00,13.00,1.38,101.00,7.00,20.00,35.00,29.00,48.00,60.42,22.00,27.00,81.48,7.00,16.00,1.23,3.00,16.00,0.19,13.00,0.00,131.00
Flamengo,1,0.00,100.00,21.00,38.00,41.00,37.00,11.00,26.00,16.00,16.00,1.00,100.00,7.00,27.00,25.93,19.00,31.00,61.29,41.00,57.00,71.93,2.00,12.00,0.75,3.00,30.00,0.10,16.00,0.00,104.00
Brasília,1,0.00,92.00,33.00,34.00,25.00,24.00,2.00,22.00,13.00,17.00,0.76,92.00,11.00,32.00,34.38,17.00,31.00,54.84,25.00,31.00,80.65,2.00,10.00,0.59,2.00,39.00,0.05,17.00,0.00,83.00
Espírito Santo,1,0.00,88.00,27.00,50.00,11.00,35.00,6.00,29.00,21.00,13.00,1.62,88.00,9.00,23.00,39.13,25.00,43.00,58.14,11.00,16.00,68.75,1.00,7.00,0.54,2.00,27.00,0.07,13.00,0.00,103.00
Coop/São José Basketball,1,0.00,88.00,21.00,44.00,23.00,35.00,9.00,26.00,11.00,15.00,0.73,88.00,7.00,25.00,28.00,22.00,34.00,64.71,23.00,27.00,85.19,3.00,4.00,0.27,3.00,24.00,0.13,15.00,0.00,92.00
Joinville,1,0.00,87.00,45.00,30.00,12.00,25.00,2.00,23.00,15.00,14.00,1.07,87.00,15.00,23.00,65.22,15.00,29.00,51.72,12.00,17.00,70.59,1.00,9.00,0.64,2.00,21.00,0.10,14.00,0.00,97.00
Limeira,1,0.00,85.00,27.00,38.00,20.00,28.00,9.00,19.00,18.00,14.00,1.29,85.00,9.00,33.00,27.27,19.00,31.00,61.29,20.00,29.00,68.97,5.00,3.00,0.21,1.00,20.00,0.05,14.00,0.00,76.00
Sesi Franca,1,0.00,85.00,18.00,52.00,15.00,34.00,8.00,26.00,19.00,18.00,1.06,85.00,6.00,20.00,30.00,26.00,44.00,59.09,15.00,19.00,78.95,1.00,6.00,0.33,2.00,28.00,0.07,18.00,0.00,92.00
Saldanha,1,0.00,77.00,30.00,32.00,15.00,24.00,7.00,17.00,21.00,18.00,1.17,77.00,10.00,29.00,34.48,16.00,36.00,44.44,15.00,21.00,71.43,2.00,9.00,0.50,0.00,21.00,0.00,18.00,0.00,68.00
Assis,1,0.00,76.00,21.00,38.00,17.00,31.00,2.00,29.00,14.00,15.00,0.93,76.00,7.00,19.00,36.84,19.00,29.00,65.52,17.00,30.00,56.67,3.00,7.00,0.47,4.00,17.00,0.24,15.00,0.00,82.00
Bauru Basket,1,0.00,73.00,24.00,40.00,9.00,27.00,10.00,17.00,12.00,10.00,1.20,73.00,8.00,23.00,34.78,20.00,37.00,54.05,9.00,11.00,81.82,0.00,5.00,0.50,0.00,11.00,0.00,10.00,0.00,73.00
Paulistano,1,0.00,70.00,15.00,36.00,19.00,28.00,11.00,17.00,7.00,13.00,0.54,70.00,5.00,20.00,25.00,18.00,36.00,50.00,19.00,26.00,73.08,0.00,5.00,0.38,4.00,18.00,0.22,13.00,0.00,61.00
Araraquara,1,0.00,69.00,27.00,34.00,8.00,27.00,5.00,22.00,16.00,21.00,0.76,69.00,9.00,27.00,33.33,17.00,34.00,50.00,8.00,13.00,61.54,8.00,9.00,0.43,1.00,20.00,0.05,21.00,0.00,61.00
Lajeado,1,0.00,63.00,27.00,34.00,2.00,21.00,3.00,18.00,12.00,11.00,1.09,63.00,9.00,23.00,39.13,17.00,29.00,58.62,2.00,5.00,40.00,0.00,4.00,0.36,0.00,12.00,0.00,11.00,0.00,60.00
