Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,105.00,30.00,50.00,25.00,35.00,14.00,21.00,28.00,13.00,2.15,105.00,10.00,30.00,33.33,25.00,37.00,67.57,25.00,31.00,80.65,1.00,13.00,1.00,1.00,17.00,0.06,13.00,0.00,131.00
Bauru Basket,1,0.00,100.00,33.00,38.00,29.00,26.00,11.00,15.00,15.00,8.00,1.88,100.00,11.00,27.00,40.74,19.00,33.00,57.58,29.00,35.00,82.86,1.00,4.00,0.50,3.00,26.00,0.12,8.00,0.00,104.00
Brasília,1,0.00,97.00,21.00,50.00,26.00,23.00,5.00,18.00,11.00,11.00,1.00,97.00,7.00,14.00,50.00,25.00,36.00,69.44,26.00,30.00,86.67,2.00,5.00,0.45,3.00,28.00,0.11,11.00,0.00,106.00
Sesi Franca,1,0.00,96.00,12.00,52.00,32.00,34.00,12.00,22.00,19.00,17.00,1.12,96.00,4.00,6.00,66.67,26.00,48.00,54.17,32.00,37.00,86.49,1.00,11.00,0.65,1.00,24.00,0.04,17.00,0.00,115.00
Minas,1,0.00,91.00,30.00,48.00,13.00,40.00,9.00,31.00,20.00,19.00,1.05,91.00,10.00,22.00,45.45,24.00,38.00,63.16,13.00,19.00,68.42,0.00,4.00,0.21,1.00,20.00,0.05,19.00,0.00,105.00
Limeira,1,0.00,87.00,12.00,56.00,19.00,30.00,8.00,22.00,13.00,11.00,1.18,87.00,4.00,19.00,21.05,28.00,42.00,66.67,19.00,25.00,76.00,2.00,6.00,0.55,1.00,18.00,0.06,11.00,0.00,91.00
Joinville,1,0.00,83.00,24.00,40.00,19.00,33.00,8.00,25.00,19.00,12.00,1.58,83.00,8.00,27.00,29.63,20.00,34.00,58.82,19.00,29.00,65.52,3.00,9.00,0.75,2.00,18.00,0.11,12.00,0.00,91.00
Lajeado,1,0.00,82.00,27.00,42.00,13.00,37.00,9.00,28.00,14.00,17.00,0.82,82.00,9.00,26.00,34.62,21.00,30.00,70.00,13.00,21.00,61.90,1.00,5.00,0.29,1.00,22.00,0.05,17.00,0.00,88.00
Coop/São José Basketball,1,0.00,79.00,15.00,50.00,14.00,41.00,11.00,30.00,7.00,18.00,0.39,79.00,5.00,15.00,33.33,25.00,50.00,50.00,14.00,25.00,56.00,1.00,7.00,0.39,2.00,23.00,0.09,18.00,0.00,72.00
Araraquara,1,0.00,75.00,15.00,46.00,14.00,32.00,13.00,19.00,19.00,16.00,1.19,75.00,5.00,21.00,23.81,23.00,40.00,57.50,14.00,19.00,73.68,1.00,14.00,0.88,7.00,14.00,0.50,16.00,0.00,93.00
Paulistano,1,0.00,71.00,18.00,40.00,13.00,29.00,7.00,22.00,17.00,23.00,0.74,71.00,6.00,16.00,37.50,20.00,39.00,51.28,13.00,20.00,65.00,1.00,3.00,0.13,4.00,24.00,0.17,23.00,0.00,65.00
Pinheiros,1,0.00,70.00,18.00,42.00,10.00,20.00,7.00,13.00,12.00,8.00,1.50,70.00,6.00,23.00,26.09,21.00,41.00,51.22,10.00,20.00,50.00,4.00,8.00,1.00,0.00,14.00,0.00,8.00,0.00,55.00
Espírito Santo,1,0.00,67.00,18.00,30.00,19.00,20.00,9.00,11.00,9.00,14.00,0.64,67.00,6.00,16.00,37.50,15.00,38.00,39.47,19.00,24.00,79.17,1.00,9.00,0.64,2.00,22.00,0.09,14.00,0.00,55.00
Saldanha,1,0.00,63.00,24.00,34.00,5.00,27.00,7.00,20.00,15.00,22.00,0.68,63.00,8.00,23.00,34.78,17.00,36.00,47.22,5.00,12.00,41.67,2.00,12.00,0.55,4.00,18.00,0.22,22.00,0.00,58.00
