Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,100.00,27.00,46.00,27.00,40.00,11.00,29.00,15.00,16.00,0.94,100.00,9.00,25.00,36.00,23.00,41.00,56.10,27.00,34.00,79.41,0.00,16.00,1.00,3.00,24.00,0.13,16.00,0.00,117.00
Pinheiros,1,0.00,96.00,33.00,44.00,19.00,35.00,9.00,26.00,18.00,14.00,1.29,96.00,11.00,23.00,47.83,22.00,36.00,61.11,19.00,24.00,79.17,4.00,11.00,0.79,1.00,19.00,0.05,14.00,0.00,116.00
Minas,1,0.00,95.00,24.00,58.00,13.00,39.00,15.00,24.00,21.00,11.00,1.91,95.00,8.00,20.00,40.00,29.00,52.00,55.77,13.00,17.00,76.47,2.00,6.00,0.55,6.00,17.00,0.35,11.00,0.00,117.00
Bauru Basket,1,0.00,92.00,21.00,50.00,21.00,36.00,10.00,26.00,16.00,16.00,1.00,92.00,7.00,22.00,31.82,25.00,36.00,69.44,21.00,26.00,80.77,3.00,10.00,0.63,3.00,18.00,0.17,16.00,0.00,110.00
Joinville,1,0.00,88.00,21.00,48.00,19.00,32.00,5.00,27.00,12.00,10.00,1.20,88.00,7.00,18.00,38.89,24.00,38.00,63.16,19.00,30.00,63.33,2.00,7.00,0.70,1.00,21.00,0.05,10.00,0.00,94.00
Araraquara,1,0.00,83.00,27.00,38.00,18.00,28.00,6.00,22.00,20.00,20.00,1.00,83.00,9.00,26.00,34.62,19.00,38.00,50.00,18.00,29.00,62.07,3.00,8.00,0.40,1.00,29.00,0.03,20.00,0.00,73.00
Paulistano,1,0.00,82.00,18.00,54.00,10.00,43.00,17.00,26.00,19.00,13.00,1.46,82.00,6.00,26.00,23.08,27.00,50.00,54.00,10.00,16.00,62.50,1.00,11.00,0.85,3.00,14.00,0.21,13.00,0.00,96.00
Limeira,1,0.00,81.00,30.00,36.00,15.00,24.00,6.00,18.00,15.00,18.00,0.83,81.00,10.00,27.00,37.04,18.00,33.00,54.55,15.00,19.00,78.95,1.00,6.00,0.33,4.00,25.00,0.16,18.00,0.00,76.00
Sesi Franca,1,0.00,81.00,21.00,44.00,16.00,31.00,11.00,20.00,15.00,12.00,1.25,81.00,7.00,19.00,36.84,22.00,45.00,48.89,16.00,21.00,76.19,2.00,7.00,0.58,5.00,17.00,0.29,12.00,0.00,87.00
Brasília,1,0.00,79.00,24.00,34.00,21.00,25.00,3.00,22.00,13.00,11.00,1.18,79.00,8.00,23.00,34.78,17.00,34.00,50.00,21.00,28.00,75.00,4.00,5.00,0.45,4.00,23.00,0.17,11.00,0.00,76.00
Saldanha,1,0.00,76.00,24.00,38.00,14.00,30.00,12.00,18.00,12.00,17.00,0.71,76.00,8.00,26.00,30.77,19.00,37.00,51.35,14.00,20.00,70.00,4.00,11.00,0.65,1.00,22.00,0.05,17.00,0.00,71.00
Espírito Santo,1,0.00,68.00,21.00,36.00,11.00,27.00,6.00,21.00,11.00,13.00,0.85,68.00,7.00,16.00,43.75,18.00,35.00,51.43,11.00,19.00,57.89,0.00,4.00,0.31,0.00,21.00,0.00,13.00,0.00,63.00
Assis,1,0.00,63.00,15.00,28.00,20.00,30.00,6.00,24.00,12.00,9.00,1.33,63.00,5.00,27.00,18.52,14.00,29.00,48.28,20.00,26.00,76.92,0.00,9.00,1.00,4.00,20.00,0.20,9.00,0.00,66.00
Coop/São José Basketball,1,0.00,63.00,18.00,38.00,7.00,42.00,15.00,27.00,12.00,19.00,0.63,63.00,6.00,20.00,30.00,19.00,46.00,41.30,7.00,14.00,50.00,0.00,10.00,0.53,6.00,14.00,0.43,19.00,0.00,66.00
