Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,99.00,36.00,32.00,31.00,31.00,6.00,25.00,16.00,9.00,1.78,99.00,12.00,25.00,48.00,16.00,37.00,43.24,31.00,41.00,75.61,0.00,7.00,0.78,2.00,33.00,0.06,9.00,0.00,102.00
Brasília,1,0.00,78.00,15.00,42.00,21.00,37.00,12.00,25.00,18.00,15.00,1.20,78.00,5.00,22.00,22.73,21.00,40.00,52.50,21.00,34.00,61.76,4.00,3.00,0.20,3.00,31.00,0.10,15.00,0.00,75.00
