Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,105.00,33.00,60.00,12.00,40.00,7.00,33.00,23.00,14.00,1.64,105.00,11.00,23.00,47.83,30.00,48.00,62.50,12.00,14.00,85.71,1.00,11.00,0.79,3.00,17.00,0.18,14.00,0.00,136.00
Pinheiros,1,0.00,101.00,39.00,44.00,18.00,33.00,7.00,26.00,24.00,15.00,1.60,101.00,13.00,27.00,48.15,22.00,33.00,66.67,18.00,22.00,81.82,3.00,4.00,0.27,2.00,20.00,0.10,15.00,0.00,120.00
Minas,1,0.00,95.00,24.00,56.00,15.00,37.00,11.00,26.00,21.00,14.00,1.50,95.00,8.00,20.00,40.00,28.00,42.00,66.67,15.00,25.00,60.00,3.00,9.00,0.64,6.00,20.00,0.30,14.00,0.00,118.00
Brasília,1,0.00,89.00,21.00,44.00,24.00,41.00,7.00,34.00,23.00,18.00,1.28,89.00,7.00,16.00,43.75,22.00,33.00,66.67,24.00,31.00,77.42,1.00,3.00,0.17,5.00,20.00,0.25,18.00,0.00,116.00
Coop/São José Basketball,1,0.00,84.00,36.00,28.00,20.00,22.00,7.00,15.00,16.00,10.00,1.60,84.00,12.00,33.00,36.36,14.00,35.00,40.00,20.00,27.00,74.07,0.00,6.00,0.60,3.00,29.00,0.10,10.00,0.00,72.00
Sesi Franca,1,0.00,84.00,24.00,48.00,12.00,36.00,10.00,26.00,14.00,11.00,1.27,84.00,8.00,24.00,33.33,24.00,46.00,52.17,12.00,23.00,52.17,2.00,7.00,0.64,3.00,26.00,0.12,11.00,0.00,84.00
Espírito Santo,1,0.00,84.00,30.00,42.00,12.00,24.00,10.00,14.00,11.00,8.00,1.38,84.00,10.00,28.00,35.71,21.00,44.00,47.73,12.00,14.00,85.71,0.00,6.00,0.75,1.00,22.00,0.05,8.00,0.00,75.00
Joinville,1,0.00,83.00,36.00,32.00,15.00,32.00,9.00,23.00,16.00,16.00,1.00,83.00,12.00,38.00,31.58,16.00,33.00,48.48,15.00,18.00,83.33,1.00,7.00,0.44,2.00,13.00,0.15,16.00,0.00,78.00
Assis,1,0.00,83.00,24.00,42.00,17.00,36.00,6.00,30.00,10.00,11.00,0.91,83.00,8.00,22.00,36.36,21.00,35.00,60.00,17.00,29.00,58.62,1.00,6.00,0.55,3.00,19.00,0.16,11.00,0.00,87.00
Araraquara,1,0.00,80.00,30.00,40.00,10.00,35.00,6.00,29.00,16.00,17.00,0.94,80.00,10.00,21.00,47.62,20.00,40.00,50.00,10.00,17.00,58.82,1.00,4.00,0.24,5.00,17.00,0.29,17.00,0.00,85.00
Paulistano,1,0.00,76.00,18.00,42.00,16.00,34.00,11.00,23.00,14.00,25.00,0.56,76.00,6.00,23.00,26.09,21.00,35.00,60.00,16.00,29.00,55.17,0.00,14.00,0.56,3.00,18.00,0.17,25.00,0.00,72.00
Lajeado,1,0.00,73.00,24.00,40.00,9.00,25.00,8.00,17.00,12.00,7.00,1.71,73.00,8.00,20.00,40.00,20.00,52.00,38.46,9.00,15.00,60.00,0.00,8.00,1.14,1.00,23.00,0.04,7.00,0.00,62.00
Bauru Basket,1,0.00,72.00,27.00,34.00,11.00,39.00,15.00,24.00,12.00,10.00,1.20,72.00,9.00,27.00,33.33,17.00,36.00,47.22,11.00,19.00,57.89,0.00,11.00,1.10,3.00,13.00,0.23,10.00,0.00,82.00
Saldanha,1,0.00,65.00,9.00,44.00,12.00,27.00,9.00,18.00,9.00,24.00,0.38,65.00,3.00,16.00,18.75,22.00,40.00,55.00,12.00,22.00,54.55,6.00,17.00,0.71,1.00,22.00,0.05,24.00,0.00,54.00
