Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,98.00,30.00,54.00,14.00,29.00,7.00,22.00,19.00,9.00,2.11,98.00,10.00,26.00,38.46,27.00,34.00,79.41,14.00,15.00,93.33,2.00,3.00,0.33,3.00,25.00,0.12,9.00,0.00,119.00
Pinheiros,1,0.00,94.00,27.00,42.00,25.00,32.00,8.00,24.00,19.00,11.00,1.73,94.00,9.00,24.00,37.50,21.00,38.00,55.26,25.00,28.00,89.29,3.00,13.00,1.18,1.00,20.00,0.05,11.00,0.00,113.00
Joinville,1,0.00,92.00,57.00,22.00,13.00,30.00,10.00,20.00,22.00,15.00,1.47,92.00,19.00,40.00,47.50,11.00,27.00,40.74,13.00,18.00,72.22,0.00,5.00,0.33,5.00,23.00,0.22,15.00,0.00,97.00
Bauru Basket,1,0.00,91.00,45.00,34.00,12.00,29.00,15.00,14.00,18.00,7.00,2.57,91.00,15.00,30.00,50.00,17.00,32.00,53.13,12.00,18.00,66.67,0.00,3.00,0.43,0.00,20.00,0.00,7.00,0.00,98.00
Limeira,1,0.00,83.00,30.00,32.00,21.00,30.00,7.00,23.00,17.00,16.00,1.06,83.00,10.00,20.00,50.00,16.00,34.00,47.06,21.00,25.00,84.00,7.00,7.00,0.44,6.00,20.00,0.30,16.00,0.00,95.00
Brasília,1,0.00,80.00,18.00,48.00,14.00,37.00,15.00,22.00,17.00,15.00,1.13,80.00,6.00,23.00,26.09,24.00,36.00,66.67,14.00,20.00,70.00,4.00,11.00,0.73,3.00,17.00,0.18,15.00,0.00,98.00
Minas,1,0.00,79.00,15.00,46.00,18.00,39.00,10.00,29.00,10.00,16.00,0.63,79.00,5.00,17.00,29.41,23.00,38.00,60.53,18.00,22.00,81.82,2.00,2.00,0.13,4.00,17.00,0.24,16.00,0.00,87.00
Espírito Santo,1,0.00,76.00,33.00,32.00,11.00,22.00,4.00,18.00,17.00,8.00,2.13,76.00,11.00,30.00,36.67,16.00,32.00,50.00,11.00,20.00,55.00,3.00,9.00,1.13,0.00,18.00,0.00,8.00,0.00,72.00
Coop/São José Basketball,1,0.00,76.00,15.00,38.00,23.00,35.00,16.00,19.00,8.00,19.00,0.42,76.00,5.00,19.00,26.32,19.00,39.00,48.72,23.00,31.00,74.19,4.00,11.00,0.58,0.00,23.00,0.00,19.00,0.00,69.00
Assis,1,0.00,74.00,9.00,46.00,19.00,36.00,13.00,23.00,15.00,7.00,2.14,74.00,3.00,20.00,15.00,23.00,42.00,54.76,19.00,23.00,82.61,3.00,7.00,1.00,4.00,23.00,0.17,7.00,0.00,89.00
Araraquara,1,0.00,70.00,18.00,38.00,14.00,20.00,7.00,13.00,10.00,20.00,0.50,70.00,6.00,24.00,25.00,19.00,33.00,57.58,14.00,16.00,87.50,3.00,11.00,0.55,3.00,27.00,0.11,20.00,0.00,60.00
Paulistano,1,0.00,66.00,15.00,34.00,17.00,38.00,10.00,28.00,10.00,10.00,1.00,66.00,5.00,24.00,20.83,17.00,38.00,44.74,17.00,24.00,70.83,1.00,7.00,0.70,4.00,25.00,0.16,10.00,0.00,68.00
Sesi Franca,1,0.00,65.00,21.00,28.00,16.00,22.00,11.00,11.00,10.00,15.00,0.67,65.00,7.00,24.00,29.17,14.00,34.00,41.18,16.00,21.00,76.19,0.00,6.00,0.40,3.00,27.00,0.11,15.00,0.00,49.00
Lajeado,1,0.00,61.00,9.00,28.00,24.00,36.00,8.00,28.00,7.00,17.00,0.41,61.00,3.00,15.00,20.00,14.00,39.00,35.90,24.00,29.00,82.76,0.00,7.00,0.41,2.00,22.00,0.09,17.00,0.00,54.00
