Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Joinville,1,0.00,109.00,45.00,44.00,20.00,30.00,10.00,20.00,22.00,19.00,1.16,109.00,15.00,29.00,51.72,22.00,34.00,64.71,20.00,25.00,80.00,0.00,3.00,0.16,3.00,26.00,0.12,19.00,0.00,117.00
Flamengo,1,0.00,96.00,42.00,36.00,18.00,29.00,16.00,13.00,19.00,18.00,1.06,96.00,14.00,26.00,53.85,18.00,37.00,48.65,18.00,21.00,85.71,2.00,8.00,0.44,3.00,24.00,0.13,18.00,0.00,103.00
Coop/São José Basketball,1,0.00,91.00,30.00,36.00,25.00,25.00,10.00,15.00,15.00,12.00,1.25,91.00,10.00,33.00,30.30,18.00,33.00,54.55,25.00,33.00,75.76,0.00,7.00,0.58,4.00,26.00,0.15,12.00,0.00,84.00
Paulistano,1,0.00,87.00,30.00,36.00,21.00,20.00,7.00,13.00,20.00,18.00,1.11,87.00,10.00,21.00,47.62,18.00,29.00,62.07,21.00,27.00,77.78,1.00,7.00,0.39,1.00,23.00,0.04,18.00,0.00,89.00
Saldanha,1,0.00,84.00,27.00,32.00,25.00,30.00,5.00,25.00,11.00,19.00,0.58,84.00,9.00,21.00,42.86,16.00,29.00,55.17,25.00,36.00,69.44,5.00,12.00,0.63,5.00,22.00,0.23,19.00,0.00,87.00
Sesi Franca,1,0.00,83.00,15.00,46.00,22.00,37.00,10.00,27.00,17.00,12.00,1.42,83.00,5.00,17.00,29.41,23.00,41.00,56.10,22.00,28.00,78.57,0.00,7.00,0.58,0.00,12.00,0.00,12.00,0.00,96.00
Minas,1,0.00,81.00,21.00,50.00,10.00,33.00,9.00,24.00,22.00,13.00,1.69,81.00,7.00,18.00,38.89,25.00,48.00,52.08,10.00,16.00,62.50,1.00,5.00,0.38,1.00,25.00,0.04,13.00,0.00,89.00
Pinheiros,1,0.00,80.00,30.00,28.00,22.00,31.00,7.00,24.00,16.00,14.00,1.14,80.00,10.00,25.00,40.00,14.00,31.00,45.16,22.00,29.00,75.86,4.00,7.00,0.50,2.00,18.00,0.11,14.00,0.00,83.00
Brasília,1,0.00,76.00,15.00,48.00,13.00,38.00,9.00,29.00,13.00,15.00,0.87,76.00,5.00,21.00,23.81,24.00,41.00,58.54,13.00,21.00,61.90,0.00,7.00,0.47,6.00,18.00,0.33,15.00,0.00,84.00
Limeira,1,0.00,75.00,24.00,30.00,21.00,27.00,5.00,22.00,13.00,19.00,0.68,75.00,8.00,25.00,32.00,15.00,28.00,53.57,21.00,24.00,87.50,1.00,4.00,0.21,4.00,22.00,0.18,19.00,0.00,71.00
Espírito Santo,1,0.00,74.00,21.00,44.00,9.00,32.00,7.00,25.00,10.00,10.00,1.00,74.00,7.00,26.00,26.92,22.00,42.00,52.38,9.00,15.00,60.00,1.00,7.00,0.70,2.00,26.00,0.08,10.00,0.00,70.00
Lajeado,1,0.00,72.00,9.00,38.00,25.00,38.00,14.00,24.00,15.00,17.00,0.88,72.00,3.00,21.00,14.29,19.00,42.00,45.24,25.00,37.00,67.57,0.00,6.00,0.35,1.00,25.00,0.04,17.00,0.00,62.00
Araraquara,1,0.00,72.00,30.00,26.00,16.00,26.00,7.00,19.00,5.00,19.00,0.26,72.00,10.00,29.00,34.48,13.00,27.00,48.15,16.00,28.00,57.14,1.00,10.00,0.53,3.00,26.00,0.12,19.00,0.00,52.00
Bauru Basket,1,0.00,65.00,15.00,38.00,12.00,29.00,6.00,23.00,5.00,12.00,0.42,65.00,5.00,20.00,25.00,19.00,40.00,47.50,12.00,21.00,57.14,1.00,4.00,0.33,2.00,19.00,0.11,12.00,0.00,48.00
