Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,100.00,45.00,34.00,21.00,38.00,5.00,33.00,13.00,16.00,0.81,100.00,15.00,28.00,53.57,17.00,28.00,60.71,21.00,28.00,75.00,0.00,4.00,0.25,4.00,21.00,0.19,16.00,0.00,112.00
Paulistano,1,0.00,96.00,36.00,32.00,28.00,44.00,16.00,28.00,11.00,24.00,0.46,96.00,12.00,38.00,31.58,16.00,36.00,44.44,28.00,40.00,70.00,2.00,8.00,0.33,2.00,27.00,0.07,24.00,0.00,79.00
Brasília,1,0.00,94.00,18.00,56.00,20.00,30.00,9.00,21.00,21.00,12.00,1.75,94.00,6.00,24.00,25.00,28.00,42.00,66.67,20.00,26.00,76.92,3.00,10.00,0.83,6.00,17.00,0.35,12.00,0.00,111.00
Joinville,1,0.00,90.00,33.00,36.00,21.00,36.00,14.00,22.00,15.00,8.00,1.88,90.00,11.00,36.00,30.56,18.00,41.00,43.90,21.00,27.00,77.78,3.00,5.00,0.63,4.00,22.00,0.18,8.00,0.00,88.00
Saldanha,1,0.00,88.00,30.00,36.00,22.00,42.00,15.00,27.00,18.00,16.00,1.13,88.00,10.00,33.00,30.30,18.00,38.00,47.37,22.00,40.00,55.00,5.00,18.00,1.13,2.00,33.00,0.06,16.00,0.00,91.00
Pinheiros,1,0.00,86.00,15.00,58.00,13.00,35.00,7.00,28.00,19.00,11.00,1.73,86.00,5.00,16.00,31.25,29.00,42.00,69.05,13.00,18.00,72.22,3.00,5.00,0.45,0.00,17.00,0.00,11.00,0.00,105.00
Minas,1,0.00,84.00,24.00,48.00,12.00,33.00,5.00,28.00,14.00,10.00,1.40,84.00,8.00,26.00,30.77,24.00,35.00,68.57,12.00,17.00,70.59,2.00,6.00,0.60,2.00,14.00,0.14,10.00,0.00,95.00
Sesi Franca,1,0.00,78.00,24.00,36.00,18.00,33.00,12.00,21.00,12.00,16.00,0.75,78.00,8.00,17.00,47.06,18.00,44.00,40.91,18.00,21.00,85.71,0.00,7.00,0.44,6.00,28.00,0.21,16.00,0.00,82.00
Coop/São José Basketball,1,0.00,72.00,15.00,44.00,13.00,33.00,12.00,21.00,13.00,16.00,0.81,72.00,5.00,21.00,23.81,22.00,44.00,50.00,13.00,19.00,68.42,2.00,6.00,0.38,2.00,25.00,0.08,16.00,0.00,66.00
Lajeado,1,0.00,70.00,15.00,46.00,9.00,10.00,5.00,5.00,10.00,8.00,1.25,70.00,5.00,16.00,31.25,23.00,42.00,54.76,9.00,14.00,64.29,0.00,3.00,0.38,1.00,14.00,0.07,8.00,0.00,51.00
Bauru Basket,1,0.00,70.00,24.00,32.00,14.00,28.00,8.00,20.00,12.00,17.00,0.71,70.00,8.00,22.00,36.36,16.00,37.00,43.24,14.00,20.00,70.00,0.00,14.00,0.82,0.00,21.00,0.00,17.00,0.00,66.00
Assis,1,0.00,68.00,21.00,32.00,15.00,34.00,13.00,21.00,10.00,15.00,0.67,68.00,7.00,15.00,46.67,16.00,42.00,38.10,15.00,21.00,71.43,1.00,7.00,0.47,4.00,23.00,0.17,15.00,0.00,68.00
Espírito Santo,1,0.00,64.00,18.00,40.00,6.00,24.00,3.00,21.00,17.00,10.00,1.70,64.00,6.00,20.00,30.00,20.00,38.00,52.63,6.00,11.00,54.55,4.00,10.00,1.00,0.00,20.00,0.00,10.00,0.00,68.00
Araraquara,1,0.00,64.00,18.00,24.00,22.00,23.00,4.00,19.00,15.00,18.00,0.83,64.00,6.00,24.00,25.00,12.00,21.00,57.14,22.00,26.00,84.62,2.00,6.00,0.33,3.00,21.00,0.14,18.00,0.00,62.00
