Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Limeira,1,0.00,93.00,42.00,36.00,15.00,32.00,7.00,25.00,19.00,24.00,0.79,93.00,14.00,39.00,35.90,18.00,29.00,62.07,15.00,18.00,83.33,1.00,5.00,0.21,5.00,23.00,0.22,24.00,0.00,91.00
Flamengo,1,0.00,90.00,36.00,44.00,10.00,26.00,10.00,16.00,13.00,9.00,1.44,90.00,12.00,31.00,38.71,22.00,43.00,51.16,10.00,15.00,66.67,3.00,9.00,1.00,0.00,20.00,0.00,9.00,0.00,84.00
Pinheiros,1,0.00,89.00,18.00,50.00,21.00,39.00,12.00,27.00,16.00,18.00,0.89,89.00,6.00,22.00,27.27,25.00,41.00,60.98,21.00,24.00,87.50,2.00,5.00,0.28,3.00,18.00,0.17,18.00,0.00,99.00
Joinville,1,0.00,88.00,30.00,42.00,16.00,25.00,7.00,18.00,21.00,15.00,1.40,88.00,10.00,26.00,38.46,21.00,43.00,48.84,16.00,23.00,69.57,1.00,9.00,0.60,2.00,26.00,0.08,15.00,0.00,85.00
Brasília,1,0.00,88.00,24.00,50.00,14.00,29.00,13.00,16.00,14.00,13.00,1.08,88.00,8.00,19.00,42.11,25.00,41.00,60.98,14.00,19.00,73.68,3.00,9.00,0.69,4.00,22.00,0.18,13.00,0.00,99.00
Paulistano,1,0.00,82.00,21.00,48.00,13.00,37.00,14.00,23.00,22.00,20.00,1.10,82.00,7.00,21.00,33.33,24.00,42.00,57.14,13.00,22.00,59.09,2.00,6.00,0.30,4.00,21.00,0.19,20.00,0.00,90.00
Sesi Franca,1,0.00,80.00,24.00,40.00,16.00,21.00,3.00,18.00,5.00,12.00,0.42,80.00,8.00,26.00,30.77,20.00,33.00,60.61,16.00,28.00,57.14,2.00,9.00,0.75,4.00,10.00,0.40,12.00,0.00,64.00
Saldanha,1,0.00,79.00,24.00,44.00,11.00,32.00,8.00,24.00,2.00,17.00,0.12,79.00,8.00,22.00,36.36,22.00,37.00,59.46,11.00,15.00,73.33,4.00,6.00,0.35,3.00,17.00,0.18,17.00,0.00,72.00
Espírito Santo,1,0.00,77.00,12.00,58.00,7.00,31.00,7.00,24.00,19.00,11.00,1.73,77.00,4.00,17.00,23.53,29.00,47.00,61.70,7.00,18.00,38.89,0.00,12.00,1.09,2.00,18.00,0.11,11.00,0.00,88.00
Minas,1,0.00,76.00,18.00,42.00,16.00,28.00,8.00,20.00,18.00,15.00,1.20,76.00,6.00,21.00,28.57,21.00,39.00,53.85,16.00,27.00,59.26,0.00,9.00,0.60,0.00,21.00,0.00,15.00,0.00,72.00
Assis,1,0.00,75.00,18.00,36.00,21.00,28.00,8.00,20.00,6.00,16.00,0.38,75.00,6.00,22.00,27.27,18.00,33.00,54.55,21.00,26.00,80.77,1.00,7.00,0.44,3.00,15.00,0.20,16.00,0.00,67.00
Coop/São José Basketball,1,0.00,73.00,21.00,32.00,20.00,35.00,7.00,28.00,12.00,12.00,1.00,73.00,7.00,26.00,26.92,16.00,34.00,47.06,20.00,27.00,74.07,0.00,6.00,0.50,4.00,19.00,0.21,12.00,0.00,74.00
Lajeado,1,0.00,68.00,21.00,32.00,15.00,34.00,9.00,25.00,10.00,25.00,0.40,68.00,7.00,32.00,21.88,16.00,37.00,43.24,15.00,19.00,78.95,1.00,11.00,0.44,2.00,23.00,0.09,25.00,0.00,50.00
Araraquara,1,0.00,56.00,6.00,42.00,8.00,25.00,5.00,20.00,9.00,19.00,0.47,56.00,2.00,23.00,8.70,21.00,44.00,47.73,8.00,15.00,53.33,0.00,13.00,0.68,2.00,21.00,0.10,19.00,0.00,35.00
