Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Joinville,1,0.00,108.00,30.00,64.00,14.00,33.00,15.00,18.00,19.00,12.00,1.58,108.00,10.00,23.00,43.48,32.00,50.00,64.00,14.00,18.00,77.78,5.00,10.00,0.83,3.00,21.00,0.14,12.00,4.00,126.00
Flamengo,1,0.00,99.00,39.00,40.00,20.00,30.00,7.00,23.00,13.00,11.00,1.18,99.00,13.00,24.00,54.17,20.00,33.00,60.61,20.00,26.00,76.92,1.00,12.00,1.09,1.00,16.00,0.06,11.00,2.00,114.00
Brasília,1,0.00,98.00,33.00,48.00,17.00,29.00,8.00,21.00,22.00,18.00,1.22,98.00,11.00,21.00,52.38,24.00,44.00,54.55,17.00,22.00,77.27,6.00,7.00,0.39,1.00,19.00,0.05,18.00,5.00,104.00
Pinheiros,1,0.00,92.00,27.00,48.00,17.00,29.00,8.00,21.00,15.00,12.00,1.25,92.00,9.00,31.00,29.03,24.00,37.00,64.86,17.00,20.00,85.00,3.00,10.00,0.83,1.00,22.00,0.05,12.00,2.00,97.00
Minas,1,0.00,88.00,36.00,40.00,12.00,39.00,17.00,22.00,21.00,18.00,1.17,88.00,12.00,23.00,52.17,20.00,43.00,46.51,12.00,19.00,63.16,1.00,3.00,0.17,0.00,16.00,0.00,18.00,4.00,92.00
Paulistano,1,0.00,85.00,24.00,48.00,13.00,27.00,8.00,19.00,21.00,9.00,2.33,85.00,8.00,24.00,33.33,24.00,45.00,53.33,13.00,18.00,72.22,2.00,11.00,1.22,1.00,20.00,0.05,9.00,1.00,94.00
Coop/São José Basketball,1,0.00,84.00,30.00,42.00,12.00,31.00,15.00,16.00,25.00,10.00,2.50,84.00,10.00,33.00,30.30,21.00,29.00,72.41,12.00,19.00,63.16,2.00,5.00,0.50,1.00,19.00,0.05,10.00,0.00,98.00
Londrina,1,0.00,76.00,9.00,52.00,15.00,21.00,9.00,12.00,14.00,15.00,0.93,76.00,3.00,14.00,21.43,26.00,46.00,56.52,15.00,23.00,65.22,0.00,3.00,0.20,6.00,15.00,0.40,15.00,3.00,66.00
Araraquara,1,0.00,76.00,27.00,40.00,9.00,25.00,7.00,18.00,15.00,12.00,1.25,76.00,9.00,25.00,36.00,20.00,31.00,64.52,9.00,11.00,81.82,2.00,10.00,0.83,3.00,11.00,0.27,12.00,2.00,88.00
Sesi Franca,1,0.00,74.00,12.00,52.00,10.00,32.00,10.00,22.00,20.00,3.00,6.67,74.00,4.00,19.00,21.05,26.00,46.00,56.52,10.00,17.00,58.82,0.00,3.00,1.00,4.00,17.00,0.24,3.00,0.00,88.00
Saldanha,1,0.00,72.00,27.00,38.00,7.00,22.00,5.00,17.00,10.00,12.00,0.83,72.00,9.00,20.00,45.00,19.00,38.00,50.00,7.00,16.00,43.75,1.00,2.00,0.17,2.00,17.00,0.12,12.00,2.00,57.00
Espírito Santo,1,0.00,70.00,30.00,28.00,12.00,33.00,12.00,21.00,11.00,21.00,0.52,70.00,10.00,27.00,37.04,14.00,34.00,41.18,12.00,16.00,75.00,1.00,8.00,0.38,1.00,20.00,0.05,21.00,6.00,61.00
Bauru Basket,1,0.00,69.00,24.00,40.00,5.00,25.00,8.00,17.00,11.00,12.00,0.92,69.00,8.00,24.00,33.33,20.00,39.00,51.28,5.00,7.00,71.43,0.00,10.00,0.83,6.00,12.00,0.50,12.00,4.00,72.00
Assis,1,0.00,63.00,6.00,44.00,13.00,39.00,17.00,22.00,10.00,12.00,0.83,63.00,2.00,19.00,10.53,22.00,47.00,46.81,13.00,18.00,72.22,2.00,2.00,0.17,3.00,19.00,0.16,12.00,2.00,58.00
