Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,200.00,101.00,33.00,58.00,10.00,27.00,7.00,20.00,27.00,13.00,2.08,101.00,11.00,19.00,57.89,29.00,46.00,63.04,10.00,17.00,58.82,1.00,2.00,0.15,1.00,17.00,0.06,13.00,2.00,113.00
Coop/São José Basketball,1,199.40,98.00,30.00,46.00,22.00,32.00,8.00,24.00,22.00,14.00,1.57,98.00,10.00,22.00,45.45,23.00,43.00,53.49,22.00,24.00,91.67,0.00,5.00,0.36,4.00,20.00,0.20,14.00,3.00,113.00
Uberlândia,1,200.00,86.00,33.00,34.00,19.00,26.00,5.00,21.00,12.00,9.00,1.33,86.00,11.00,23.00,47.83,17.00,39.00,43.59,19.00,23.00,82.61,3.00,6.00,0.67,0.00,21.00,0.00,9.00,2.00,83.00
Bauru Basket,1,200.00,84.00,12.00,48.00,24.00,36.00,12.00,24.00,13.00,8.00,1.63,84.00,4.00,29.00,13.79,24.00,37.00,64.86,24.00,28.00,85.71,3.00,4.00,0.50,4.00,24.00,0.17,8.00,2.00,91.00
Minas,1,200.00,83.00,21.00,54.00,8.00,30.00,8.00,22.00,15.00,9.00,1.67,83.00,7.00,18.00,38.89,27.00,46.00,58.70,8.00,9.00,88.89,1.00,3.00,0.33,1.00,17.00,0.06,9.00,3.00,92.00
Brasília,1,200.00,82.00,18.00,36.00,28.00,35.00,9.00,26.00,13.00,14.00,0.93,82.00,6.00,20.00,30.00,18.00,36.00,50.00,28.00,31.00,90.32,1.00,9.00,0.64,4.00,22.00,0.18,14.00,3.00,94.00
Paulistano,1,188.03,81.00,12.00,42.00,27.00,25.00,6.00,19.00,7.00,15.00,0.47,81.00,4.00,15.00,26.67,21.00,35.00,60.00,27.00,35.00,77.14,2.00,9.00,0.60,3.00,22.00,0.14,15.00,4.00,77.00
Sesi Franca,1,200.00,80.00,18.00,48.00,14.00,23.00,3.00,20.00,7.00,17.00,0.41,80.00,6.00,15.00,40.00,24.00,34.00,70.59,14.00,19.00,73.68,4.00,3.00,0.18,3.00,25.00,0.12,17.00,6.00,75.00
Espírito Santo,1,200.00,78.00,27.00,36.00,15.00,23.00,6.00,17.00,16.00,11.00,1.45,78.00,9.00,23.00,39.13,18.00,34.00,52.94,15.00,20.00,75.00,1.00,8.00,0.73,3.00,27.00,0.11,11.00,1.00,82.00
Limeira,1,200.00,76.00,36.00,26.00,14.00,30.00,10.00,20.00,8.00,15.00,0.53,76.00,12.00,29.00,41.38,13.00,34.00,38.24,14.00,19.00,73.68,0.00,7.00,0.47,3.00,24.00,0.13,15.00,1.00,66.00
Joinville,1,195.32,74.00,15.00,44.00,15.00,32.00,11.00,21.00,8.00,9.00,0.89,74.00,5.00,24.00,20.83,22.00,43.00,51.16,15.00,17.00,88.24,1.00,7.00,0.78,2.00,21.00,0.10,9.00,2.00,72.00
Tijuca,1,200.00,72.00,9.00,46.00,17.00,25.00,4.00,21.00,8.00,14.00,0.57,72.00,3.00,12.00,25.00,23.00,42.00,54.76,17.00,21.00,80.95,0.00,7.00,0.50,1.00,19.00,0.05,14.00,3.00,67.00
Araraquara,1,200.00,72.00,12.00,42.00,18.00,26.00,9.00,17.00,13.00,10.00,1.30,72.00,4.00,15.00,26.67,21.00,45.00,46.67,18.00,24.00,75.00,0.00,4.00,0.40,1.00,14.00,0.07,10.00,4.00,65.00
L. Sorocabana,1,200.00,70.00,27.00,22.00,21.00,27.00,12.00,15.00,10.00,17.00,0.59,70.00,9.00,31.00,29.03,11.00,26.00,42.31,21.00,25.00,84.00,1.00,6.00,0.35,2.00,20.00,0.10,17.00,0.00,57.00
