Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Sesi Franca,1,0.00,109.00,27.00,64.00,18.00,25.00,8.00,17.00,28.00,11.00,2.55,109.00,9.00,18.00,50.00,32.00,46.00,69.57,18.00,27.00,66.67,1.00,10.00,0.91,1.00,26.00,0.04,11.00,0.00,130.00
Brasília,1,0.00,105.00,42.00,40.00,23.00,32.00,7.00,25.00,26.00,26.00,1.00,105.00,14.00,27.00,51.85,20.00,27.00,74.07,23.00,31.00,74.19,5.00,10.00,0.38,8.00,20.00,0.40,26.00,0.00,127.00
Limeira,1,0.00,89.00,30.00,48.00,11.00,32.00,7.00,25.00,22.00,12.00,1.83,89.00,10.00,24.00,41.67,24.00,42.00,57.14,11.00,13.00,84.62,3.00,9.00,0.75,4.00,20.00,0.20,12.00,0.00,110.00
Minas,1,0.00,87.00,12.00,58.00,17.00,29.00,12.00,17.00,10.00,12.00,0.83,87.00,4.00,20.00,20.00,29.00,41.00,70.73,17.00,26.00,65.38,2.00,10.00,0.83,4.00,17.00,0.24,12.00,0.00,91.00
Paulistano,1,0.00,84.00,15.00,48.00,21.00,29.00,16.00,13.00,13.00,18.00,0.72,84.00,5.00,21.00,23.81,24.00,49.00,48.98,21.00,25.00,84.00,1.00,14.00,0.78,2.00,22.00,0.09,18.00,0.00,79.00
Joinville,1,0.00,78.00,30.00,32.00,16.00,39.00,9.00,30.00,20.00,15.00,1.33,78.00,10.00,27.00,37.04,16.00,34.00,47.06,16.00,26.00,61.54,3.00,8.00,0.53,2.00,16.00,0.13,15.00,0.00,87.00
Saldanha,1,0.00,76.00,24.00,40.00,12.00,29.00,11.00,18.00,9.00,15.00,0.60,76.00,8.00,19.00,42.11,20.00,40.00,50.00,12.00,24.00,50.00,2.00,9.00,0.60,2.00,24.00,0.08,15.00,0.00,67.00
Araraquara,1,0.00,76.00,24.00,38.00,14.00,35.00,8.00,27.00,14.00,12.00,1.17,76.00,8.00,24.00,33.33,19.00,38.00,50.00,14.00,23.00,60.87,2.00,8.00,0.67,8.00,24.00,0.33,12.00,0.00,85.00
Flamengo,1,0.00,74.00,12.00,38.00,24.00,30.00,10.00,20.00,15.00,7.00,2.14,74.00,4.00,22.00,18.18,19.00,32.00,59.38,24.00,33.00,72.73,5.00,11.00,1.57,0.00,20.00,0.00,7.00,0.00,83.00
Assis,1,0.00,69.00,30.00,22.00,17.00,24.00,8.00,16.00,5.00,19.00,0.26,69.00,10.00,27.00,37.04,11.00,23.00,47.83,17.00,23.00,73.91,0.00,6.00,0.32,2.00,23.00,0.09,19.00,0.00,52.00
Coop/São José Basketball,1,0.00,68.00,21.00,26.00,21.00,29.00,10.00,19.00,12.00,15.00,0.80,68.00,7.00,29.00,24.14,13.00,27.00,48.15,21.00,25.00,84.00,1.00,7.00,0.47,1.00,27.00,0.04,15.00,0.00,62.00
Bauru Basket,1,0.00,66.00,21.00,32.00,13.00,29.00,5.00,24.00,14.00,18.00,0.78,66.00,7.00,19.00,36.84,16.00,33.00,48.48,13.00,24.00,54.17,0.00,3.00,0.17,2.00,18.00,0.11,18.00,0.00,56.00
Lajeado,1,0.00,65.00,12.00,34.00,19.00,21.00,11.00,10.00,9.00,21.00,0.43,65.00,4.00,18.00,22.22,17.00,30.00,56.67,19.00,24.00,79.17,0.00,6.00,0.29,1.00,21.00,0.05,21.00,0.00,49.00
Espírito Santo,1,0.00,63.00,15.00,36.00,12.00,29.00,5.00,24.00,8.00,12.00,0.67,63.00,5.00,21.00,23.81,18.00,29.00,62.07,12.00,13.00,92.31,0.00,1.00,0.08,1.00,27.00,0.04,12.00,0.00,62.00
