Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Sesi Franca,1,0.00,109.00,36.00,58.00,15.00,41.00,12.00,29.00,24.00,9.00,2.67,109.00,12.00,24.00,50.00,29.00,57.00,50.88,15.00,19.00,78.95,3.00,8.00,0.89,2.00,31.00,0.06,9.00,0.00,131.00
Espírito Santo,1,0.00,93.00,36.00,42.00,15.00,33.00,4.00,29.00,31.00,12.00,2.58,93.00,12.00,27.00,44.44,21.00,35.00,60.00,15.00,21.00,71.43,0.00,6.00,0.50,2.00,26.00,0.08,12.00,0.00,118.00
Brasília,1,0.00,89.00,27.00,42.00,20.00,37.00,11.00,26.00,16.00,16.00,1.00,89.00,9.00,26.00,34.62,21.00,45.00,46.67,20.00,25.00,80.00,2.00,10.00,0.63,3.00,22.00,0.14,16.00,0.00,93.00
Coop/São José Basketball,1,0.00,89.00,30.00,38.00,21.00,22.00,7.00,15.00,18.00,11.00,1.64,89.00,10.00,27.00,37.04,19.00,33.00,57.58,21.00,31.00,67.74,0.00,11.00,1.00,0.00,22.00,0.00,11.00,0.00,88.00
Limeira,1,0.00,86.00,24.00,50.00,12.00,25.00,9.00,16.00,16.00,23.00,0.70,86.00,8.00,17.00,47.06,25.00,36.00,69.44,12.00,18.00,66.67,5.00,17.00,0.74,6.00,12.00,0.50,23.00,0.00,101.00
Pinheiros,1,0.00,83.00,30.00,30.00,23.00,33.00,11.00,22.00,9.00,11.00,0.82,83.00,10.00,29.00,34.48,15.00,31.00,48.39,23.00,36.00,63.89,1.00,5.00,0.45,3.00,14.00,0.21,11.00,0.00,74.00
Assis,1,0.00,83.00,33.00,16.00,34.00,19.00,3.00,16.00,10.00,13.00,0.77,83.00,11.00,28.00,39.29,8.00,14.00,57.14,34.00,41.00,82.93,0.00,8.00,0.62,2.00,20.00,0.10,13.00,0.00,79.00
Paulistano,1,0.00,82.00,36.00,38.00,8.00,32.00,13.00,19.00,18.00,15.00,1.20,82.00,12.00,29.00,41.38,19.00,36.00,52.78,8.00,16.00,50.00,0.00,11.00,0.73,3.00,24.00,0.13,15.00,0.00,89.00
Minas,1,0.00,81.00,12.00,44.00,25.00,33.00,9.00,24.00,7.00,17.00,0.41,81.00,4.00,16.00,25.00,22.00,46.00,47.83,25.00,33.00,75.76,1.00,8.00,0.47,6.00,22.00,0.27,17.00,0.00,74.00
Araraquara,1,0.00,77.00,21.00,34.00,22.00,30.00,8.00,22.00,22.00,17.00,1.29,77.00,7.00,25.00,28.00,17.00,25.00,68.00,22.00,29.00,75.86,3.00,4.00,0.24,3.00,19.00,0.16,17.00,0.00,86.00
Saldanha,1,0.00,76.00,33.00,38.00,5.00,25.00,8.00,17.00,9.00,26.00,0.35,76.00,11.00,26.00,42.31,19.00,33.00,57.58,5.00,8.00,62.50,1.00,13.00,0.50,0.00,18.00,0.00,26.00,0.00,65.00
Lajeado,1,0.00,68.00,15.00,38.00,15.00,26.00,8.00,18.00,9.00,12.00,0.75,68.00,5.00,15.00,33.33,19.00,39.00,48.72,15.00,22.00,68.18,0.00,9.00,0.75,0.00,20.00,0.00,12.00,0.00,63.00
Joinville,1,0.00,68.00,24.00,34.00,10.00,39.00,10.00,29.00,12.00,18.00,0.67,68.00,8.00,25.00,32.00,17.00,36.00,47.22,10.00,16.00,62.50,1.00,14.00,0.78,2.00,16.00,0.13,18.00,0.00,75.00
Bauru Basket,1,0.00,57.00,15.00,36.00,6.00,30.00,8.00,22.00,10.00,18.00,0.56,57.00,5.00,30.00,16.67,18.00,32.00,56.25,6.00,7.00,85.71,0.00,7.00,0.39,2.00,16.00,0.13,18.00,0.00,48.00
