Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Pinheiros,1,200.00,104.00,33.00,58.00,13.00,28.00,9.00,19.00,19.00,12.00,1.58,104.00,11.00,23.00,47.83,29.00,45.00,64.44,13.00,14.00,92.86,5.00,12.00,1.00,4.00,21.00,0.19,12.00,6.00,126.00
Uberlândia,1,200.00,102.00,30.00,64.00,8.00,34.00,4.00,30.00,23.00,13.00,1.77,102.00,10.00,25.00,40.00,32.00,40.00,80.00,8.00,12.00,66.67,6.00,8.00,0.62,5.00,10.00,0.50,13.00,3.00,132.00
Flamengo,1,196.53,88.00,24.00,42.00,22.00,32.00,8.00,24.00,14.00,13.00,1.08,88.00,8.00,17.00,47.06,21.00,35.00,60.00,22.00,28.00,78.57,2.00,4.00,0.31,0.00,16.00,0.00,13.00,2.00,96.00
Coop/São José Basketball,1,200.00,87.00,27.00,38.00,22.00,45.00,16.00,29.00,19.00,14.00,1.36,87.00,9.00,28.00,32.14,19.00,38.00,50.00,22.00,25.00,88.00,2.00,4.00,0.29,6.00,24.00,0.25,14.00,0.00,106.00
Joinville,1,197.12,81.00,21.00,36.00,24.00,32.00,11.00,21.00,14.00,8.00,1.75,81.00,7.00,18.00,38.89,18.00,38.00,47.37,24.00,29.00,82.76,3.00,4.00,0.50,0.00,26.00,0.00,8.00,1.00,87.00
Paulistano,1,199.65,78.00,18.00,50.00,10.00,26.00,9.00,17.00,8.00,10.00,0.80,78.00,6.00,22.00,27.27,25.00,42.00,59.52,10.00,13.00,76.92,1.00,6.00,0.60,2.00,22.00,0.09,10.00,3.00,74.00
Brasília,1,200.00,78.00,18.00,44.00,16.00,31.00,12.00,19.00,7.00,12.00,0.58,78.00,6.00,25.00,24.00,22.00,47.00,46.81,16.00,17.00,94.12,0.00,5.00,0.42,0.00,27.00,0.00,12.00,2.00,64.00
Tijuca,1,200.00,71.00,18.00,38.00,15.00,14.00,4.00,10.00,12.00,19.00,0.63,71.00,6.00,15.00,40.00,19.00,35.00,54.29,15.00,22.00,68.18,0.00,2.00,0.11,2.00,18.00,0.11,19.00,6.00,50.00
Minas,1,200.00,70.00,9.00,42.00,19.00,21.00,7.00,14.00,8.00,11.00,0.73,70.00,3.00,15.00,20.00,21.00,38.00,55.26,19.00,26.00,73.08,0.00,3.00,0.27,1.00,24.00,0.04,11.00,5.00,56.00
Araraquara,1,197.10,69.00,15.00,46.00,8.00,25.00,10.00,15.00,9.00,11.00,0.82,69.00,5.00,21.00,23.81,23.00,49.00,46.94,8.00,10.00,80.00,2.00,7.00,0.64,2.00,12.00,0.17,11.00,4.00,57.00
