Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Pinheiros,1,199.98,106.00,27.00,52.00,27.00,38.00,10.00,28.00,16.00,16.00,1.00,106.00,9.00,20.00,45.00,26.00,43.00,60.47,27.00,33.00,81.82,2.00,9.00,0.56,3.00,17.00,0.18,16.00,1.00,122.00
Minas,1,200.00,89.00,30.00,48.00,11.00,30.00,11.00,19.00,15.00,13.00,1.15,89.00,10.00,19.00,52.63,24.00,45.00,53.33,11.00,12.00,91.67,0.00,13.00,1.00,7.00,24.00,0.29,13.00,3.00,110.00
Coop/São José Basketball,1,198.10,87.00,24.00,44.00,19.00,33.00,8.00,25.00,24.00,13.00,1.85,87.00,8.00,22.00,36.36,22.00,39.00,56.41,19.00,25.00,76.00,2.00,14.00,1.08,4.00,15.00,0.27,13.00,1.00,112.00
Limeira,1,200.00,86.00,30.00,34.00,22.00,17.00,3.00,14.00,16.00,8.00,2.00,86.00,10.00,25.00,40.00,17.00,33.00,51.52,22.00,29.00,75.86,2.00,21.00,2.63,2.00,22.00,0.09,8.00,1.00,96.00
Tijuca,1,200.00,85.00,15.00,54.00,16.00,28.00,7.00,21.00,15.00,13.00,1.15,85.00,5.00,21.00,23.81,27.00,38.00,71.05,16.00,21.00,76.19,2.00,6.00,0.46,2.00,21.00,0.10,13.00,1.00,91.00
Uberlândia,1,199.63,84.00,30.00,34.00,20.00,27.00,9.00,18.00,18.00,6.00,3.00,84.00,10.00,26.00,38.46,17.00,43.00,39.53,20.00,25.00,80.00,4.00,10.00,1.67,3.00,20.00,0.15,6.00,1.00,89.00
Araraquara,1,200.00,83.00,21.00,44.00,18.00,19.00,1.00,18.00,15.00,11.00,1.36,83.00,7.00,17.00,41.18,22.00,42.00,52.38,18.00,21.00,85.71,0.00,10.00,0.91,0.00,29.00,0.00,11.00,2.00,83.00
Flamengo,1,200.00,81.00,3.00,70.00,8.00,34.00,7.00,27.00,14.00,9.00,1.56,81.00,1.00,7.00,14.29,35.00,54.00,64.81,8.00,11.00,72.73,2.00,5.00,0.56,1.00,16.00,0.06,9.00,2.00,98.00
L. Sorocabana,1,200.00,78.00,30.00,36.00,12.00,35.00,13.00,22.00,12.00,13.00,0.92,78.00,10.00,23.00,43.48,18.00,38.00,47.37,12.00,18.00,66.67,1.00,9.00,0.69,0.00,22.00,0.00,13.00,5.00,82.00
Sesi Franca,1,200.00,77.00,15.00,40.00,22.00,25.00,6.00,19.00,15.00,17.00,0.88,77.00,5.00,13.00,38.46,20.00,44.00,45.45,22.00,29.00,75.86,1.00,7.00,0.41,1.00,15.00,0.07,17.00,1.00,69.00
Brasília,1,200.00,73.00,15.00,40.00,18.00,28.00,6.00,22.00,14.00,12.00,1.17,73.00,5.00,18.00,27.78,20.00,37.00,54.05,18.00,19.00,94.74,1.00,4.00,0.33,4.00,24.00,0.17,12.00,3.00,80.00
Paulistano,1,200.00,70.00,12.00,46.00,12.00,32.00,5.00,27.00,8.00,23.00,0.35,70.00,4.00,11.00,36.36,23.00,40.00,57.50,12.00,16.00,75.00,1.00,7.00,0.30,2.00,24.00,0.08,23.00,2.00,68.00
Bauru Basket,1,200.00,66.00,21.00,32.00,13.00,26.00,10.00,16.00,6.00,9.00,0.67,66.00,7.00,25.00,28.00,16.00,38.00,42.11,13.00,19.00,68.42,0.00,6.00,0.67,0.00,13.00,0.00,9.00,0.00,49.00
Espírito Santo,1,200.00,47.00,18.00,22.00,7.00,27.00,7.00,20.00,8.00,18.00,0.44,47.00,6.00,22.00,27.27,11.00,36.00,30.56,7.00,8.00,87.50,0.00,7.00,0.39,1.00,20.00,0.05,18.00,0.00,30.00
