Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Limeira,1,0.00,108.00,36.00,52.00,20.00,27.00,9.00,18.00,20.00,16.00,1.25,108.00,12.00,25.00,48.00,26.00,37.00,70.27,20.00,27.00,74.07,1.00,13.00,0.81,5.00,28.00,0.18,16.00,0.00,126.00
Pinheiros,1,0.00,97.00,39.00,42.00,16.00,28.00,8.00,20.00,21.00,13.00,1.62,97.00,13.00,27.00,48.15,21.00,34.00,61.76,16.00,21.00,76.19,2.00,7.00,0.54,3.00,21.00,0.14,13.00,0.00,111.00
Coop/São José Basketball,1,0.00,94.00,45.00,36.00,13.00,39.00,16.00,23.00,18.00,15.00,1.20,94.00,15.00,34.00,44.12,18.00,39.00,46.15,13.00,17.00,76.47,4.00,3.00,0.20,0.00,18.00,0.00,15.00,0.00,95.00
Brasília,1,0.00,94.00,18.00,58.00,18.00,42.00,8.00,34.00,24.00,7.00,3.43,94.00,6.00,24.00,25.00,29.00,39.00,74.36,18.00,23.00,78.26,0.00,6.00,0.86,0.00,21.00,0.00,7.00,0.00,126.00
Paulistano,1,0.00,87.00,21.00,38.00,28.00,30.00,12.00,18.00,19.00,23.00,0.83,87.00,7.00,16.00,43.75,19.00,38.00,50.00,28.00,39.00,71.79,1.00,5.00,0.22,2.00,25.00,0.08,23.00,0.00,81.00
Flamengo,1,0.00,86.00,27.00,38.00,21.00,39.00,13.00,26.00,22.00,9.00,2.44,86.00,9.00,22.00,40.91,19.00,38.00,50.00,21.00,31.00,67.74,2.00,7.00,0.78,1.00,22.00,0.05,9.00,0.00,104.00
Minas,1,0.00,81.00,18.00,36.00,27.00,38.00,10.00,28.00,21.00,26.00,0.81,81.00,6.00,16.00,37.50,18.00,46.00,39.13,27.00,36.00,75.00,0.00,11.00,0.42,1.00,19.00,0.05,26.00,0.00,79.00
Sesi Franca,1,0.00,81.00,30.00,36.00,15.00,29.00,9.00,20.00,19.00,8.00,2.38,81.00,10.00,33.00,30.30,18.00,36.00,50.00,15.00,18.00,83.33,0.00,8.00,1.00,0.00,31.00,0.00,8.00,0.00,85.00
Assis,1,0.00,79.00,36.00,32.00,11.00,29.00,9.00,20.00,9.00,12.00,0.75,79.00,12.00,21.00,57.14,16.00,33.00,48.48,11.00,21.00,52.38,3.00,6.00,0.50,3.00,22.00,0.14,12.00,0.00,78.00
Araraquara,1,0.00,78.00,18.00,46.00,14.00,33.00,10.00,23.00,22.00,19.00,1.16,78.00,6.00,17.00,35.29,23.00,49.00,46.94,14.00,17.00,82.35,5.00,11.00,0.58,6.00,25.00,0.24,19.00,0.00,91.00
Bauru Basket,1,0.00,77.00,18.00,44.00,15.00,28.00,8.00,20.00,14.00,6.00,2.33,77.00,6.00,21.00,28.57,22.00,40.00,55.00,15.00,22.00,68.18,6.00,13.00,2.17,4.00,18.00,0.22,6.00,0.00,90.00
Saldanha,1,0.00,76.00,18.00,40.00,18.00,27.00,9.00,18.00,12.00,9.00,1.33,76.00,6.00,23.00,26.09,20.00,40.00,50.00,18.00,31.00,58.06,3.00,3.00,0.33,3.00,19.00,0.16,9.00,0.00,62.00
Espírito Santo,1,0.00,68.00,21.00,38.00,9.00,33.00,11.00,22.00,13.00,19.00,0.68,68.00,7.00,27.00,25.93,19.00,31.00,61.29,9.00,14.00,64.29,1.00,5.00,0.26,2.00,17.00,0.12,19.00,0.00,65.00
Lajeado,1,0.00,67.00,27.00,26.00,14.00,25.00,8.00,17.00,9.00,7.00,1.29,67.00,9.00,28.00,32.14,13.00,35.00,37.14,14.00,19.00,73.68,0.00,4.00,0.57,0.00,17.00,0.00,7.00,0.00,52.00
