Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Araraquara,1,0.00,96.00,27.00,48.00,21.00,33.00,4.00,29.00,25.00,11.00,2.27,96.00,9.00,17.00,52.94,24.00,34.00,70.59,21.00,23.00,91.30,2.00,9.00,0.82,4.00,20.00,0.20,11.00,2.00,136.00
Paulistano,1,0.00,95.00,39.00,52.00,4.00,24.00,8.00,16.00,21.00,11.00,1.91,95.00,13.00,21.00,61.90,26.00,43.00,60.47,4.00,7.00,57.14,2.00,9.00,0.82,2.00,17.00,0.12,11.00,0.00,112.00
Flamengo,1,0.00,91.00,48.00,36.00,7.00,26.00,5.00,21.00,13.00,6.00,2.17,91.00,16.00,30.00,53.33,18.00,33.00,54.55,7.00,13.00,53.85,2.00,6.00,1.00,0.00,18.00,0.00,6.00,1.00,95.00
Bauru Basket,1,0.00,86.00,33.00,40.00,13.00,34.00,14.00,20.00,15.00,13.00,1.15,86.00,11.00,23.00,47.83,20.00,37.00,54.05,13.00,19.00,68.42,0.00,6.00,0.46,1.00,14.00,0.07,13.00,2.00,94.00
Brasília,1,0.00,84.00,39.00,28.00,17.00,33.00,11.00,22.00,12.00,17.00,0.71,84.00,13.00,27.00,48.15,14.00,25.00,56.00,17.00,24.00,70.83,0.00,5.00,0.29,1.00,17.00,0.06,17.00,1.00,86.00
Pinheiros,1,0.00,83.00,33.00,36.00,14.00,28.00,6.00,22.00,15.00,19.00,0.79,83.00,11.00,22.00,50.00,18.00,34.00,52.94,14.00,18.00,77.78,1.00,4.00,0.21,3.00,12.00,0.25,19.00,5.00,83.00
Londrina,1,0.00,81.00,27.00,28.00,26.00,25.00,7.00,18.00,14.00,11.00,1.27,81.00,9.00,23.00,39.13,14.00,26.00,53.85,26.00,35.00,74.29,0.00,9.00,0.82,5.00,27.00,0.19,11.00,3.00,88.00
Assis,1,0.00,80.00,27.00,46.00,7.00,28.00,11.00,17.00,13.00,14.00,0.93,80.00,9.00,32.00,28.13,23.00,40.00,57.50,7.00,15.00,46.67,3.00,13.00,0.93,1.00,18.00,0.06,14.00,6.00,73.00
Espírito Santo,1,0.00,73.00,18.00,34.00,21.00,35.00,16.00,19.00,13.00,12.00,1.08,73.00,6.00,21.00,28.57,17.00,36.00,47.22,21.00,35.00,60.00,6.00,8.00,0.67,1.00,30.00,0.03,12.00,3.00,70.00
Coop/São José Basketball,1,0.00,72.00,30.00,34.00,8.00,30.00,15.00,15.00,19.00,14.00,1.36,72.00,10.00,34.00,29.41,17.00,32.00,53.13,8.00,11.00,72.73,1.00,5.00,0.36,3.00,22.00,0.14,14.00,4.00,73.00
Saldanha,1,0.00,71.00,18.00,36.00,17.00,44.00,16.00,28.00,5.00,7.00,0.71,71.00,6.00,17.00,35.29,18.00,50.00,36.00,17.00,20.00,85.00,1.00,11.00,1.57,3.00,18.00,0.17,7.00,2.00,81.00
Minas,1,0.00,71.00,0.00,58.00,13.00,32.00,8.00,24.00,18.00,13.00,1.38,71.00,0.00,13.00,0.00,29.00,46.00,63.04,13.00,24.00,54.17,0.00,4.00,0.31,0.00,18.00,0.00,13.00,3.00,71.00
Sesi Franca,1,0.00,70.00,27.00,28.00,15.00,23.00,10.00,13.00,15.00,14.00,1.07,70.00,9.00,21.00,42.86,14.00,41.00,34.15,15.00,20.00,75.00,0.00,4.00,0.29,2.00,23.00,0.09,14.00,1.00,56.00
Joinville,1,0.00,63.00,24.00,30.00,9.00,32.00,12.00,20.00,6.00,9.00,0.67,63.00,8.00,31.00,25.81,15.00,36.00,41.67,9.00,16.00,56.25,1.00,5.00,0.56,5.00,22.00,0.23,9.00,0.00,51.00
