Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Bauru Basket,1,0.00,95.00,36.00,52.00,7.00,40.00,18.00,22.00,12.00,13.00,0.92,95.00,12.00,32.00,37.50,26.00,42.00,61.90,7.00,12.00,58.33,5.00,14.00,1.08,3.00,15.00,0.20,13.00,0.00,110.00
Sesi Franca,1,0.00,86.00,27.00,34.00,25.00,31.00,11.00,20.00,22.00,12.00,1.83,86.00,9.00,21.00,42.86,17.00,34.00,50.00,25.00,29.00,86.21,0.00,11.00,0.92,2.00,22.00,0.09,12.00,0.00,107.00
Joinville,1,0.00,85.00,36.00,30.00,19.00,28.00,7.00,21.00,11.00,22.00,0.50,85.00,12.00,27.00,44.44,15.00,26.00,57.69,19.00,20.00,95.00,3.00,11.00,0.50,3.00,13.00,0.23,22.00,0.00,89.00
Coop/São José Basketball,1,0.00,82.00,30.00,32.00,20.00,32.00,9.00,23.00,18.00,15.00,1.20,82.00,10.00,25.00,40.00,16.00,35.00,45.71,20.00,22.00,90.91,0.00,6.00,0.40,2.00,22.00,0.09,15.00,0.00,89.00
Brasília,1,0.00,81.00,24.00,38.00,19.00,28.00,11.00,17.00,13.00,18.00,0.72,81.00,8.00,24.00,33.33,19.00,36.00,52.78,19.00,23.00,82.61,2.00,12.00,0.67,1.00,17.00,0.06,18.00,0.00,80.00
Limeira,1,0.00,80.00,24.00,36.00,20.00,35.00,11.00,24.00,15.00,10.00,1.50,80.00,8.00,32.00,25.00,18.00,36.00,50.00,20.00,25.00,80.00,1.00,17.00,1.70,7.00,22.00,0.32,10.00,0.00,97.00
Paulistano,1,0.00,79.00,21.00,42.00,16.00,31.00,10.00,21.00,10.00,13.00,0.77,79.00,7.00,24.00,29.17,21.00,40.00,52.50,16.00,19.00,84.21,3.00,6.00,0.46,1.00,22.00,0.05,13.00,0.00,75.00
Espírito Santo,1,0.00,76.00,12.00,46.00,18.00,37.00,6.00,31.00,15.00,10.00,1.50,76.00,4.00,12.00,33.33,23.00,41.00,56.10,18.00,27.00,66.67,1.00,13.00,1.30,2.00,17.00,0.12,10.00,0.00,98.00
Flamengo,1,0.00,76.00,15.00,34.00,27.00,41.00,7.00,34.00,18.00,17.00,1.06,76.00,5.00,22.00,22.73,17.00,36.00,47.22,27.00,34.00,79.41,0.00,10.00,0.59,4.00,18.00,0.22,17.00,0.00,89.00
Saldanha,1,0.00,75.00,15.00,54.00,6.00,24.00,9.00,15.00,10.00,14.00,0.71,75.00,5.00,23.00,21.74,27.00,44.00,61.36,6.00,14.00,42.86,4.00,7.00,0.50,2.00,15.00,0.13,14.00,0.00,61.00
Pinheiros,1,0.00,72.00,27.00,26.00,19.00,36.00,9.00,27.00,8.00,20.00,0.40,72.00,9.00,20.00,45.00,13.00,36.00,36.11,19.00,26.00,73.08,0.00,8.00,0.40,4.00,23.00,0.17,20.00,0.00,67.00
Minas,1,0.00,71.00,12.00,48.00,11.00,33.00,12.00,21.00,21.00,16.00,1.31,71.00,4.00,17.00,23.53,24.00,44.00,54.55,11.00,17.00,64.71,2.00,9.00,0.56,3.00,21.00,0.14,16.00,0.00,82.00
Araraquara,1,0.00,69.00,18.00,40.00,11.00,33.00,7.00,26.00,16.00,9.00,1.78,69.00,6.00,23.00,26.09,20.00,48.00,41.67,11.00,19.00,57.89,5.00,9.00,1.00,4.00,24.00,0.17,9.00,0.00,69.00
Assis,1,0.00,34.00,12.00,14.00,8.00,24.00,7.00,17.00,5.00,18.00,0.28,34.00,4.00,25.00,16.00,7.00,25.00,28.00,8.00,21.00,38.10,0.00,6.00,0.33,3.00,22.00,0.14,18.00,0.00,2.00
