Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Limeira,1,0.00,108.00,42.00,38.00,28.00,29.00,10.00,19.00,21.00,12.00,1.75,108.00,14.00,27.00,51.85,19.00,32.00,59.38,28.00,35.00,80.00,6.00,7.00,0.58,5.00,24.00,0.21,12.00,0.00,125.00
Flamengo,1,0.00,101.00,36.00,36.00,29.00,23.00,7.00,16.00,22.00,11.00,2.00,101.00,12.00,22.00,54.55,18.00,36.00,50.00,29.00,31.00,93.55,2.00,7.00,0.64,3.00,27.00,0.11,11.00,0.00,115.00
Joinville,1,0.00,93.00,21.00,56.00,16.00,46.00,10.00,36.00,21.00,16.00,1.31,93.00,7.00,19.00,36.84,28.00,46.00,60.87,16.00,23.00,69.57,2.00,15.00,0.94,7.00,14.00,0.50,16.00,0.00,129.00
Espírito Santo,1,0.00,93.00,33.00,38.00,22.00,24.00,2.00,22.00,7.00,13.00,0.54,93.00,11.00,21.00,52.38,19.00,27.00,70.37,22.00,34.00,64.71,2.00,7.00,0.54,1.00,29.00,0.03,13.00,0.00,89.00
Minas,1,0.00,89.00,27.00,50.00,12.00,40.00,13.00,27.00,20.00,18.00,1.11,89.00,9.00,25.00,36.00,25.00,41.00,60.98,12.00,15.00,80.00,2.00,6.00,0.33,3.00,18.00,0.17,18.00,0.00,105.00
Bauru Basket,1,0.00,88.00,33.00,40.00,15.00,26.00,12.00,14.00,18.00,9.00,2.00,88.00,11.00,22.00,50.00,20.00,42.00,47.62,15.00,21.00,71.43,0.00,6.00,0.67,3.00,14.00,0.21,9.00,0.00,93.00
Coop/São José Basketball,1,0.00,88.00,36.00,34.00,18.00,24.00,6.00,18.00,14.00,12.00,1.17,88.00,12.00,23.00,52.17,17.00,40.00,42.50,18.00,22.00,81.82,0.00,6.00,0.50,0.00,16.00,0.00,12.00,0.00,82.00
Assis,1,0.00,87.00,39.00,30.00,18.00,36.00,10.00,26.00,15.00,6.00,2.50,87.00,13.00,26.00,50.00,15.00,26.00,57.69,18.00,20.00,90.00,1.00,2.00,0.33,2.00,15.00,0.13,6.00,0.00,110.00
Lajeado,1,0.00,84.00,21.00,40.00,23.00,24.00,11.00,13.00,4.00,9.00,0.44,84.00,7.00,20.00,35.00,20.00,34.00,58.82,23.00,33.00,69.70,0.00,4.00,0.44,2.00,28.00,0.07,9.00,0.00,72.00
Pinheiros,1,0.00,77.00,24.00,40.00,13.00,16.00,4.00,12.00,14.00,8.00,1.75,77.00,8.00,21.00,38.10,20.00,33.00,60.61,13.00,18.00,72.22,2.00,4.00,0.50,1.00,19.00,0.05,8.00,0.00,73.00
Paulistano,1,0.00,72.00,24.00,42.00,6.00,26.00,11.00,15.00,14.00,14.00,1.00,72.00,8.00,22.00,36.36,21.00,33.00,63.64,6.00,9.00,66.67,2.00,6.00,0.43,2.00,22.00,0.09,14.00,0.00,77.00
Brasília,1,0.00,66.00,12.00,50.00,4.00,45.00,14.00,31.00,12.00,22.00,0.55,66.00,4.00,17.00,23.53,25.00,47.00,53.19,4.00,4.00,100.00,4.00,7.00,0.32,2.00,17.00,0.12,22.00,0.00,75.00
Sesi Franca,1,0.00,61.00,18.00,34.00,9.00,33.00,14.00,19.00,11.00,12.00,0.92,61.00,6.00,24.00,25.00,17.00,49.00,34.69,9.00,13.00,69.23,2.00,19.00,1.58,5.00,16.00,0.31,12.00,0.00,63.00
Saldanha,1,0.00,50.00,15.00,28.00,7.00,33.00,12.00,21.00,2.00,21.00,0.10,50.00,5.00,22.00,22.73,14.00,46.00,30.43,7.00,13.00,53.85,1.00,13.00,0.62,3.00,17.00,0.18,21.00,0.00,25.00
