Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Brasília,1,0.00,109.00,18.00,68.00,23.00,37.00,9.00,28.00,29.00,11.00,2.64,109.00,6.00,24.00,25.00,34.00,48.00,70.83,23.00,31.00,74.19,2.00,11.00,1.00,2.00,18.00,0.11,11.00,0.00,137.00
Bauru Basket,1,0.00,105.00,30.00,48.00,27.00,46.00,16.00,30.00,17.00,8.00,2.13,105.00,10.00,25.00,40.00,24.00,46.00,52.17,27.00,33.00,81.82,1.00,5.00,0.63,3.00,25.00,0.12,8.00,3.00,125.00
Sesi Franca,1,0.00,97.00,21.00,52.00,24.00,36.00,12.00,24.00,7.00,11.00,0.64,97.00,7.00,16.00,43.75,26.00,53.00,49.06,24.00,31.00,77.42,0.00,3.00,0.27,1.00,29.00,0.03,11.00,3.00,90.00
Minas,1,0.00,92.00,30.00,42.00,20.00,32.00,16.00,16.00,24.00,16.00,1.50,92.00,10.00,25.00,40.00,21.00,41.00,51.22,20.00,21.00,95.24,0.00,11.00,0.69,5.00,25.00,0.20,16.00,1.00,112.00
Flamengo,1,0.00,90.00,33.00,42.00,15.00,34.00,6.00,28.00,13.00,7.00,1.86,90.00,11.00,30.00,36.67,21.00,32.00,65.63,15.00,19.00,78.95,3.00,11.00,1.57,2.00,12.00,0.17,7.00,1.00,109.00
Pinheiros,1,0.00,87.00,24.00,40.00,23.00,25.00,12.00,13.00,21.00,15.00,1.40,87.00,8.00,25.00,32.00,20.00,34.00,58.82,23.00,25.00,92.00,0.00,10.00,0.67,4.00,19.00,0.21,15.00,4.00,99.00
Paulistano,1,0.00,80.00,21.00,48.00,11.00,32.00,11.00,21.00,17.00,20.00,0.85,80.00,7.00,22.00,31.82,24.00,47.00,51.06,11.00,19.00,57.89,1.00,10.00,0.50,1.00,25.00,0.04,20.00,5.00,74.00
Espírito Santo,1,0.00,73.00,18.00,36.00,19.00,30.00,8.00,22.00,5.00,8.00,0.63,73.00,6.00,25.00,24.00,18.00,35.00,51.43,19.00,27.00,70.37,1.00,10.00,1.25,5.00,20.00,0.25,8.00,2.00,71.00
Assis,1,0.00,72.00,27.00,28.00,17.00,35.00,9.00,26.00,9.00,10.00,0.90,72.00,9.00,24.00,37.50,14.00,34.00,41.18,17.00,27.00,62.96,0.00,11.00,1.10,3.00,20.00,0.15,10.00,5.00,75.00
Araraquara,1,0.00,68.00,24.00,32.00,12.00,29.00,5.00,24.00,8.00,16.00,0.50,68.00,8.00,20.00,40.00,16.00,32.00,50.00,12.00,15.00,80.00,1.00,3.00,0.19,0.00,29.00,0.00,16.00,4.00,61.00
Saldanha,1,0.00,65.00,21.00,36.00,8.00,32.00,10.00,22.00,7.00,15.00,0.47,65.00,7.00,25.00,28.00,18.00,40.00,45.00,8.00,16.00,50.00,3.00,8.00,0.53,2.00,17.00,0.12,15.00,1.00,51.00
Coop/São José Basketball,1,0.00,61.00,21.00,30.00,10.00,40.00,14.00,26.00,14.00,19.00,0.74,61.00,7.00,20.00,35.00,15.00,32.00,46.88,10.00,25.00,40.00,3.00,4.00,0.21,3.00,24.00,0.13,19.00,2.00,58.00
