Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Coop/São José Basketball,1,198.40,108.00,39.00,36.00,33.00,30.00,8.00,22.00,30.00,9.00,3.33,108.00,13.00,31.00,41.94,18.00,32.00,56.25,33.00,38.00,86.84,2.00,8.00,0.89,4.00,23.00,0.17,9.00,1.00,134.00
Brasília,1,200.00,97.00,18.00,58.00,21.00,45.00,14.00,31.00,19.00,14.00,1.36,97.00,6.00,26.00,23.08,29.00,46.00,63.04,21.00,25.00,84.00,5.00,8.00,0.57,4.00,16.00,0.25,14.00,3.00,118.00
Minas,1,224.75,96.00,15.00,46.00,35.00,32.00,9.00,23.00,12.00,13.00,0.92,96.00,5.00,18.00,27.78,23.00,41.00,56.10,35.00,45.00,77.78,2.00,11.00,0.85,4.00,27.00,0.15,13.00,0.00,101.00
Limeira,1,225.00,93.00,39.00,28.00,26.00,28.00,5.00,23.00,17.00,13.00,1.31,93.00,13.00,28.00,46.43,14.00,34.00,41.18,26.00,32.00,81.25,1.00,4.00,0.31,2.00,29.00,0.07,13.00,2.00,90.00
Bauru Basket,1,200.00,92.00,21.00,54.00,17.00,33.00,14.00,19.00,21.00,9.00,2.33,92.00,7.00,20.00,35.00,27.00,47.00,57.45,17.00,22.00,77.27,1.00,12.00,1.33,4.00,20.00,0.20,9.00,3.00,115.00
L. Sorocabana,1,199.58,91.00,33.00,38.00,20.00,31.00,4.00,27.00,7.00,13.00,0.54,91.00,11.00,22.00,50.00,19.00,41.00,46.34,20.00,25.00,80.00,2.00,5.00,0.38,0.00,21.00,0.00,13.00,2.00,83.00
Tijuca,1,200.00,91.00,18.00,52.00,21.00,31.00,13.00,18.00,16.00,12.00,1.33,91.00,6.00,17.00,35.29,26.00,51.00,50.98,21.00,26.00,80.77,3.00,4.00,0.33,1.00,25.00,0.04,12.00,1.00,90.00
Flamengo,1,200.00,88.00,30.00,40.00,18.00,31.00,6.00,25.00,20.00,8.00,2.50,88.00,10.00,19.00,52.63,20.00,36.00,55.56,18.00,23.00,78.26,1.00,3.00,0.38,1.00,26.00,0.04,8.00,2.00,105.00
Pinheiros,1,200.00,86.00,24.00,32.00,30.00,24.00,5.00,19.00,10.00,12.00,0.83,86.00,8.00,22.00,36.36,16.00,27.00,59.26,30.00,35.00,85.71,2.00,18.00,1.50,3.00,23.00,0.13,12.00,5.00,99.00
Sesi Franca,1,200.00,82.00,15.00,46.00,21.00,20.00,7.00,13.00,14.00,11.00,1.27,82.00,5.00,15.00,33.33,23.00,39.00,58.97,21.00,27.00,77.78,0.00,5.00,0.45,1.00,20.00,0.05,11.00,0.00,79.00
Uberlândia,1,200.00,80.00,15.00,56.00,9.00,25.00,6.00,19.00,13.00,11.00,1.18,80.00,5.00,22.00,22.73,28.00,46.00,60.87,9.00,11.00,81.82,7.00,5.00,0.45,3.00,23.00,0.13,11.00,4.00,78.00
Araraquara,1,200.00,79.00,30.00,38.00,11.00,22.00,4.00,18.00,12.00,18.00,0.67,79.00,10.00,18.00,55.56,19.00,48.00,39.58,11.00,18.00,61.11,1.00,7.00,0.39,0.00,22.00,0.00,18.00,4.00,58.00
Joinville,1,195.12,65.00,30.00,22.00,13.00,21.00,8.00,13.00,6.00,7.00,0.86,65.00,10.00,21.00,47.62,11.00,32.00,34.38,13.00,23.00,56.52,1.00,5.00,0.71,1.00,25.00,0.04,7.00,3.00,49.00
Espírito Santo,1,200.00,54.00,6.00,30.00,18.00,24.00,6.00,18.00,5.00,24.00,0.21,54.00,2.00,12.00,16.67,15.00,29.00,51.72,18.00,25.00,72.00,1.00,11.00,0.46,0.00,27.00,0.00,24.00,6.00,39.00
