Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Pinheiros,1,0.00,97.00,39.00,34.00,24.00,38.00,16.00,22.00,25.00,17.00,1.47,97.00,13.00,29.00,44.83,17.00,37.00,45.95,24.00,35.00,68.57,2.00,9.00,0.53,1.00,29.00,0.03,17.00,5.00,106.00
Macaé Basquete,1,0.00,90.00,21.00,42.00,27.00,31.00,5.00,26.00,19.00,20.00,0.95,90.00,7.00,12.00,58.33,21.00,42.00,50.00,27.00,35.00,77.14,1.00,6.00,0.30,2.00,32.00,0.06,20.00,7.00,94.00
Sesi Franca,1,0.00,90.00,24.00,38.00,28.00,36.00,12.00,24.00,19.00,14.00,1.36,90.00,8.00,21.00,38.10,19.00,35.00,54.29,28.00,35.00,80.00,0.00,5.00,0.36,0.00,21.00,0.00,14.00,1.00,100.00
R10 Score Vasco da Gama,1,0.00,82.00,36.00,30.00,16.00,41.00,11.00,30.00,20.00,13.00,1.54,82.00,12.00,30.00,40.00,15.00,31.00,48.39,16.00,23.00,69.57,0.00,6.00,0.46,1.00,20.00,0.05,13.00,5.00,96.00
Bauru Basket,1,0.00,78.00,15.00,38.00,25.00,40.00,6.00,34.00,11.00,15.00,0.73,78.00,5.00,19.00,26.32,19.00,32.00,59.38,25.00,36.00,69.44,1.00,4.00,0.27,2.00,17.00,0.12,15.00,4.00,82.00
Vitória,1,0.00,78.00,21.00,38.00,19.00,34.00,6.00,28.00,16.00,17.00,0.94,78.00,7.00,24.00,29.17,19.00,32.00,59.38,19.00,23.00,82.61,3.00,11.00,0.65,4.00,19.00,0.21,17.00,2.00,92.00
VipTech CMB,1,0.00,77.00,33.00,24.00,20.00,44.00,20.00,24.00,17.00,11.00,1.55,77.00,11.00,30.00,36.67,12.00,39.00,30.77,20.00,26.00,76.92,1.00,4.00,0.36,1.00,19.00,0.05,11.00,2.00,80.00
Mogi,1,0.00,73.00,30.00,32.00,11.00,45.00,18.00,27.00,16.00,9.00,1.78,73.00,10.00,24.00,41.67,16.00,44.00,36.36,11.00,20.00,55.00,1.00,7.00,0.78,1.00,20.00,0.05,9.00,1.00,82.00
Brasília,1,0.00,70.00,27.00,30.00,13.00,36.00,12.00,24.00,10.00,21.00,0.48,70.00,9.00,29.00,31.03,15.00,33.00,45.45,13.00,15.00,86.67,2.00,9.00,0.43,2.00,24.00,0.08,21.00,1.00,66.00
L. Sorocabana,1,0.00,68.00,21.00,32.00,15.00,24.00,5.00,19.00,13.00,14.00,0.93,68.00,7.00,17.00,41.18,16.00,35.00,45.71,15.00,18.00,83.33,3.00,8.00,0.57,2.00,27.00,0.07,14.00,5.00,69.00
Paulistano,1,0.00,68.00,15.00,36.00,17.00,37.00,15.00,22.00,14.00,10.00,1.40,68.00,5.00,29.00,17.24,18.00,45.00,40.00,17.00,20.00,85.00,0.00,9.00,0.90,2.00,28.00,0.07,10.00,3.00,66.00
Fortaleza B. C. / CFO,1,0.00,66.00,21.00,26.00,19.00,43.00,12.00,31.00,17.00,17.00,1.00,66.00,7.00,23.00,30.43,13.00,36.00,36.11,19.00,26.00,73.08,1.00,8.00,0.47,3.00,21.00,0.14,17.00,3.00,74.00
Caxias do Sul Basquete,1,0.00,64.00,27.00,28.00,9.00,41.00,12.00,29.00,15.00,15.00,1.00,64.00,9.00,29.00,31.03,14.00,30.00,46.67,9.00,16.00,56.25,1.00,6.00,0.40,4.00,22.00,0.18,15.00,4.00,72.00
Minas,1,0.00,62.00,21.00,28.00,13.00,42.00,11.00,31.00,14.00,20.00,0.70,62.00,7.00,31.00,22.58,14.00,31.00,45.16,13.00,15.00,86.67,1.00,8.00,0.40,4.00,24.00,0.17,20.00,6.00,67.00
