Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,93.00,36.00,32.00,25.00,44.00,9.00,35.00,17.00,21.00,0.81,93.00,12.00,34.00,35.29,16.00,30.00,53.33,25.00,30.00,83.33,0.00,5.00,0.24,1.00,22.00,0.05,21.00,4.00,98.00
Brasília,1,0.00,92.00,30.00,44.00,18.00,41.00,17.00,24.00,24.00,13.00,1.85,92.00,10.00,29.00,34.48,22.00,45.00,48.89,18.00,23.00,78.26,3.00,9.00,0.69,4.00,22.00,0.18,13.00,0.00,110.00
Mogi,1,0.00,90.00,27.00,52.00,11.00,36.00,16.00,20.00,21.00,12.00,1.75,90.00,9.00,29.00,31.03,26.00,39.00,66.67,11.00,17.00,64.71,6.00,8.00,0.67,1.00,19.00,0.05,12.00,2.00,105.00
Bauru Basket,1,0.00,89.00,33.00,36.00,20.00,34.00,7.00,27.00,19.00,13.00,1.46,89.00,11.00,22.00,50.00,18.00,37.00,48.65,20.00,24.00,83.33,1.00,7.00,0.54,3.00,21.00,0.14,13.00,1.00,105.00
Vitória,1,0.00,87.00,18.00,52.00,17.00,40.00,11.00,29.00,18.00,12.00,1.50,87.00,6.00,29.00,20.69,26.00,46.00,56.52,17.00,23.00,73.91,2.00,10.00,0.83,1.00,27.00,0.04,12.00,2.00,95.00
Sesi Franca,1,0.00,84.00,18.00,22.00,44.00,34.00,13.00,21.00,17.00,12.00,1.42,84.00,6.00,20.00,30.00,11.00,30.00,36.67,44.00,58.00,75.86,2.00,10.00,0.83,0.00,25.00,0.00,12.00,1.00,86.00
Paulistano,1,0.00,82.00,39.00,28.00,15.00,40.00,14.00,26.00,24.00,13.00,1.85,82.00,13.00,29.00,44.83,14.00,28.00,50.00,15.00,18.00,83.33,0.00,8.00,0.62,6.00,21.00,0.29,13.00,4.00,114.00
Minas,1,0.00,80.00,12.00,50.00,18.00,30.00,6.00,24.00,16.00,16.00,1.00,80.00,4.00,20.00,20.00,25.00,37.00,67.57,18.00,23.00,78.26,0.00,5.00,0.31,2.00,37.00,0.05,16.00,2.00,84.00
Pinheiros,1,0.00,78.00,21.00,40.00,17.00,23.00,4.00,19.00,15.00,17.00,0.88,78.00,7.00,17.00,41.18,20.00,30.00,66.67,17.00,26.00,65.38,1.00,8.00,0.47,0.00,21.00,0.00,17.00,6.00,78.00
Fortaleza B. C. / CFO,1,0.00,77.00,33.00,30.00,14.00,38.00,11.00,27.00,13.00,12.00,1.08,77.00,11.00,29.00,37.93,15.00,38.00,39.47,14.00,19.00,73.68,1.00,11.00,0.92,2.00,12.00,0.17,12.00,1.00,83.00
Macaé Basquete,1,0.00,71.00,9.00,54.00,8.00,38.00,7.00,31.00,14.00,16.00,0.88,71.00,3.00,20.00,15.00,27.00,43.00,62.79,8.00,12.00,66.67,1.00,7.00,0.44,6.00,18.00,0.33,16.00,2.00,83.00
L. Sorocabana,1,0.00,67.00,21.00,22.00,24.00,46.00,18.00,28.00,11.00,15.00,0.73,67.00,7.00,18.00,38.89,11.00,36.00,30.56,24.00,37.00,64.86,0.00,10.00,0.67,3.00,25.00,0.12,15.00,6.00,73.00
R10 Score Vasco da Gama,1,0.00,67.00,30.00,28.00,9.00,29.00,12.00,17.00,11.00,14.00,0.79,67.00,10.00,26.00,38.46,14.00,34.00,41.18,9.00,12.00,75.00,1.00,6.00,0.43,0.00,20.00,0.00,14.00,3.00,60.00
Caxias do Sul Basquete,1,0.00,59.00,12.00,26.00,21.00,32.00,10.00,22.00,10.00,14.00,0.71,59.00,4.00,24.00,16.67,13.00,29.00,44.83,21.00,27.00,77.78,1.00,9.00,0.64,3.00,28.00,0.11,14.00,3.00,57.00
