Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,108.00,54.00,40.00,14.00,37.00,14.00,23.00,28.00,11.00,2.55,108.00,18.00,35.00,51.43,20.00,33.00,60.61,14.00,21.00,66.67,2.00,5.00,0.45,1.00,21.00,0.05,11.00,1.00,131.00
Macaé Basquete,1,0.00,87.00,24.00,54.00,9.00,34.00,7.00,27.00,22.00,19.00,1.16,87.00,8.00,18.00,44.44,27.00,41.00,65.85,9.00,14.00,64.29,2.00,4.00,0.21,0.00,19.00,0.00,19.00,1.00,99.00
Bauru Basket,1,0.00,83.00,18.00,42.00,23.00,50.00,9.00,41.00,23.00,11.00,2.09,83.00,6.00,22.00,27.27,21.00,35.00,60.00,23.00,33.00,69.70,3.00,5.00,0.45,3.00,18.00,0.17,11.00,1.00,113.00
Paulistano,1,0.00,83.00,27.00,40.00,16.00,43.00,13.00,30.00,19.00,10.00,1.90,83.00,9.00,31.00,29.03,20.00,39.00,51.28,16.00,20.00,80.00,2.00,11.00,1.10,3.00,17.00,0.18,10.00,0.00,104.00
Sesi Franca,1,0.00,82.00,24.00,48.00,10.00,43.00,11.00,32.00,16.00,8.00,2.00,82.00,8.00,27.00,29.63,24.00,38.00,63.16,10.00,14.00,71.43,3.00,4.00,0.50,0.00,20.00,0.00,8.00,1.00,100.00
R10 Score Vasco da Gama,1,0.00,81.00,24.00,28.00,29.00,39.00,11.00,28.00,19.00,16.00,1.19,81.00,8.00,16.00,50.00,14.00,37.00,37.84,29.00,38.00,76.32,0.00,6.00,0.38,1.00,24.00,0.04,16.00,6.00,90.00
Mogi,1,0.00,78.00,33.00,36.00,9.00,31.00,8.00,23.00,15.00,7.00,2.14,78.00,11.00,35.00,31.43,18.00,29.00,62.07,9.00,16.00,56.25,2.00,7.00,1.00,1.00,18.00,0.06,7.00,1.00,83.00
Brasília,1,0.00,74.00,18.00,46.00,10.00,25.00,8.00,17.00,14.00,18.00,0.78,74.00,6.00,26.00,23.08,23.00,35.00,65.71,10.00,14.00,71.43,1.00,13.00,0.72,1.00,20.00,0.05,18.00,2.00,73.00
Minas,1,0.00,74.00,15.00,46.00,13.00,26.00,7.00,19.00,12.00,13.00,0.92,74.00,5.00,18.00,27.78,23.00,40.00,57.50,13.00,21.00,61.90,1.00,7.00,0.54,0.00,24.00,0.00,13.00,2.00,68.00
Pinheiros,1,0.00,72.00,27.00,24.00,21.00,30.00,8.00,22.00,13.00,15.00,0.87,72.00,9.00,21.00,42.86,12.00,33.00,36.36,21.00,30.00,70.00,0.00,8.00,0.53,2.00,27.00,0.07,15.00,5.00,68.00
Vitória,1,0.00,66.00,24.00,28.00,14.00,38.00,9.00,29.00,15.00,20.00,0.75,66.00,8.00,25.00,32.00,14.00,34.00,41.18,14.00,21.00,66.67,1.00,7.00,0.35,2.00,21.00,0.10,20.00,2.00,64.00
Fortaleza B. C. / CFO,1,0.00,65.00,15.00,30.00,20.00,40.00,8.00,32.00,12.00,14.00,0.86,65.00,5.00,25.00,20.00,15.00,34.00,44.12,20.00,24.00,83.33,3.00,11.00,0.79,2.00,19.00,0.11,14.00,4.00,73.00
L. Sorocabana,1,0.00,63.00,33.00,20.00,10.00,39.00,11.00,28.00,16.00,12.00,1.33,63.00,11.00,36.00,30.56,10.00,27.00,37.04,10.00,17.00,58.82,1.00,10.00,0.83,5.00,20.00,0.25,12.00,0.00,72.00
VipTech CMB,1,0.00,54.00,24.00,22.00,8.00,36.00,10.00,26.00,11.00,8.00,1.38,54.00,8.00,27.00,29.63,11.00,38.00,28.95,8.00,16.00,50.00,0.00,7.00,0.88,1.00,27.00,0.04,8.00,1.00,47.00
