Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
VipTech CMB,1,0.00,114.00,36.00,48.00,30.00,52.00,12.00,40.00,22.00,23.00,0.96,114.00,12.00,34.00,35.29,24.00,46.00,52.17,30.00,41.00,73.17,2.00,12.00,0.52,3.00,28.00,0.11,23.00,4.00,125.00
Minas,1,0.00,105.00,33.00,52.00,20.00,49.00,13.00,36.00,32.00,19.00,1.68,105.00,11.00,36.00,30.56,26.00,52.00,50.00,20.00,32.00,62.50,3.00,10.00,0.53,1.00,32.00,0.03,19.00,4.00,115.00
Flamengo,1,0.00,94.00,27.00,48.00,19.00,42.00,12.00,30.00,27.00,13.00,2.08,94.00,9.00,21.00,42.86,24.00,45.00,53.33,19.00,24.00,79.17,0.00,7.00,0.54,5.00,17.00,0.29,13.00,2.00,124.00
Mogi,1,0.00,84.00,30.00,36.00,18.00,40.00,9.00,31.00,20.00,14.00,1.43,84.00,10.00,31.00,32.26,18.00,28.00,64.29,18.00,25.00,72.00,2.00,9.00,0.64,4.00,19.00,0.21,14.00,2.00,105.00
Bauru Basket,1,0.00,83.00,21.00,38.00,24.00,38.00,13.00,25.00,14.00,12.00,1.17,83.00,7.00,25.00,28.00,19.00,33.00,57.58,24.00,31.00,77.42,1.00,5.00,0.42,1.00,21.00,0.05,12.00,6.00,90.00
Fortaleza B. C. / CFO,1,0.00,82.00,33.00,32.00,17.00,36.00,10.00,26.00,13.00,15.00,0.87,82.00,11.00,21.00,52.38,16.00,32.00,50.00,17.00,26.00,65.38,1.00,9.00,0.60,4.00,21.00,0.19,15.00,5.00,94.00
Sesi Franca,1,0.00,78.00,36.00,26.00,16.00,37.00,16.00,21.00,14.00,13.00,1.08,78.00,12.00,32.00,37.50,13.00,35.00,37.14,16.00,22.00,72.73,1.00,7.00,0.54,1.00,21.00,0.05,13.00,2.00,76.00
R10 Score Vasco da Gama,1,0.00,77.00,27.00,36.00,14.00,29.00,10.00,19.00,16.00,19.00,0.84,77.00,9.00,20.00,45.00,18.00,34.00,52.94,14.00,17.00,82.35,1.00,7.00,0.37,1.00,23.00,0.04,19.00,4.00,81.00
Macaé Basquete,1,0.00,76.00,18.00,40.00,18.00,25.00,9.00,16.00,20.00,14.00,1.43,76.00,6.00,21.00,28.57,20.00,31.00,64.52,18.00,24.00,75.00,2.00,8.00,0.57,1.00,18.00,0.06,14.00,5.00,84.00
Vitória,1,0.00,71.00,18.00,44.00,9.00,29.00,7.00,22.00,13.00,12.00,1.08,71.00,6.00,19.00,31.58,22.00,38.00,57.89,9.00,17.00,52.94,1.00,4.00,0.33,1.00,25.00,0.04,12.00,5.00,69.00
L. Sorocabana,1,0.00,64.00,21.00,26.00,17.00,48.00,19.00,29.00,14.00,14.00,1.00,64.00,7.00,27.00,25.93,13.00,38.00,34.21,17.00,21.00,80.95,0.00,8.00,0.57,0.00,21.00,0.00,14.00,4.00,71.00
Pinheiros,1,0.00,63.00,18.00,30.00,15.00,36.00,7.00,29.00,15.00,12.00,1.25,63.00,6.00,18.00,33.33,15.00,36.00,41.67,15.00,21.00,71.43,3.00,7.00,0.58,3.00,14.00,0.21,12.00,3.00,73.00
Caxias do Sul Basquete,1,0.00,60.00,6.00,44.00,10.00,31.00,8.00,23.00,15.00,17.00,0.88,60.00,2.00,17.00,11.76,22.00,45.00,48.89,10.00,11.00,90.91,0.00,9.00,0.53,3.00,19.00,0.16,17.00,4.00,62.00
Brasília,1,0.00,58.00,24.00,24.00,10.00,37.00,13.00,24.00,15.00,19.00,0.79,58.00,8.00,26.00,30.77,12.00,36.00,33.33,10.00,16.00,62.50,2.00,6.00,0.32,0.00,19.00,0.00,19.00,3.00,49.00
