Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Coop/São José Basketball,1,0.00,91.00,36.00,40.00,15.00,35.00,6.00,29.00,24.00,19.00,1.26,91.00,12.00,24.00,50.00,20.00,31.00,64.52,15.00,21.00,71.43,1.00,12.00,0.63,5.00,16.00,0.31,19.00,3.00,119.00
Flamengo,1,0.00,89.00,36.00,40.00,13.00,46.00,11.00,35.00,19.00,17.00,1.12,89.00,12.00,32.00,37.50,20.00,34.00,58.82,13.00,16.00,81.25,3.00,9.00,0.53,3.00,15.00,0.20,17.00,5.00,112.00
Mogi,1,0.00,88.00,27.00,48.00,13.00,38.00,9.00,29.00,22.00,19.00,1.16,88.00,9.00,22.00,40.91,24.00,40.00,60.00,13.00,16.00,81.25,1.00,7.00,0.37,5.00,22.00,0.23,19.00,4.00,109.00
Pinheiros,1,0.00,87.00,36.00,38.00,13.00,32.00,9.00,23.00,19.00,15.00,1.27,87.00,12.00,22.00,54.55,19.00,35.00,54.29,13.00,17.00,76.47,4.00,8.00,0.53,2.00,23.00,0.09,15.00,4.00,103.00
Limeira,1,0.00,83.00,33.00,40.00,10.00,32.00,9.00,23.00,25.00,10.00,2.50,83.00,11.00,17.00,64.71,20.00,45.00,44.44,10.00,18.00,55.56,1.00,15.00,1.50,2.00,15.00,0.13,10.00,2.00,108.00
Brasília,1,0.00,80.00,24.00,36.00,20.00,40.00,9.00,31.00,17.00,18.00,0.94,80.00,8.00,21.00,38.10,18.00,36.00,50.00,20.00,23.00,86.96,1.00,4.00,0.22,4.00,26.00,0.15,18.00,4.00,93.00
Paulistano,1,0.00,77.00,21.00,42.00,14.00,35.00,14.00,21.00,18.00,14.00,1.29,77.00,7.00,24.00,29.17,21.00,48.00,43.75,14.00,16.00,87.50,2.00,13.00,0.93,1.00,20.00,0.05,14.00,6.00,84.00
Bauru Basket,1,0.00,77.00,36.00,26.00,15.00,30.00,8.00,22.00,18.00,12.00,1.50,77.00,12.00,37.00,32.43,13.00,20.00,65.00,15.00,19.00,78.95,1.00,14.00,1.17,1.00,14.00,0.07,12.00,3.00,92.00
Macaé Basquete,1,0.00,77.00,21.00,36.00,20.00,32.00,9.00,23.00,12.00,13.00,0.92,77.00,7.00,26.00,26.92,18.00,36.00,50.00,20.00,24.00,83.33,2.00,13.00,1.00,0.00,23.00,0.00,13.00,9.00,80.00
Rio Claro,1,0.00,73.00,27.00,32.00,14.00,34.00,9.00,25.00,18.00,16.00,1.13,73.00,9.00,23.00,39.13,16.00,33.00,48.48,14.00,18.00,77.78,0.00,8.00,0.50,3.00,24.00,0.13,16.00,7.00,85.00
L. Sorocabana,1,0.00,72.00,18.00,50.00,4.00,36.00,17.00,19.00,13.00,14.00,0.93,72.00,6.00,19.00,31.58,25.00,57.00,43.86,4.00,6.00,66.67,1.00,13.00,0.93,0.00,19.00,0.00,14.00,2.00,73.00
Minas,1,0.00,68.00,15.00,34.00,19.00,29.00,7.00,22.00,14.00,13.00,1.08,68.00,5.00,20.00,25.00,17.00,33.00,51.52,19.00,22.00,86.36,0.00,7.00,0.54,1.00,22.00,0.05,13.00,3.00,72.00
Sesi Franca,1,0.00,67.00,21.00,32.00,14.00,28.00,10.00,18.00,16.00,14.00,1.14,67.00,7.00,24.00,29.17,16.00,32.00,50.00,14.00,23.00,60.87,2.00,7.00,0.50,1.00,23.00,0.04,14.00,1.00,63.00
Palmeiras,1,0.00,65.00,12.00,46.00,7.00,38.00,14.00,24.00,12.00,18.00,0.67,65.00,4.00,23.00,17.39,23.00,39.00,58.97,7.00,8.00,87.50,2.00,9.00,0.50,1.00,15.00,0.07,18.00,3.00,71.00
Uberlândia,1,0.00,64.00,18.00,36.00,10.00,34.00,8.00,26.00,16.00,19.00,0.84,64.00,6.00,17.00,35.29,18.00,37.00,48.65,10.00,13.00,76.92,3.00,8.00,0.42,4.00,15.00,0.27,19.00,4.00,74.00
Fortaleza B. C. / CFO,1,0.00,63.00,21.00,38.00,4.00,30.00,9.00,21.00,7.00,13.00,0.54,63.00,7.00,26.00,26.92,19.00,41.00,46.34,4.00,11.00,36.36,2.00,11.00,0.85,2.00,17.00,0.12,13.00,3.00,52.00
