Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Pinheiros,1,0.00,96.00,18.00,46.00,32.00,37.00,12.00,25.00,17.00,11.00,1.55,96.00,6.00,19.00,31.58,23.00,45.00,51.11,32.00,39.00,82.05,2.00,9.00,0.82,1.00,26.00,0.04,11.00,0.00,107.00
Brasília,1,0.00,90.00,15.00,52.00,23.00,33.00,7.00,26.00,12.00,14.00,0.86,90.00,5.00,17.00,29.41,26.00,45.00,57.78,23.00,25.00,92.00,2.00,9.00,0.64,4.00,30.00,0.13,14.00,2.00,101.00
Sesi Franca,1,0.00,81.00,24.00,42.00,15.00,34.00,5.00,29.00,15.00,17.00,0.88,81.00,8.00,21.00,38.10,21.00,29.00,72.41,15.00,21.00,71.43,2.00,4.00,0.24,6.00,22.00,0.27,17.00,1.00,96.00
Macaé Basquete,1,0.00,81.00,24.00,34.00,23.00,40.00,9.00,31.00,8.00,22.00,0.36,81.00,8.00,21.00,38.10,17.00,34.00,50.00,23.00,25.00,92.00,0.00,9.00,0.41,3.00,31.00,0.10,22.00,7.00,87.00
Minas,1,0.00,80.00,24.00,40.00,16.00,40.00,18.00,22.00,14.00,15.00,0.93,80.00,8.00,29.00,27.59,20.00,45.00,44.44,16.00,26.00,61.54,3.00,13.00,0.87,0.00,30.00,0.00,15.00,3.00,76.00
Paulistano,1,0.00,72.00,15.00,40.00,17.00,41.00,10.00,31.00,10.00,14.00,0.71,72.00,5.00,17.00,29.41,20.00,46.00,43.48,17.00,18.00,94.44,4.00,10.00,0.71,0.00,21.00,0.00,14.00,3.00,80.00
Coop/São José Basketball,1,0.00,67.00,15.00,46.00,6.00,39.00,12.00,27.00,9.00,13.00,0.69,67.00,5.00,24.00,20.83,23.00,43.00,53.49,6.00,14.00,42.86,0.00,9.00,0.69,3.00,19.00,0.16,13.00,3.00,67.00
Palmeiras,1,0.00,64.00,24.00,26.00,14.00,36.00,17.00,19.00,14.00,11.00,1.27,64.00,8.00,28.00,28.57,13.00,39.00,33.33,14.00,17.00,82.35,4.00,12.00,1.09,1.00,23.00,0.04,11.00,3.00,67.00
