Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Minas,2,0.00,96.50,37.50,44.00,15.00,42.00,17.50,24.50,22.50,9.50,2.37,96.50,12.50,37.50,33.33,22.00,36.50,60.27,15.00,19.00,78.95,2.00,6.00,0.63,1.50,26.00,0.06,9.50,0.00,115.50
Coop/São José Basketball,1,0.00,93.00,21.00,46.00,26.00,27.00,6.00,21.00,19.00,12.00,1.58,93.00,7.00,23.00,30.43,23.00,36.00,63.89,26.00,30.00,86.67,1.00,7.00,0.58,3.00,22.00,0.14,12.00,2.00,104.00
Mogi,2,0.00,92.00,31.50,35.00,25.50,37.00,12.50,24.50,19.00,10.50,1.81,92.00,10.50,30.50,34.43,17.50,33.50,52.24,25.50,30.50,83.61,0.50,6.50,0.62,2.00,18.00,0.11,10.50,1.00,105.00
Fortaleza B. C. / CFO,1,0.00,91.00,27.00,44.00,20.00,48.00,15.00,33.00,14.00,16.00,0.88,91.00,9.00,27.00,33.33,22.00,37.00,59.46,20.00,27.00,74.07,2.00,12.00,0.75,1.00,22.00,0.05,16.00,3.00,110.00
Rio Claro,1,0.00,90.00,30.00,42.00,18.00,35.00,9.00,26.00,24.00,10.00,2.40,90.00,10.00,30.00,33.33,21.00,36.00,58.33,18.00,20.00,90.00,1.00,5.00,0.50,0.00,20.00,0.00,10.00,4.00,107.00
Paulistano,1,0.00,87.00,33.00,46.00,8.00,38.00,11.00,27.00,18.00,8.00,2.25,87.00,11.00,32.00,34.38,23.00,38.00,60.53,8.00,11.00,72.73,2.00,4.00,0.50,3.00,19.00,0.16,8.00,0.00,102.00
UNIFACISA,2,0.00,85.50,30.00,43.00,12.50,34.00,8.50,25.50,20.50,11.50,1.78,85.50,10.00,27.00,37.04,21.50,38.50,55.84,12.50,16.50,75.76,1.00,6.00,0.52,2.00,21.50,0.09,11.50,1.50,98.50
Pinheiros,1,0.00,83.00,21.00,46.00,16.00,32.00,8.00,24.00,16.00,15.00,1.07,83.00,7.00,18.00,38.89,23.00,41.00,56.10,16.00,18.00,88.89,2.00,6.00,0.40,4.00,19.00,0.21,15.00,6.00,95.00
Sesi Franca,2,0.00,81.50,22.50,40.00,19.00,38.50,10.00,28.50,15.00,8.50,1.76,81.50,7.50,24.00,31.25,20.00,38.00,52.63,19.00,24.50,77.55,1.50,4.00,0.47,1.50,21.00,0.07,8.50,1.50,92.00
Flamengo,2,0.00,80.50,34.50,35.00,11.00,30.00,5.50,24.50,16.00,13.50,1.19,80.50,11.50,27.00,42.59,17.50,32.00,54.69,11.00,18.00,61.11,0.00,8.50,0.63,2.50,18.00,0.14,13.50,4.50,87.00
São Paulo,1,0.00,79.00,30.00,34.00,15.00,49.00,21.00,28.00,15.00,15.00,1.00,79.00,10.00,43.00,23.26,17.00,30.00,56.67,15.00,24.00,62.50,1.00,6.00,0.40,4.00,16.00,0.25,15.00,0.00,83.00
BRB/Brasília,2,0.00,70.00,24.00,32.00,14.00,36.50,12.50,24.00,14.50,17.00,0.85,70.00,8.00,25.00,32.00,16.00,36.00,44.44,14.00,24.00,58.33,2.00,9.00,0.53,2.50,26.00,0.10,17.00,1.50,68.50
Botafogo,1,0.00,68.00,36.00,20.00,12.00,37.00,14.00,23.00,13.00,12.00,1.08,68.00,12.00,40.00,30.00,10.00,24.00,41.67,12.00,14.00,85.71,1.00,4.00,0.33,1.00,27.00,0.04,12.00,2.00,67.00
Bauru Basket,1,0.00,66.00,24.00,36.00,6.00,32.00,10.00,22.00,9.00,20.00,0.45,66.00,8.00,23.00,34.78,18.00,34.00,52.94,6.00,11.00,54.55,2.00,8.00,0.40,0.00,18.00,0.00,20.00,0.00,59.00
