Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Bauru Basket,1,0.00,104.00,39.00,52.00,13.00,37.00,7.00,30.00,21.00,6.00,3.50,104.00,13.00,27.00,48.15,26.00,38.00,68.42,13.00,21.00,61.90,3.00,5.00,0.83,0.00,19.00,0.00,6.00,0.00,127.00
Minas,2,0.00,90.50,18.00,51.00,21.50,38.50,10.00,28.50,15.00,13.50,1.11,90.50,6.00,23.00,26.09,25.50,42.50,60.00,21.50,28.50,75.44,1.50,6.50,0.48,2.50,23.00,0.11,13.50,3.50,98.50
Sesi Franca,3,0.00,87.33,37.00,36.00,14.33,33.67,7.00,26.67,21.33,12.00,1.78,87.33,12.33,29.67,41.57,18.00,33.00,54.55,14.33,17.00,84.31,1.33,5.67,0.47,3.00,19.67,0.15,12.00,1.67,104.00
Flamengo,2,0.00,87.00,31.50,38.00,17.50,36.00,11.50,24.50,18.00,12.00,1.50,87.00,10.50,34.50,30.43,19.00,35.50,53.52,17.50,27.50,63.64,1.00,8.50,0.71,2.00,24.00,0.08,12.00,1.50,89.00
Coop/São José Basketball,1,0.00,83.00,27.00,44.00,12.00,28.00,12.00,16.00,19.00,13.00,1.46,83.00,9.00,21.00,42.86,22.00,42.00,52.38,12.00,16.00,75.00,1.00,4.00,0.31,1.00,18.00,0.06,13.00,3.00,86.00
Corinthians,1,0.00,83.00,27.00,42.00,14.00,35.00,15.00,20.00,17.00,10.00,1.70,83.00,9.00,28.00,32.14,21.00,41.00,51.22,14.00,21.00,66.67,0.00,8.00,0.80,0.00,22.00,0.00,10.00,2.00,87.00
Fortaleza B. C. / CFO,3,0.00,83.00,27.00,46.00,10.00,33.67,12.00,21.67,15.00,14.00,1.07,83.00,9.00,23.33,38.57,23.00,40.33,57.02,10.00,13.67,73.17,2.00,7.33,0.52,2.00,21.33,0.09,14.00,1.33,91.67
Botafogo,3,0.00,82.00,27.00,36.67,18.33,37.33,12.00,25.33,16.33,14.00,1.17,82.00,9.00,25.33,35.53,18.33,35.33,51.89,18.33,23.67,77.46,1.67,7.33,0.52,3.67,21.67,0.17,14.00,1.67,94.00
Mogi,2,0.00,80.50,37.50,27.00,16.00,34.00,7.00,27.00,19.00,16.00,1.19,80.50,12.50,27.00,46.30,13.50,29.50,45.76,16.00,20.00,80.00,0.00,4.00,0.25,1.50,20.00,0.08,16.00,2.00,88.50
UNIFACISA,2,0.00,79.00,24.00,37.00,18.00,37.00,8.50,28.50,17.00,17.00,1.00,79.00,8.00,22.00,36.36,18.50,38.00,48.68,18.00,20.50,87.80,2.00,8.50,0.50,4.50,18.50,0.24,17.00,3.00,93.00
São Paulo,2,0.00,77.00,24.00,43.00,10.00,44.00,14.00,30.00,10.00,11.00,0.91,77.00,8.00,34.50,23.19,21.50,35.50,60.56,10.00,15.00,66.67,2.00,3.00,0.27,2.50,17.50,0.14,11.00,1.50,80.00
Rio Claro,1,0.00,76.00,18.00,48.00,10.00,41.00,16.00,25.00,10.00,11.00,0.91,76.00,6.00,20.00,30.00,24.00,50.00,48.00,10.00,20.00,50.00,1.00,2.00,0.18,3.00,19.00,0.16,11.00,3.00,71.00
Paulistano,1,0.00,74.00,42.00,26.00,6.00,44.00,17.00,27.00,20.00,9.00,2.22,74.00,14.00,42.00,33.33,13.00,32.00,40.63,6.00,8.00,75.00,3.00,3.00,0.33,2.00,20.00,0.10,9.00,2.00,85.00
