Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Minas,1,0.00,124.00,30.00,68.00,26.00,40.00,11.00,29.00,31.00,20.00,1.55,124.00,10.00,27.00,37.04,34.00,47.00,72.34,26.00,33.00,78.79,3.00,15.00,0.75,2.00,28.00,0.07,20.00,3.00,155.00
Coop/São José Basketball,1,0.00,119.00,45.00,46.00,28.00,33.00,14.00,19.00,22.00,17.00,1.29,119.00,15.00,41.00,36.59,23.00,38.00,60.53,28.00,35.00,80.00,0.00,11.00,0.65,1.00,25.00,0.04,17.00,0.00,121.00
Bauru Basket,1,0.00,93.00,27.00,48.00,18.00,42.00,12.00,30.00,15.00,14.00,1.07,93.00,9.00,21.00,42.86,24.00,48.00,50.00,18.00,22.00,81.82,1.00,4.00,0.29,1.00,20.00,0.05,14.00,4.00,101.00
São Paulo,1,0.00,89.00,21.00,38.00,30.00,49.00,16.00,33.00,14.00,12.00,1.17,89.00,7.00,28.00,25.00,19.00,38.00,50.00,30.00,39.00,76.92,3.00,6.00,0.50,3.00,23.00,0.13,12.00,1.00,100.00
Botafogo,1,0.00,88.00,33.00,36.00,19.00,40.00,14.00,26.00,17.00,19.00,0.89,88.00,11.00,30.00,36.67,18.00,33.00,54.55,19.00,29.00,65.52,3.00,9.00,0.47,0.00,26.00,0.00,19.00,4.00,91.00
Paulistano,1,0.00,88.00,27.00,44.00,17.00,34.00,10.00,24.00,22.00,14.00,1.57,88.00,9.00,23.00,39.13,22.00,43.00,51.16,17.00,23.00,73.91,1.00,7.00,0.50,2.00,18.00,0.11,14.00,5.00,98.00
Rio Claro,1,0.00,86.00,24.00,46.00,16.00,35.00,7.00,28.00,20.00,18.00,1.11,86.00,8.00,22.00,36.36,23.00,35.00,65.71,16.00,17.00,94.12,1.00,5.00,0.28,1.00,25.00,0.04,18.00,2.00,102.00
Pinheiros,1,0.00,86.00,24.00,46.00,16.00,34.00,13.00,21.00,11.00,21.00,0.52,86.00,8.00,25.00,32.00,23.00,39.00,58.97,16.00,25.00,64.00,1.00,9.00,0.43,0.00,24.00,0.00,21.00,1.00,77.00
Corinthians,1,0.00,80.00,21.00,38.00,21.00,43.00,14.00,29.00,16.00,9.00,1.78,80.00,7.00,25.00,28.00,19.00,46.00,41.30,21.00,25.00,84.00,1.00,8.00,0.89,0.00,30.00,0.00,9.00,1.00,89.00
Pato Basquete,2,0.00,77.50,22.50,44.00,11.00,42.50,11.50,31.00,20.00,12.50,1.60,77.50,7.50,21.50,34.88,22.00,45.50,48.35,11.00,16.00,68.75,1.50,9.00,0.72,1.00,18.00,0.06,12.50,4.50,95.00
Fortaleza B. C. / CFO,2,0.00,75.50,31.50,29.00,15.00,28.50,6.00,22.50,14.00,14.00,1.00,75.50,10.50,27.00,38.89,14.50,30.00,48.33,15.00,20.50,73.17,1.00,10.50,0.75,0.50,19.50,0.03,14.00,3.00,77.50
UNIFACISA,1,0.00,61.00,15.00,36.00,10.00,39.00,9.00,30.00,14.00,16.00,0.88,61.00,5.00,26.00,19.23,18.00,36.00,50.00,10.00,13.00,76.92,1.00,6.00,0.38,3.00,16.00,0.19,16.00,1.00,65.00
