Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Minas,3,0.00,93.33,32.00,43.33,18.00,42.33,12.00,30.33,22.67,11.00,2.06,93.33,10.67,23.67,45.07,21.67,42.33,51.18,18.00,22.33,80.60,1.33,5.33,0.48,3.00,20.33,0.15,11.00,2.00,117.67
Sesi Franca,2,0.00,91.50,31.50,42.00,18.00,37.00,6.50,30.50,22.50,15.00,1.50,91.50,10.50,22.00,47.73,21.00,43.50,48.28,18.00,21.50,83.72,1.50,7.50,0.50,2.00,20.00,0.10,15.00,2.00,108.00
São Paulo,2,0.00,91.00,30.00,46.00,15.00,35.00,9.00,26.00,20.00,12.00,1.67,91.00,10.00,23.50,42.55,23.00,40.00,57.50,15.00,19.00,78.95,3.50,10.00,0.83,3.50,16.50,0.21,12.00,2.00,113.00
Flamengo,3,0.00,91.00,46.00,34.00,11.00,44.00,14.00,30.00,24.67,14.00,1.76,91.00,15.33,38.00,40.35,17.00,29.33,57.95,11.00,15.67,70.21,1.33,6.67,0.48,1.67,17.33,0.10,14.00,2.33,114.33
Pinheiros,3,0.00,83.33,29.00,44.00,10.33,38.67,10.33,28.33,22.33,15.00,1.49,83.33,9.67,27.67,34.94,22.00,41.33,53.23,10.33,14.67,70.45,2.33,9.67,0.64,2.67,21.67,0.12,15.00,1.67,100.00
Pato Basquete,3,0.00,81.67,27.00,38.00,16.67,43.33,13.33,30.00,14.67,14.67,1.00,81.67,9.00,23.33,38.57,19.00,41.00,46.34,16.67,21.67,76.92,3.00,6.67,0.45,0.33,21.33,0.02,14.67,2.67,90.67
Corinthians,2,0.00,77.50,31.50,30.00,16.00,47.00,15.00,32.00,13.50,11.00,1.23,77.50,10.50,29.00,36.21,15.00,39.00,38.46,16.00,20.50,78.05,0.50,4.50,0.41,2.00,20.50,0.10,11.00,1.50,86.50
Cerrado,3,0.00,77.00,25.00,37.33,14.67,40.00,13.33,26.67,17.00,15.33,1.11,77.00,8.33,22.67,36.76,18.67,41.33,45.16,14.67,21.67,67.69,1.33,9.00,0.59,3.33,20.67,0.16,15.33,3.33,87.00
Mogi,2,0.00,76.50,27.00,40.00,9.50,37.50,11.00,26.50,19.50,17.00,1.15,76.50,9.00,30.00,30.00,20.00,36.00,55.56,9.50,12.00,79.17,2.00,7.50,0.44,3.00,19.50,0.15,17.00,2.00,87.50
UNIFACISA,3,0.00,75.67,23.00,40.00,12.67,33.33,9.33,24.00,15.00,11.67,1.29,75.67,7.67,20.33,37.70,20.00,41.67,48.00,12.67,16.67,76.00,0.33,7.67,0.66,1.00,22.00,0.05,11.67,2.67,82.67
Paulistano,1,0.00,71.00,27.00,40.00,4.00,42.00,14.00,28.00,18.00,10.00,1.80,71.00,9.00,27.00,33.33,20.00,39.00,51.28,4.00,7.00,57.14,4.00,5.00,0.50,5.00,15.00,0.33,10.00,4.00,91.00
Fortaleza B. C. / CFO,2,0.00,71.00,16.50,45.00,9.50,39.00,12.50,26.50,15.00,11.50,1.30,71.00,5.50,25.00,22.00,22.50,45.00,50.00,9.50,15.00,63.33,0.50,9.00,0.78,2.50,20.50,0.12,11.50,0.00,77.50
BRB/Brasília,3,0.00,69.67,27.00,27.33,15.33,32.33,9.67,22.67,15.67,12.00,1.31,69.67,9.00,30.00,30.00,13.67,32.67,41.84,15.33,22.33,68.66,0.67,4.33,0.36,1.33,14.67,0.09,12.00,1.67,64.33
Caxias do Sul Basquete,3,0.00,69.33,24.00,34.67,10.67,34.00,8.67,25.33,16.67,13.67,1.22,69.33,8.00,21.33,37.50,17.33,37.67,46.02,10.67,15.00,71.11,0.67,4.67,0.34,1.33,17.33,0.08,13.67,2.00,74.33
Bauru Basket,3,0.00,65.00,22.00,32.00,11.00,34.33,8.67,25.67,13.00,11.00,1.18,65.00,7.33,28.00,26.19,16.00,32.67,48.98,11.00,17.33,63.46,0.67,6.33,0.58,3.33,19.33,0.17,11.00,0.67,67.33
VipTech CMB,2,0.00,58.00,18.00,31.00,9.00,41.00,15.00,26.00,10.00,13.00,0.77,58.00,6.00,28.50,21.05,15.50,38.50,40.26,9.00,15.00,60.00,1.00,5.50,0.42,1.00,18.50,0.05,13.00,2.00,51.00
