Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Pinheiros,1,0.00,104.00,24.00,60.00,20.00,43.00,12.00,31.00,19.00,19.00,1.00,104.00,8.00,19.00,42.11,30.00,50.00,60.00,20.00,34.00,58.82,4.00,9.00,0.47,1.00,16.00,0.06,19.00,2.00,112.00
Minas,1,0.00,102.00,27.00,66.00,9.00,39.00,13.00,26.00,24.00,21.00,1.14,102.00,9.00,22.00,40.91,33.00,52.00,63.46,9.00,11.00,81.82,0.00,7.00,0.33,3.00,13.00,0.23,21.00,1.00,120.00
Assis,1,0.00,92.00,33.00,34.00,25.00,33.00,5.00,28.00,11.00,8.00,1.38,92.00,11.00,33.00,33.33,17.00,28.00,60.71,25.00,34.00,73.53,1.00,2.00,0.25,2.00,22.00,0.09,8.00,4.00,90.00
Joinville,1,0.00,90.00,24.00,44.00,22.00,33.00,7.00,26.00,16.00,10.00,1.60,90.00,8.00,24.00,33.33,22.00,41.00,53.66,22.00,28.00,78.57,3.00,4.00,0.40,3.00,26.00,0.12,10.00,5.00,95.00
Brasília,1,0.00,88.00,30.00,44.00,14.00,28.00,9.00,19.00,15.00,15.00,1.00,88.00,10.00,19.00,52.63,22.00,45.00,48.89,14.00,20.00,70.00,2.00,10.00,0.67,3.00,18.00,0.17,15.00,2.00,91.00
Saldanha,1,0.00,85.00,18.00,54.00,13.00,25.00,5.00,20.00,11.00,11.00,1.00,85.00,6.00,21.00,28.57,27.00,45.00,60.00,13.00,20.00,65.00,0.00,14.00,1.27,0.00,12.00,0.00,11.00,0.00,84.00
Bauru Basket,1,0.00,85.00,24.00,42.00,19.00,30.00,8.00,22.00,14.00,4.00,3.50,85.00,8.00,25.00,32.00,21.00,43.00,48.84,19.00,24.00,79.17,2.00,8.00,2.00,1.00,15.00,0.07,4.00,3.00,90.00
Paulistano,1,0.00,85.00,21.00,54.00,10.00,30.00,10.00,20.00,14.00,14.00,1.00,85.00,7.00,24.00,29.17,27.00,51.00,52.94,10.00,16.00,62.50,1.00,11.00,0.79,2.00,26.00,0.08,14.00,4.00,81.00
Araraquara,1,0.00,80.00,33.00,40.00,7.00,29.00,11.00,18.00,20.00,14.00,1.43,80.00,11.00,29.00,37.93,20.00,36.00,55.56,7.00,7.00,100.00,3.00,11.00,0.79,2.00,21.00,0.10,14.00,6.00,94.00
Espírito Santo,1,0.00,75.00,27.00,34.00,14.00,26.00,6.00,20.00,9.00,13.00,0.69,75.00,9.00,24.00,37.50,17.00,38.00,44.74,14.00,23.00,60.87,1.00,9.00,0.69,4.00,22.00,0.18,13.00,2.00,65.00
Londrina,1,0.00,74.00,18.00,48.00,8.00,35.00,12.00,23.00,9.00,13.00,0.69,74.00,6.00,24.00,25.00,24.00,42.00,57.14,8.00,13.00,61.54,0.00,1.00,0.08,4.00,18.00,0.22,13.00,3.00,69.00
Sesi Franca,1,0.00,72.00,21.00,36.00,15.00,36.00,9.00,27.00,10.00,12.00,0.83,72.00,7.00,24.00,29.17,18.00,39.00,46.15,15.00,23.00,65.22,0.00,4.00,0.33,1.00,21.00,0.05,12.00,2.00,65.00
Flamengo,1,0.00,71.00,18.00,38.00,15.00,37.00,8.00,29.00,10.00,7.00,1.43,71.00,6.00,25.00,24.00,19.00,39.00,48.72,15.00,21.00,71.43,1.00,9.00,1.29,3.00,24.00,0.13,7.00,2.00,78.00
Coop/São José Basketball,1,0.00,56.00,21.00,24.00,11.00,32.00,12.00,20.00,11.00,21.00,0.52,56.00,7.00,23.00,30.43,12.00,30.00,40.00,11.00,19.00,57.89,2.00,6.00,0.29,1.00,13.00,0.08,21.00,5.00,43.00
