Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Brasília,1,0.00,105.00,36.00,52.00,17.00,49.00,17.00,32.00,21.00,13.00,1.62,105.00,12.00,29.00,41.38,26.00,50.00,52.00,17.00,20.00,85.00,4.00,9.00,0.69,4.00,23.00,0.17,13.00,2.00,131.00
Flamengo,1,0.00,100.00,36.00,52.00,12.00,30.00,6.00,24.00,13.00,15.00,0.87,100.00,12.00,22.00,54.55,26.00,40.00,65.00,12.00,22.00,54.55,3.00,8.00,0.53,2.00,25.00,0.08,15.00,3.00,104.00
Minas,1,0.00,91.00,18.00,52.00,21.00,32.00,12.00,20.00,25.00,12.00,2.08,91.00,6.00,18.00,33.33,26.00,48.00,54.17,21.00,25.00,84.00,1.00,9.00,0.75,3.00,17.00,0.18,12.00,3.00,110.00
Coop/São José Basketball,1,0.00,90.00,48.00,32.00,10.00,36.00,8.00,28.00,7.00,7.00,1.00,90.00,16.00,32.00,50.00,16.00,26.00,61.54,10.00,21.00,47.62,1.00,6.00,0.86,3.00,14.00,0.21,7.00,1.00,98.00
Paulistano,1,0.00,84.00,24.00,44.00,16.00,31.00,12.00,19.00,12.00,15.00,0.80,84.00,8.00,28.00,28.57,22.00,37.00,59.46,16.00,22.00,72.73,1.00,7.00,0.47,1.00,22.00,0.05,15.00,2.00,79.00
Joinville,1,0.00,83.00,21.00,34.00,28.00,39.00,8.00,31.00,13.00,12.00,1.08,83.00,7.00,20.00,35.00,17.00,35.00,48.57,28.00,35.00,80.00,0.00,3.00,0.25,2.00,25.00,0.08,12.00,2.00,90.00
Londrina,1,0.00,79.00,27.00,32.00,20.00,32.00,11.00,21.00,16.00,9.00,1.78,79.00,9.00,28.00,32.14,16.00,39.00,41.03,20.00,27.00,74.07,1.00,8.00,0.89,3.00,26.00,0.12,9.00,1.00,80.00
Espírito Santo,1,0.00,79.00,15.00,38.00,26.00,34.00,15.00,19.00,7.00,16.00,0.44,79.00,5.00,17.00,29.41,19.00,42.00,45.24,26.00,39.00,66.67,4.00,6.00,0.38,3.00,19.00,0.16,16.00,6.00,65.00
Pinheiros,1,0.00,77.00,12.00,46.00,19.00,31.00,5.00,26.00,8.00,13.00,0.62,77.00,4.00,23.00,17.39,23.00,44.00,52.27,19.00,24.00,79.17,2.00,6.00,0.46,4.00,15.00,0.27,13.00,4.00,68.00
Sesi Franca,1,0.00,72.00,18.00,40.00,14.00,33.00,9.00,24.00,10.00,9.00,1.11,72.00,6.00,21.00,28.57,20.00,37.00,54.05,14.00,16.00,87.50,3.00,5.00,0.56,2.00,16.00,0.13,9.00,3.00,79.00
Assis,1,0.00,65.00,15.00,44.00,6.00,36.00,11.00,25.00,9.00,8.00,1.13,65.00,5.00,22.00,22.73,22.00,41.00,53.66,6.00,10.00,60.00,1.00,0.00,0.00,3.00,19.00,0.16,8.00,2.00,65.00
Bauru Basket,1,0.00,63.00,18.00,36.00,9.00,25.00,10.00,15.00,10.00,11.00,0.91,63.00,6.00,22.00,27.27,18.00,33.00,54.55,9.00,11.00,81.82,1.00,10.00,0.91,0.00,15.00,0.00,11.00,3.00,64.00
Saldanha,1,0.00,60.00,18.00,34.00,8.00,24.00,8.00,16.00,7.00,10.00,0.70,60.00,6.00,23.00,26.09,17.00,34.00,50.00,8.00,14.00,57.14,0.00,7.00,0.70,1.00,19.00,0.05,10.00,4.00,49.00
Araraquara,1,0.00,59.00,24.00,30.00,5.00,30.00,6.00,24.00,6.00,17.00,0.35,59.00,8.00,14.00,57.14,15.00,31.00,48.39,5.00,7.00,71.43,1.00,8.00,0.47,2.00,22.00,0.09,17.00,2.00,64.00
