Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Sesi Franca,1,0.00,109.00,36.00,44.00,29.00,41.00,11.00,30.00,17.00,16.00,1.06,109.00,12.00,31.00,38.71,22.00,47.00,46.81,29.00,40.00,72.50,0.00,17.00,1.06,2.00,29.00,0.07,16.00,4.00,115.00
Flamengo,1,0.00,107.00,33.00,54.00,20.00,29.00,8.00,21.00,16.00,15.00,1.07,107.00,11.00,18.00,61.11,27.00,40.00,67.50,20.00,25.00,80.00,0.00,7.00,0.47,3.00,24.00,0.13,15.00,1.00,122.00
Paulistano,1,0.00,104.00,24.00,52.00,28.00,47.00,16.00,31.00,11.00,18.00,0.61,104.00,8.00,20.00,40.00,26.00,54.00,48.15,28.00,40.00,70.00,1.00,7.00,0.39,1.00,29.00,0.03,18.00,1.00,100.00
Pinheiros,1,0.00,93.00,36.00,34.00,23.00,29.00,4.00,25.00,16.00,14.00,1.14,93.00,12.00,19.00,63.16,17.00,35.00,48.57,23.00,26.00,88.46,3.00,3.00,0.21,6.00,10.00,0.60,14.00,2.00,105.00
Bauru Basket,1,0.00,90.00,33.00,32.00,25.00,23.00,9.00,14.00,12.00,10.00,1.20,90.00,11.00,24.00,45.83,16.00,38.00,42.11,25.00,36.00,69.44,1.00,7.00,0.70,0.00,19.00,0.00,10.00,0.00,76.00
Minas,1,0.00,87.00,21.00,50.00,16.00,44.00,13.00,31.00,20.00,15.00,1.33,87.00,7.00,17.00,41.18,25.00,47.00,53.19,16.00,21.00,76.19,2.00,3.00,0.20,0.00,25.00,0.00,15.00,2.00,102.00
Araraquara,1,0.00,84.00,45.00,32.00,7.00,25.00,5.00,20.00,14.00,10.00,1.40,84.00,15.00,29.00,51.72,16.00,37.00,43.24,7.00,10.00,70.00,1.00,9.00,0.90,3.00,23.00,0.13,10.00,3.00,87.00
Londrina,1,0.00,78.00,24.00,34.00,20.00,29.00,9.00,20.00,16.00,10.00,1.60,78.00,8.00,26.00,30.77,17.00,37.00,45.95,20.00,32.00,62.50,2.00,7.00,0.70,1.00,20.00,0.05,10.00,2.00,71.00
Espírito Santo,1,0.00,76.00,21.00,40.00,15.00,46.00,17.00,29.00,14.00,20.00,0.70,76.00,7.00,21.00,33.33,20.00,38.00,52.63,15.00,29.00,51.72,3.00,8.00,0.40,6.00,22.00,0.27,20.00,6.00,84.00
Coop/São José Basketball,1,0.00,74.00,18.00,44.00,12.00,38.00,15.00,23.00,15.00,12.00,1.25,74.00,6.00,29.00,20.69,22.00,36.00,61.11,12.00,21.00,57.14,0.00,10.00,0.83,4.00,18.00,0.22,12.00,0.00,83.00
Assis,1,0.00,68.00,30.00,34.00,4.00,30.00,8.00,22.00,10.00,15.00,0.67,68.00,10.00,23.00,43.48,17.00,36.00,47.22,4.00,7.00,57.14,0.00,6.00,0.40,2.00,19.00,0.11,15.00,0.00,66.00
Saldanha,1,0.00,60.00,18.00,32.00,10.00,32.00,11.00,21.00,6.00,15.00,0.40,60.00,6.00,19.00,31.58,16.00,45.00,35.56,10.00,29.00,34.48,2.00,16.00,1.07,2.00,25.00,0.08,15.00,3.00,40.00
