Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Araraquara,1,0.00,95.00,30.00,52.00,13.00,32.00,10.00,22.00,22.00,20.00,1.10,95.00,10.00,19.00,52.63,26.00,41.00,63.41,13.00,21.00,61.90,2.00,9.00,0.45,1.00,27.00,0.04,20.00,5.00,107.00
Flamengo,1,0.00,95.00,15.00,56.00,24.00,30.00,4.00,26.00,16.00,14.00,1.14,95.00,5.00,19.00,26.32,28.00,46.00,60.87,24.00,29.00,82.76,1.00,14.00,1.00,3.00,20.00,0.15,14.00,2.00,107.00
Coop/São José Basketball,1,0.00,93.00,30.00,46.00,17.00,38.00,9.00,29.00,26.00,18.00,1.44,93.00,10.00,24.00,41.67,23.00,36.00,63.89,17.00,23.00,73.91,3.00,5.00,0.28,1.00,22.00,0.05,18.00,0.00,112.00
Saldanha,1,0.00,91.00,15.00,54.00,22.00,42.00,15.00,27.00,18.00,25.00,0.72,91.00,5.00,9.00,55.56,27.00,53.00,50.94,22.00,25.00,88.00,1.00,8.00,0.32,4.00,21.00,0.19,25.00,3.00,105.00
Pinheiros,1,0.00,91.00,18.00,58.00,15.00,26.00,6.00,20.00,13.00,16.00,0.81,91.00,6.00,13.00,46.15,29.00,44.00,65.91,15.00,23.00,65.22,2.00,6.00,0.38,3.00,24.00,0.13,16.00,3.00,93.00
Brasília,1,0.00,90.00,21.00,46.00,23.00,21.00,8.00,13.00,13.00,19.00,0.68,90.00,7.00,22.00,31.82,23.00,39.00,58.97,23.00,27.00,85.19,0.00,13.00,0.68,0.00,23.00,0.00,19.00,5.00,83.00
Paulistano,1,0.00,85.00,27.00,38.00,20.00,20.00,10.00,10.00,16.00,12.00,1.33,85.00,9.00,31.00,29.03,19.00,38.00,50.00,20.00,25.00,80.00,0.00,14.00,1.17,4.00,24.00,0.17,12.00,0.00,81.00
Espírito Santo,1,0.00,80.00,18.00,42.00,20.00,34.00,17.00,17.00,6.00,15.00,0.40,80.00,6.00,22.00,27.27,21.00,43.00,48.84,20.00,32.00,62.50,1.00,7.00,0.47,1.00,21.00,0.05,15.00,5.00,63.00
Sesi Franca,1,0.00,76.00,27.00,36.00,13.00,26.00,4.00,22.00,13.00,17.00,0.76,76.00,9.00,20.00,45.00,18.00,38.00,47.37,13.00,16.00,81.25,2.00,13.00,0.76,4.00,11.00,0.36,17.00,2.00,81.00
Joinville,1,0.00,76.00,21.00,36.00,19.00,18.00,1.00,17.00,11.00,11.00,1.00,76.00,7.00,25.00,28.00,18.00,36.00,50.00,19.00,21.00,90.48,2.00,7.00,0.64,1.00,21.00,0.05,11.00,0.00,64.00
Londrina,1,0.00,72.00,21.00,30.00,21.00,28.00,10.00,18.00,11.00,16.00,0.69,72.00,7.00,31.00,22.58,15.00,35.00,42.86,21.00,23.00,91.30,1.00,10.00,0.63,1.00,25.00,0.04,16.00,1.00,60.00
Minas,1,0.00,66.00,15.00,46.00,5.00,38.00,9.00,29.00,14.00,23.00,0.61,66.00,5.00,17.00,29.41,23.00,44.00,52.27,5.00,8.00,62.50,2.00,11.00,0.48,3.00,19.00,0.16,23.00,6.00,73.00
