Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Minas,1,0.00,91.00,21.00,50.00,20.00,36.00,9.00,27.00,20.00,15.00,1.33,91.00,7.00,25.00,28.00,25.00,47.00,53.19,20.00,23.00,86.96,0.00,8.00,0.53,1.00,18.00,0.06,15.00,3.00,98.00
Brasília,1,0.00,88.00,21.00,54.00,13.00,39.00,14.00,25.00,17.00,15.00,1.13,88.00,7.00,25.00,28.00,27.00,42.00,64.29,13.00,19.00,68.42,3.00,7.00,0.47,8.00,15.00,0.53,15.00,3.00,105.00
Bauru Basket,1,0.00,88.00,33.00,44.00,11.00,43.00,18.00,25.00,23.00,12.00,1.92,88.00,11.00,29.00,37.93,22.00,34.00,64.71,11.00,22.00,50.00,4.00,8.00,0.67,2.00,19.00,0.11,12.00,2.00,111.00
Araraquara,1,0.00,85.00,33.00,40.00,12.00,29.00,4.00,25.00,20.00,18.00,1.11,85.00,11.00,35.00,31.43,20.00,33.00,60.61,12.00,15.00,80.00,0.00,7.00,0.39,3.00,24.00,0.13,18.00,6.00,86.00
Sesi Franca,1,0.00,80.00,42.00,30.00,8.00,20.00,5.00,15.00,9.00,13.00,0.69,80.00,14.00,27.00,51.85,15.00,38.00,39.47,8.00,11.00,72.73,0.00,11.00,0.85,3.00,19.00,0.16,13.00,3.00,71.00
Pinheiros,1,0.00,76.00,39.00,28.00,9.00,25.00,8.00,17.00,8.00,16.00,0.50,76.00,13.00,23.00,56.52,14.00,34.00,41.18,9.00,14.00,64.29,2.00,8.00,0.50,5.00,16.00,0.31,16.00,6.00,71.00
Saldanha,1,0.00,75.00,24.00,42.00,9.00,24.00,10.00,14.00,7.00,13.00,0.54,75.00,8.00,20.00,40.00,21.00,38.00,55.26,9.00,19.00,47.37,2.00,9.00,0.69,2.00,15.00,0.13,13.00,4.00,65.00
Joinville,1,0.00,72.00,18.00,30.00,24.00,39.00,19.00,20.00,5.00,10.00,0.50,72.00,6.00,32.00,18.75,15.00,44.00,34.09,24.00,30.00,80.00,0.00,5.00,0.50,0.00,24.00,0.00,10.00,4.00,50.00
Flamengo,1,0.00,69.00,24.00,24.00,21.00,34.00,11.00,23.00,8.00,16.00,0.50,69.00,8.00,26.00,30.77,12.00,29.00,41.38,21.00,33.00,63.64,3.00,12.00,0.75,4.00,25.00,0.16,16.00,3.00,64.00
Londrina,1,0.00,69.00,18.00,30.00,21.00,46.00,23.00,23.00,14.00,19.00,0.74,69.00,6.00,21.00,28.57,15.00,42.00,35.71,21.00,25.00,84.00,0.00,7.00,0.37,3.00,17.00,0.18,19.00,2.00,74.00
Coop/São José Basketball,1,0.00,67.00,9.00,44.00,14.00,23.00,7.00,16.00,14.00,14.00,1.00,67.00,3.00,18.00,16.67,22.00,35.00,62.86,14.00,23.00,60.87,1.00,13.00,0.93,1.00,23.00,0.04,14.00,3.00,67.00
Assis,1,0.00,64.00,9.00,36.00,19.00,23.00,8.00,15.00,7.00,14.00,0.50,64.00,3.00,20.00,15.00,18.00,34.00,52.94,19.00,30.00,63.33,3.00,6.00,0.43,0.00,16.00,0.00,14.00,4.00,42.00
Espírito Santo,1,0.00,54.00,0.00,34.00,20.00,43.00,10.00,33.00,10.00,23.00,0.43,54.00,0.00,14.00,0.00,17.00,37.00,45.95,20.00,34.00,58.82,2.00,6.00,0.26,5.00,19.00,0.26,23.00,5.00,47.00
Paulistano,1,0.00,52.00,15.00,28.00,9.00,27.00,6.00,21.00,10.00,6.00,1.67,52.00,5.00,22.00,22.73,14.00,40.00,35.00,9.00,15.00,60.00,1.00,8.00,1.33,3.00,19.00,0.16,6.00,0.00,45.00
