Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,100.00,54.00,32.00,14.00,28.00,6.00,22.00,9.00,8.00,1.13,100.00,18.00,36.00,50.00,16.00,30.00,53.33,14.00,18.00,77.78,1.00,9.00,1.13,1.00,21.00,0.05,8.00,1.00,103.00
Sesi Franca,1,0.00,98.00,27.00,42.00,29.00,25.00,5.00,20.00,14.00,6.00,2.33,98.00,9.00,23.00,39.13,21.00,38.00,55.26,29.00,38.00,76.32,3.00,6.00,1.00,2.00,22.00,0.09,6.00,2.00,99.00
Araraquara,1,0.00,98.00,21.00,46.00,31.00,35.00,12.00,23.00,17.00,9.00,1.89,98.00,7.00,25.00,28.00,23.00,37.00,62.16,31.00,36.00,86.11,1.00,8.00,0.89,3.00,26.00,0.12,9.00,1.00,115.00
Pinheiros,1,0.00,98.00,12.00,56.00,30.00,25.00,6.00,19.00,16.00,15.00,1.07,98.00,4.00,19.00,21.05,28.00,46.00,60.87,30.00,31.00,96.77,3.00,6.00,0.40,8.00,23.00,0.35,15.00,1.00,104.00
Coop/São José Basketball,1,0.00,95.00,33.00,40.00,22.00,38.00,14.00,24.00,22.00,11.00,2.00,95.00,11.00,31.00,35.48,20.00,40.00,50.00,22.00,29.00,75.86,2.00,15.00,1.36,2.00,24.00,0.08,11.00,0.00,114.00
Assis,1,0.00,93.00,33.00,42.00,18.00,24.00,7.00,17.00,12.00,12.00,1.00,93.00,11.00,16.00,68.75,21.00,39.00,53.85,18.00,21.00,85.71,1.00,10.00,0.83,1.00,21.00,0.05,12.00,2.00,102.00
Minas,1,0.00,92.00,27.00,46.00,19.00,28.00,7.00,21.00,14.00,15.00,0.93,92.00,9.00,25.00,36.00,23.00,41.00,56.10,19.00,26.00,73.08,1.00,4.00,0.27,2.00,28.00,0.07,15.00,1.00,84.00
Brasília,1,0.00,89.00,12.00,60.00,17.00,42.00,20.00,22.00,13.00,10.00,1.30,89.00,4.00,19.00,21.05,30.00,57.00,52.63,17.00,21.00,80.95,4.00,2.00,0.20,3.00,23.00,0.13,10.00,2.00,93.00
Joinville,1,0.00,87.00,45.00,34.00,8.00,37.00,12.00,25.00,20.00,19.00,1.05,87.00,15.00,36.00,41.67,17.00,30.00,56.67,8.00,17.00,47.06,1.00,7.00,0.37,1.00,18.00,0.06,19.00,4.00,90.00
Paulistano,1,0.00,87.00,39.00,34.00,14.00,28.00,9.00,19.00,15.00,12.00,1.25,87.00,13.00,27.00,48.15,17.00,37.00,45.95,14.00,19.00,73.68,1.00,5.00,0.42,1.00,19.00,0.05,12.00,3.00,85.00
Saldanha,1,0.00,85.00,6.00,68.00,11.00,33.00,9.00,24.00,14.00,14.00,1.00,85.00,2.00,8.00,25.00,34.00,64.00,53.13,11.00,26.00,42.31,4.00,4.00,0.29,0.00,23.00,0.00,14.00,7.00,71.00
Bauru Basket,1,0.00,80.00,36.00,30.00,14.00,14.00,3.00,11.00,14.00,12.00,1.17,80.00,12.00,20.00,60.00,15.00,28.00,53.57,14.00,21.00,66.67,1.00,4.00,0.33,0.00,22.00,0.00,12.00,2.00,72.00
Espírito Santo,1,0.00,78.00,12.00,50.00,16.00,35.00,9.00,26.00,12.00,10.00,1.20,78.00,4.00,21.00,19.05,25.00,38.00,65.79,16.00,21.00,76.19,3.00,7.00,0.70,1.00,14.00,0.07,10.00,2.00,88.00
Londrina,1,0.00,56.00,15.00,24.00,17.00,27.00,10.00,17.00,5.00,19.00,0.26,56.00,5.00,23.00,21.74,12.00,31.00,38.71,17.00,25.00,68.00,0.00,7.00,0.37,4.00,24.00,0.17,19.00,0.00,35.00
