Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Sesi Franca,1,0.00,106.00,54.00,38.00,14.00,29.00,7.00,22.00,15.00,15.00,1.00,106.00,18.00,33.00,54.55,19.00,33.00,57.58,14.00,21.00,66.67,0.00,6.00,0.40,0.00,20.00,0.00,15.00,3.00,105.00
Minas,1,0.00,101.00,33.00,48.00,20.00,42.00,16.00,26.00,16.00,11.00,1.45,101.00,11.00,31.00,35.48,24.00,45.00,53.33,20.00,28.00,71.43,0.00,7.00,0.64,5.00,21.00,0.24,11.00,1.00,111.00
Brasília,1,0.00,96.00,15.00,62.00,19.00,36.00,13.00,23.00,21.00,12.00,1.75,96.00,5.00,27.00,18.52,31.00,52.00,59.62,19.00,27.00,70.37,5.00,12.00,1.00,4.00,13.00,0.31,12.00,3.00,106.00
Londrina,1,0.00,86.00,39.00,28.00,19.00,31.00,13.00,18.00,15.00,16.00,0.94,86.00,13.00,37.00,35.14,14.00,35.00,40.00,19.00,25.00,76.00,0.00,12.00,0.75,1.00,20.00,0.05,16.00,1.00,78.00
Flamengo,1,0.00,84.00,24.00,44.00,16.00,30.00,9.00,21.00,15.00,18.00,0.83,84.00,8.00,27.00,29.63,22.00,33.00,66.67,16.00,21.00,76.19,4.00,10.00,0.56,4.00,23.00,0.17,18.00,1.00,90.00
Espírito Santo,1,0.00,81.00,27.00,38.00,16.00,45.00,17.00,28.00,10.00,13.00,0.77,81.00,9.00,23.00,39.13,19.00,46.00,41.30,16.00,29.00,55.17,6.00,12.00,0.92,4.00,31.00,0.13,13.00,3.00,85.00
Pinheiros,1,0.00,76.00,21.00,26.00,29.00,32.00,5.00,27.00,6.00,16.00,0.38,76.00,7.00,22.00,31.82,13.00,29.00,44.83,29.00,38.00,76.32,2.00,8.00,0.50,0.00,26.00,0.00,16.00,1.00,66.00
Araraquara,1,0.00,75.00,9.00,56.00,10.00,38.00,13.00,25.00,11.00,18.00,0.61,75.00,3.00,24.00,12.50,28.00,51.00,54.90,10.00,13.00,76.92,1.00,7.00,0.39,6.00,21.00,0.29,18.00,3.00,72.00
Saldanha,1,0.00,74.00,24.00,34.00,16.00,28.00,3.00,25.00,7.00,12.00,0.58,74.00,8.00,20.00,40.00,17.00,26.00,65.38,16.00,24.00,66.67,1.00,5.00,0.42,2.00,19.00,0.11,12.00,4.00,75.00
Joinville,1,0.00,71.00,36.00,28.00,7.00,39.00,15.00,24.00,15.00,18.00,0.83,71.00,12.00,28.00,42.86,14.00,33.00,42.42,7.00,8.00,87.50,1.00,11.00,0.61,3.00,15.00,0.20,18.00,2.00,85.00
Paulistano,1,0.00,71.00,21.00,42.00,8.00,28.00,8.00,20.00,9.00,8.00,1.13,71.00,7.00,36.00,19.44,21.00,30.00,70.00,8.00,20.00,40.00,0.00,7.00,0.88,2.00,24.00,0.08,8.00,3.00,59.00
Coop/São José Basketball,1,0.00,60.00,18.00,32.00,10.00,28.00,7.00,21.00,8.00,12.00,0.67,60.00,6.00,25.00,24.00,16.00,31.00,51.61,10.00,14.00,71.43,1.00,9.00,0.75,0.00,12.00,0.00,12.00,0.00,55.00
