Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Mogi,1,0.00,95.00,27.00,56.00,12.00,43.00,10.00,33.00,21.00,17.00,1.24,95.00,9.00,24.00,37.50,28.00,42.00,66.67,12.00,13.00,92.31,2.00,8.00,0.47,4.00,29.00,0.14,17.00,1.00,124.00
Bauru Basket,1,0.00,89.00,27.00,50.00,12.00,38.00,15.00,23.00,18.00,12.00,1.50,89.00,9.00,29.00,31.03,25.00,41.00,60.98,12.00,16.00,75.00,1.00,13.00,1.08,2.00,15.00,0.13,12.00,1.00,108.00
Pinheiros,1,0.00,86.00,39.00,36.00,11.00,37.00,13.00,24.00,14.00,14.00,1.00,86.00,13.00,27.00,48.15,18.00,39.00,46.15,11.00,12.00,91.67,2.00,11.00,0.79,4.00,18.00,0.22,14.00,1.00,102.00
Brasília,1,0.00,83.00,30.00,40.00,13.00,26.00,9.00,17.00,22.00,17.00,1.29,83.00,10.00,25.00,40.00,20.00,36.00,55.56,13.00,15.00,86.67,1.00,9.00,0.53,0.00,25.00,0.00,17.00,3.00,90.00
Fortaleza B. C. / CFO,1,0.00,80.00,24.00,36.00,20.00,27.00,7.00,20.00,18.00,9.00,2.00,80.00,8.00,30.00,26.67,18.00,32.00,56.25,20.00,35.00,57.14,1.00,16.00,1.78,1.00,18.00,0.06,9.00,0.00,82.00
Paulistano,1,0.00,78.00,12.00,50.00,16.00,34.00,12.00,22.00,9.00,19.00,0.47,78.00,4.00,20.00,20.00,25.00,38.00,65.79,16.00,17.00,94.12,1.00,10.00,0.53,1.00,20.00,0.05,19.00,8.00,83.00
