Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Brasília,1,0.00,95.00,30.00,56.00,9.00,39.00,9.00,30.00,21.00,13.00,1.62,95.00,10.00,23.00,43.48,28.00,41.00,68.29,9.00,12.00,75.00,2.00,7.00,0.54,6.00,22.00,0.27,13.00,3.00,126.00
Rio Claro,1,0.00,89.00,15.00,54.00,20.00,35.00,12.00,23.00,17.00,13.00,1.31,89.00,5.00,22.00,22.73,27.00,42.00,64.29,20.00,28.00,71.43,2.00,14.00,1.08,1.00,24.00,0.04,13.00,4.00,103.00
Mogi,1,0.00,81.00,27.00,42.00,12.00,37.00,9.00,28.00,23.00,13.00,1.77,81.00,9.00,18.00,50.00,21.00,39.00,53.85,12.00,20.00,60.00,1.00,13.00,1.00,3.00,16.00,0.19,13.00,3.00,109.00
Sesi Franca,1,0.00,79.00,21.00,36.00,22.00,36.00,12.00,24.00,16.00,19.00,0.84,79.00,7.00,29.00,24.14,18.00,29.00,62.07,22.00,28.00,78.57,4.00,9.00,0.47,2.00,26.00,0.08,19.00,3.00,84.00
Minas,1,0.00,77.00,15.00,48.00,14.00,42.00,11.00,31.00,17.00,16.00,1.06,77.00,5.00,13.00,38.46,24.00,47.00,51.06,14.00,20.00,70.00,1.00,10.00,0.63,1.00,19.00,0.05,16.00,8.00,94.00
Pinheiros,1,0.00,70.00,27.00,36.00,7.00,34.00,11.00,23.00,14.00,13.00,1.08,70.00,9.00,27.00,33.33,18.00,40.00,45.00,7.00,15.00,46.67,1.00,8.00,0.62,4.00,21.00,0.19,13.00,2.00,69.00
Vitória,1,0.00,67.00,30.00,30.00,7.00,30.00,8.00,22.00,18.00,14.00,1.29,67.00,10.00,23.00,43.48,15.00,36.00,41.67,7.00,12.00,58.33,0.00,8.00,0.57,3.00,21.00,0.14,14.00,0.00,73.00
Caxias do Sul Basquete,1,0.00,67.00,24.00,24.00,19.00,30.00,9.00,21.00,12.00,13.00,0.92,67.00,8.00,26.00,30.77,12.00,34.00,35.29,19.00,23.00,82.61,2.00,7.00,0.54,0.00,21.00,0.00,13.00,5.00,59.00
